EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-31400030	CIL 03, 12297	Achaia	?				Leius								
EDCS-24700151	CIL 01, 02650 (p 1097) = IG-05-01, 00741 = ILLRP 00962	Achaia	Afesou				// D(ecimi) Leivei D(ecimi) Leivei salve			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057726 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD057726				GR	
EDCS-24900077	CIL 01, 00746 (p 944) = D 00867 = ILLRP 00374 (p 327) = Hesperia-2015-602	Achaia	Agia Triada / Merbaka / Midea	-68	-68	officium/professio; ordo senatorius; tituli honorarii; tria nomina; viri	Q(uinto) Caecilio C(ai) f(ilio) Metel(l)o / imperatori Italici / quei Argeis negotia(ntur)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0004160;HD056163;de_01dessuoft%23page/195/mode/2up | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD056163 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0004160	37.6381128	22.8052991			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0004362;$D_00867.jpg
EDCS-03700724	ZPE-108-159 = Thesprotia 00001 = AE 1993, 01406 = AE 1995, 01394 = AE 2009, 01287	Achaia	Agios Athanasios / Photike	309	313	Augusti/Augustae; litterae erasae; ordo equester; tituli honorarii; tria nomina	Fortissimo et Piis/simo Caesari d(omino) n(ostro) / Gal(erio) Val(erio) [[Maximino]] / P(io) F(elici) Inv(icto) / Coranius Titianus v(ir) p(erfectissimus) / praes(es) prov(inciae) vet(eris) Epiri / Num(ini) eorum dicatissi/mus			http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0024479;HD052964 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD052964 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0024479	39.4512182	20.7667673			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-108-159.jpg
EDCS-55701593	AE 2009, 01286a	Achaia	Agios Donatos / Photike			sigilla impressa; tituli fabricationis	Cn(aeus) Atei(us)	opus figlinae			39.4759759	20.5069076			
EDCS-55701594	AE 2009, 01286b	Achaia	Agios Donatos / Photike			sigilla impressa; tituli fabricationis	Avill(ius)	opus figlinae			39.4759759	20.5069076			
EDCS-55701595	AE 2009, 01286c	Achaia	Agios Donatos / Photike			sigilla impressa; tituli fabricationis	L(ucius) Av(illius)	opus figlinae			39.4759759	20.5069076			
EDCS-55701596	AE 2009, 01286d	Achaia	Agios Donatos / Photike			sigilla impressa; tituli fabricationis	Camurius	opus figlinae			39.4759759	20.5069076			
EDCS-55701597	AE 2009, 01286e	Achaia	Agios Donatos / Photike			sigilla impressa; tituli fabricationis	L(uci) Titi	opus figlinae			39.4759759	20.5069076			
EDCS-66200107	AE 2008, 01264	Achaia	Aigio / Egio / Aiyion / Aegeum	151	250			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD067316 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD067316	38.2507139	22.0858224		GR	
EDCS-13800065	CIL 01, 02955 = ILLRP 00370 (p 327) = ILGR 00080 = AE 1954, 00031	Achaia	Aigio / Egio / Aiyion / Aegeum	-74	-74		Italicei / quei Aegei negotiantur / P(ublium) Rutilium P(ubli) f(ilium) Nudum / q(uaestorem)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD017714 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD017714	38.2507139	22.0858224			
EDCS-66200108	SEG-49, 00495a = AE 2008, 01265a	Achaia	Aigio / Egio / Aiyion / Aegeum					aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD068315 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD068315	38.2507139	22.0858224		GR	
EDCS-66200109	SEG-49, 00495b = AE 2008, 01265b	Achaia	Aigio / Egio / Aiyion / Aegeum					aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD068319 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD068319	38.2507139	22.0858224		GR	
EDCS-78000008	AE 1888, 00157 = AE 1889, 00003 = IG-07, 02713	Achaia	Akraifnia / Akraiphnio / Akraiphiai / Karditsa / Karditza / Acraephiae	67	67	Augusti/Augustae; leges; sacerdotes pagani; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P146221;1ae1888-57;1ae1889-02	38.4560551	23.2201436		GR	
EDCS-77400214	AE 1899, 00004	Achaia	Akraifnia / Akraiphnio / Akraiphiai / Karditsa / Karditza / Acraephiae					lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1899-02	38.4560551	23.2201436		GR	
EDCS-31300040	IG-07-01, 02711 = D 08792	Achaia	Akraifnia / Akraiphnio / Akraiphiai / Karditsa / Karditza / Acraephiae							http://db.edcs.eu/epigr/partner.php?s_language=en&param=de_22dessuoft%23page/1013/mode/2up	38.4560551	23.2201436		GR	
