EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-77400251	AE 1899, 00225	Aegyptus	?					lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1899-63				GR	
EDCS-77400258	AE 1900, 00028	Aegyptus	?					lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1900-10				GR	
EDCS-77400259	AE 1900, 00029	Aegyptus	?					lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1900-10;1ae1900-11				GR	
EDCS-77400260	AE 1900, 00030	Aegyptus	?	129	129			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1900-11				GR	
EDCS-77500131	AE 1902, 00229	Aegyptus	?	301	400	mulieres		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1902-60;1ae1902-61				GR	
EDCS-77500176	AE 1903, 00219	Aegyptus	?			Augusti/Augustae; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1903-55				GR	
EDCS-77500183	AE 1903, 00226	Aegyptus	?			tituli honorarii; tria nomina; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P218109;1ae1903-56				GR	
EDCS-77500184	AE 1903, 00227	Aegyptus	?			officium/professio; tituli honorarii; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1903-56				GR	
EDCS-77500185	AE 1903, 00228	Aegyptus	?			milites; tituli sacri; tria nomina; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1903-56				GR	
EDCS-77500186	AE 1903, 00230	Aegyptus	?					lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P217746;1ae1903-56				GR	
EDCS-77500187	AE 1903, 00370 = AE 1909, 00098	Aegyptus	?	154	158	ordo equester; tria nomina; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1903-86;1ae1903-87;1ae1909-24;1ae1909-25				GR	
EDCS-16700161	AE 1904, 00217	Aegyptus	?	221	221	leges; liberti/libertae; mulieres; nomen singulare; servi/servae; tria nomina; viri	Marcus Aurel[iu]s [A]mmonion Lu/pergu Sarapionis ex m[atr]e Terheutae / ab Hermupoli M[aio]r(e) antiqua et splend(ida) / Helenen ancillam suam vernam / annorum circiter X[X]XIIII inter ami/[c]os manumisit liberamque esse ius/[si]t et accepit pr[o] liberta[t]e eius ab // Aurelio Aletis Inaroutis a vico Tisicheos / nomi Hermupolit(an)u(s!) dr(achmas) Aug(ustas) dua mil{l}ia / ducentas quas et ipse Ales Inaroutis do/navit Helene liberta(e) supra scripta(e) / actum Hermupoli Maior(e) antiqua / et splend(ida) VII Kal(endas) Augustas Grato / et Seleuco co(n)s(ulibus) anno IIII Imp(eratoris) Caesaris / Marci Aureli Antonini Pii Felicis Aug(usti) / mense Mesore die I			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD033570;1ae1904-55;1ae1904-56 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD033570					
