EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-09001476	BCTH-1908-CXLV = ILGN 00007 = IANice 00080 = CAG-06, p 528 = ILAM 00213 = AE 1981, 00608 = AE 2006, +00250	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	371	400	mulieres; tituli sepulcrales; tria nomina	Memoriae Aeliae Mariae / Certia Marcella fil(ia) // Memoriae Aeliae // Mariae // Certia Marcella	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD005614;CO0126745 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD005614 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0126745	43.2915425	5.6625078			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IANice_00080_1.jpg;$IANice_00080_2.jpg
EDCS-05401125	CIL 05, 07874 = IANice 00004e = CAG-06, p 524 = ILAM 00159	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	1	300	nomen singulare; tituli sacri; viri	Vipus Sca/evaei f(ilius) / Mercuri(o) / v(otum) s(olvit) l(ibens) m(erito)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p919;HD066327;CO0126719 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066327 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0126719	43.2915425	5.6625078			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_07874.jpg
EDCS-05401126	CIL 05, 07875 = IANice 00009b = CAG-06, p 524 = ILAM 00161	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	1	300	tituli sacri	Sil/va/no			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p919;HD066328;CO0126721 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066328 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0126721	43.2915425	5.6625078			
EDCS-05401129	CIL 05, 07878 = Pais 01017 = IANice 00008 = ILGN +00004 = CAG-06, p 515 = ILAM 00163	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	1	300	nomen singulare; tituli sacri; viri	Axi f(ilii) votu(m) / solverunt	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p919;CO0079783;HD066330 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066330 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0079783	43.2915425	5.6625078			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$SM_ILAM_00163.jpg
EDCS-05401133	CIL 05, 07882 (p 931) = Pais 01018 = CAG-06, p 525 = ILAM 00227 = AE 1967, 00003c = AE 1978, 00452 = IANice 00045	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	151	250	liberti/libertae; mulieres; officium/professio; tituli sepulcrales; tria nomina; viri	M(e)m(oriae) / Flaviae Bassillae coniug(is) carissim(ae) dom(o) / Roma mirae erga marit(um) amoris adq(ue) cast(i)tat(is) / femin(ae) quae vixit ann(is) XXXV m(ensibus) III dieb(us) XII / Aurel(ius) Rhodismianus Aug(usti) lib(ertus) comm(entariensis) Alp(ium) Ma(i)t(imarum) / et Aurel(ia) Romula filia inpatientissim(o) dolore / eius adflicti adq(ue) desolat(i) cariss(imae) ac merent(issimae) fec(erunt) et / s(ub) a(scia) ded(icaverunt)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p920;CO0079784;HD065009 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD065009 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0079784	43.2915425	5.6625078			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_07882.jpg;pp
EDCS-05401160	CIL 05, 07909 = Pais 01020 = IANice 00068 = ILGN +00004 = CAG-06, p 516 = ILAM 00223 = MEFR-2000-921	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	101	200	mulieres; seviri Augustales; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) // T(itus) Galerius / Eutyches / IIIIIIvir Aug(ustalis) / Domitiae He/liadi uxori / merentiss(imae)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p923;CO0079785;HD066371 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066371 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0079785	43.2915425	5.6625078			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$SM_ILAM_00223.jpg
EDCS-05401163	CIL 05, 07912 = Pais 01023 = IANice 00063 = CAG-06, p 525 = ILAM 00207	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	51	100	nomen singulare; ordo decurionum; sacerdotes pagani; tria nomina; viri	Manio Gemino / Ingenuo / IIvir(o) sacer(doti) / Gemina filia / patri piiss(imo) et / Albicia Materna / marito incomp(arabili)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p924;CO0076193;HD066362 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066362 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0076193	43.2915425	5.6625078			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$SM_ILAM_00207.jpg
EDCS-05401164	CIL 05, 07913 = IANice 00061 = CAG-06, p 525 = ILAM 00208 = MEFR-2000-921	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	101	200	ordo decurionum; sacerdotes pagani; tituli sepulcrales; tria nomina; viri	G(ai!) Manti Paterni decu[rionis] / IIvir(i) flaminis civitati[s] / Aebutia Nepotilla ob / eius erga se adfection[em] / marito incom(p)arab[ili] / fecit / cum quo vixi ann(os) XX / m(enses) VIII d(ies) X	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p924;CO0022828;HD066363 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066363 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0022828	43.2915425	5.6625078			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$SM_ILAM_00208.jpg
EDCS-05401168	CIL 05, 07917 (p 931) = IANice 00060b = CLE 00404 = CAG-06, p 525 = ILAM 00186 = SEBarc-13, p 23 = MEFR-2000-919	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	201	300	carmina; sacerdotes pagani; tituli sacri; tituli sepulcrales; tria nomina; viri	] // Memoriae sorori carissimae / C(ai) Subri Secundini / flaminis et patroni provinciae / pietatis eloquentiae morum / magistri / C(aius) Subrius Severianus frater / imatura eius morte deceptus // XXXX annis vixi[t 3] / bis duo iungantur quos menses / quattuor augent / mortique dies felix si longior / aetas / mansisset quam dura sibi For/tuna negavit / o miseros homines vivunt qui / vivere nolunt / vivere qui debent fato moriun/tur acerbo			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p925;CO0076194;HD066349;m|ce|0404 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066349 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0076194	43.2915425	5.6625078			
EDCS-05401174	CIL 05, 07923 (p 931) = IANice 00105a = CAG-06, p 527 = ILAM 00237 = SEBarc-13, p 24	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	51	100	mulieres; tituli sepulcrales; tria nomina; viri	Matucciae Paternae / ex pago Licirro vico Na/velis immatura morte / subtractae q(uae) v(ixit) ann(os) XXV / m(enses) XI d(ies) VI Matucius / Quartinus et Metilia / Materna parentes			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p925;CO0086036;HD066381 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066381 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0086036	43.2915425	5.6625078			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$SEBarc_13_p24.jpg
EDCS-05401192	CIL 05, 07942 (p 1119) = IANice 00105b = CAG-06, p 527 = ILAM 00236	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	1	100	mulieres; tituli sepulcrales; tria nomina	Mantiae T(iti) f(iliae) Sallucae Mantia / Matura filia pientissim(a)e			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p927;CO0022829;HD066380 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066380 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0022829	43.2915425	5.6625078			
EDCS-05401209	CIL 05, 07959 (p 932) = IANice 00120 = CAG-06, p 527 = ILAM 00248 = SEBarc-13, p 24	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	71	100	mulieres; tituli sepulcrales; tria nomina; viri	G(aiae!) Valeriae Candidi[ae(?)] immat(ura) / morte subt(ractae) q(uae) (!) ann(os) XV Valerius / Victor et Secundin[i]a Nepotilla / filiae dulc(issimae) fecerun(t)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p929;CO0086041;HD066389 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066389 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0086041	43.2915425	5.6625078			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IANice_00120.jpg
EDCS-05401234	CIL 05, 07981 = IANice 00057c = CAG-06, p 527 = ILAM 00188	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	51	100	milites; tituli sepulcrales; tria nomina; viri	C(aio) Albiccio Proclo / mil(iti) c[oh]o[r(tis) 3]C[3]S / ord(ine) Iul(i) C[3] Cn(aeus) / Fronto [3 coh(ortis) e]iusd(em) / her(es) ex test(amento)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p931;HD066350;CO0126728 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066350 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0126728	43.2915425	5.6625078			
EDCS-10000022	IANice 00017 = CAG-06, p 525 = ILAM 00182	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	151	200	tituli operum; tituli sacri	Genio]q(ue) Augg(ustorum) [nn(ostrorum) 3] / [3] Alp(ium) Mar(itimarum) v(ovit) [	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD066346 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066346	43.2915425	5.6625078			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IANice_00017.jpg
EDCS-10000061	IANice 00062 = CAG-06, p 526 = CAG-06, p 553 = ILAM 00210 = MEFR-2000-920 = AE 1981, 00605	Alpes Maritimae	Abbaye de Saint-Pons / Cemenelum	101	200	ordo decurionum; sacerdotes pagani; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) / P(ublio) Rannio Cla(udia) / Paterno IIvir(o) fl(amini) civi(tatis) / Cemenel(ensium) heredes	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD005620;CO0126742 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD005620 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0126742	43.2915425	5.6625078			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$SM_ILAM_00210.jpg
EDCS-55200103	CAG-06, p 208 = ILAM 00051 = AE 2004, 00868 = CAG-06, p 208	Alpes Maritimae	Ascros / Brigantio	1	230	tituli sepulcrales; viri	Talus Pat(ernus?) et filius / Secundinus [1]PT[3] / Cominus NEL[3]F[3] / et IPS[1] L[3]N[1]S / Lucio fil(i)o suo	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052065;CO0126631 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD052065 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0126631	43.9205749	7.0146272			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$SM_ILAM_00051_1.jpg;$SM_ILAM_00051_2.jpg
EDCS-13400205	CAG-06, p 213 = ILAM 00050 = AE 1961, 00169 = AE 2004, 00867 = Gallia-2004-272	Alpes Maritimae	Ascros / Brigantio	201	300	milites; tituli honorarii; tituli operum; tria nomina; viri	T(itulum?) p(ublice?) p(osuit?) / Maturius Fuscus / emeritus ex / legione II Aug(usta) mis/sus honesta mis/sione de suo / sibi / epulavit pagum // P(ublius) M(aturius) / F(uscus) f(ecit?)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD017860;CO0126630 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD017860 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0126630	43.9205749	7.0146272			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_2004_00867.jpg
EDCS-55200104	CAG-06, p 217	Alpes Maritimae	Auvare			sigilla impressa; tituli fabricationis	MTERN / MARCI	opus figlinae			43.9884995	6.9084429			
EDCS-55200107	CAG-06, p 217	Alpes Maritimae	Auvare			sigilla impressa; tituli fabricationis	K	opus figlinae			43.9884995	6.9084429			
EDCS-55200106	CAG-06, p 217	Alpes Maritimae	Auvare			sigilla impressa; tituli fabricationis	V	opus figlinae			43.9884995	6.9084429			
EDCS-55200105	CAG-06, p 217	Alpes Maritimae	Auvare			sigilla impressa; tituli fabricationis	MTER / MARC	opus figlinae			43.9884995	6.9084429			
