EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-67200808	AE 2002, 01251 = AE 2004, 01288	Barbaricum	?	222	235			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD042108 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD042108				GR	
EDCS-39500104	CIGP 00142	Barbaricum	?	201	300	tituli possessionis; viri		argentum		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295952;HD035978 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD035978				GR	
EDCS-39500105	CIGP 00143 = SEG-29, 01062	Barbaricum	?	201	300	tituli sacri		aurum		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295953;HD035982 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD035982				GR	
EDCS-39500106	CIGP 00144	Barbaricum	?	101	300		Klaudiaes / Hermionaes //	aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295954;HD035990 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD035990				GR	
EDCS-39500107	CIGP 00145 = SEG-29, 01035 = SEG-34, 01042	Barbaricum	?	101	300			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295955;HD035989 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD035989				GR	
EDCS-39500108	CIGP 00146 = SEG-29, 01036	Barbaricum	?	201	300			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295956;HD035992 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD035992				GR	
EDCS-39500109	CIGP 00147 = SEG-29, 01037	Barbaricum	?	101	200					http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295957;HD035993 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD035993				GR	
EDCS-39500110	CIGP 00148	Barbaricum	?	101	300			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295958;HD035995 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD035995				GR	
EDCS-39500111	CIGP 00149 = SEG-29, 01061	Barbaricum	?	101	300			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295959;HD035997 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD035997				GR	
EDCS-39500112	CIGP 00150	Barbaricum	?	301	500	tituli possessionis		plumbum		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295960;HD035998 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD035998				GR	
