EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-16000357	AE 1935, 00068	Moesia inferior	?	101	200	milites; ordo equester; tituli sacri; tria nomina; viri	M(arcus) Cocc(eius) Ter[3] / praef(ectus) e[q(uitum)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD023212;1ae1935-21 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD023212					
EDCS-09300044	AE 1976, 00638	Moesia inferior	?	293	326	Augusti/Augustae; miliaria; viri	DD(ominis) nn(ostris) [Fl(avio)] / Constanti/[n]o max(imo) victo/[r]i semper Augus/to et Fl(avio) Iul(io) [Crispo] / et Fl(avio) Cl(audio) Constan/[tin]o et Fl(avio) Iul(io) Con/[stan]t[io]	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD012648 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD012648					
EDCS-08300504	AE 1985, 00732	Moesia inferior	?	197	209	Augusti/Augustae; tituli sacri; viri	[P]ro salu[te] / [Im]pp(eratorum) Sep(timi) Se[veri] / [Pe]rt(inacis) et Marci Au[r(eli)] / [An]t(onini) Augg(ustorum) [n]n(ostrorum)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD006334 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD006334					
EDCS-65100020	AE 2007, 01234	Moesia inferior	?			diplomata militaria; milites; tituli operum; tituli sacri; viri	f(ilio) ei]us / [3 fi]l(iae) eius / [descriptum et recognitum ex tab]ula ae/[nea quae fixa est Romae in mur]o post / [templum divi Augusti ad Miner]vam // civitatem Romanam dedit et] / [conub(ium) cum uxoribus quas tunc hab]uisse(nt) / [cum est civitas iis data aut si] qui caelibes / [essent cum iis quas postea duxissent	aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064269 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064269					
EDCS-65100031	AE 2008, 01201	Moesia inferior	?	198	209			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD067761 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD067761				GR	
EDCS-65100032	AE 2008, 01202	Moesia inferior	?	101	300			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD067762 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD067762				GR	
EDCS-64100193	AE 2011, 01145	Moesia inferior	?	101	200			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD072035 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD072035				GR	
EDCS-64100194	AE 2011, 01146	Moesia inferior	?	193	211			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD072147 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD072147				GR	
EDCS-59800014	AE 2017, 01230	Moesia inferior	?	101	300	tituli sepulcrales	] / interfec[tus(?) 3]/nes in d[3] / A AVEVL[3]/vi egis[3]/nini m[	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_21730					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-49000004	CBI 00657	Moesia inferior	?											GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00657.jpg
EDCS-46700104	CERom-27/28, 01335 = AE 2007, 01233 = AE 2015, +01888	Moesia inferior	?	146	146	Augusti/Augustae; diplomata militaria; milites; ordo senatorius; tituli sacri; tria nomina; viri	[Imp(erator) Caesar divi Hadriani f(ilius) d]ivi Traiani / [Parthici nep(os) divi Nerva]e pronepos T(itus) / [Aelius Hadrianus Anton]inus Aug(ustus) Pius / [trib(unicia) pot(estate) 3 i]mp(erator) II co(n)s(ul) IIII p(ater) p(atriae) / [equitibus et peditibus qui milit]aver(unt) in alis quin(que) / [et cohortibus undecim qu]ae appell(antur) Gallor(um) et / [Pannon(iorum) et Gall(orum) At]ectorigiana et II / [Hispan(orum) Aravacor(um) et I Ves]pasiana Dardanor(um) / [et I Flavia Gaetulor(um) et I B]racaror(um) civ(ium) Rom(anorum) et / [II Mattiacor(um) et I Flavia Numid]ar(um) et I Clau/[dia Sugambrorum vet(erana) et I Lusitanor(um) et] II Chal(cidenorum) [sag(ittariorum) // ] / [II] Brac(araugustanorum) et [II Fl(avia) Brit(tonum) et sunt in Moesia inferiore sub] / Cl(audio) Saturn[ino quin(is) et vicen(is) plur(ibusve) st(ipendiis)] / em(eritis) dim(issis) hon(esta) m[is(sione) q(uorum) n(omina) s(ubscripta) s(unt)] / c(ivitatem) R(omanam) qui eor(um) n(on) [hab(erent) et con(ubium) cum ux(oribus) q(uas)] / tunc hab(uissent) cum [est civ(itas) iis dat(a) aut si qui cael(ibes) es(sent) cum iis q(uas)] / post(ea) dux(issent) d(um)t(axat) s[inguli	aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064268 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064268					
