EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-09701174	AE 1969/70, 00542	Pannonia inferior | Pannonia superior	?	101	150	tituli sepulcrales	]/IVNI[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD012244 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD012244					
EDCS-72800147	MREN, p 53	Pannonia inferior | Pannonia superior	?	301	400	inscriptiones christianae	Vivas tuis								http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$MREN_53.jpg
EDCS-09900313	RIU-03, 00744	Pannonia inferior | Pannonia superior	?	201	300	Augusti/Augustae; tituli sacri; viri	]li Aur[3] / [3] ex voto [3] / Imp(eratori?) d(omino?) n(ostro?) [	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD038272 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD038272					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RIU_03_00744.jpg
EDCS-09900315	RIU-03, 00746 = IPSSTA 00037	Pannonia inferior | Pannonia superior	?	131	170	mulieres; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) / Ulpiae Almae / an(norum) XVIII / Ulpius Casso / fil(iae?) p(ientissimae?) <f=E>(ecit)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD038273;lu_3280 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD038273					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AP_IPSSTA_00037.jpg;pp
EDCS-09900316	RIU-03, 00747	Pannonia inferior | Pannonia superior	?	171	300	tituli sepulcrales	D(is) M(anibus)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD038274;lu_3852 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD038274					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-09900317	RIU-03, 00748	Pannonia inferior | Pannonia superior	?	151	300	tituli sepulcrales	D(is) M(anibus) / A[	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD038275;lu_3282 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD038275					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-21000710	RMD-05, 00461 = AE 2000, 01849	Pannonia inferior | Pannonia superior	?	221	222	Augusti/Augustae; diplomata militaria; milites; sacerdotes pagani; tituli sacri; viri	divi Sev]eri Pi[i nepos M(arcus) Aurellius Antoninus] / [Pius Feli]x Au[g(ustus) sacerdos amplissimus dei] / [Invicti Soli]s E[lagabali pontif(ex) max(imus) trib(unicia)] / [pot(estate) IIII(?) co(n)s(ul) III(?)] p(ater) p(atriae) et [Imp(eratoris) Caes(aris) M(arci) Aurelli Antoni]/[ni Pii Fel(icis) Aug(usti) f(ilius)] divi [Antonini Magni Pii nep(os)] / [ // M(arcus) Au]rellius A[ntoninus Pius Felix Aug(ustus) sacerdos] / amplissim[us dei Invicti Solis Elagabali] / [po]ntif(ex) maxi[m(us) trib(unicia) pot(estate) IIII(?) co(n)s(ul) III p(ater) p(atriae) et] / [I]m[p(eratoris) Caes(aris) M(arci) Aurelli Antonini Pii Felicis Aug(usti) f(ilius)	aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055818 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD055818					
EDCS-05000670	AE 1991, 01299	Pannonia superior	?	201	300	tituli sacri	[Si]lva[n(o)] Silv(estri)	argentum		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055409 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD055409					
EDCS-32601986	AEA 2001/02, 00095	Pannonia superior	?				Utere felix								
EDCS-43201237	CIGP 00191	Pannonia superior	?	201	300	tituli possessionis				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD024733 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD024733				GR	
