EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-77600028	AE 1904, 00165	Pontus et Bithynia	?			Augusti/Augustae; mulieres; tituli honorarii; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1904-45				GR	
EDCS-67200845	AE 2002, 01353	Pontus et Bithynia	?	138	161					http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043640 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD043640				GR	
EDCS-73900253	AE 2015, 01430	Pontus et Bithynia	?	1	200	mulieres; tituli sepulcrales; tria nomina	Valgia P[3 si]/bi et Q(uinto) Luc[i]o Va/tia(e) viro suo m[e]/moriae causa								
EDCS-78300779	AE 1928, 00100 = SEG-04, 00731	Pontus et Bithynia	Ahmet Saray / Ahmetsaray / Amasya / Amaseia	96	105	mulieres; tria nomina; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P265997;1ae1928-30	40.990669	35.872612		GR	
EDCS-28501071	CIL 03, 06895 = RRMAM-02-01, 00872 = RRMAM-03-04, 00031a	Pontus et Bithynia	Ahmet Saray / Ahmetsaray / Amasya / Amaseia	293	305	Augusti/Augustae; miliaria; viri	Imp(eratori) Caes(ari) / G(aio!) Aur(elio) Val(erio) / Diocletiano / P(io) F(elici) Invic(to) Aug(usto) et / Imp(eratori) Caes(ari) [[[M(arco) Aur(elio)]]] / [[Val(erio) [Maximiano]]] / P(io) F(elici) Invic(to) Aug(usto) / et Fl(avio) Val(erio) / Constantio / et Gal(erio) Val(erio) / Maximiano / nobiliss(imis) Caess(aribus) //	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=B223	40.990669	35.872612		GR	
EDCS-74300417	Lafli-2018, p 213	Pontus et Bithynia	Ahmet Saray / Ahmetsaray / Amasya / Amaseia	151	200	milites; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) / G(aius!) Iul(ius) Ne/o mil(es) leg(ionis) V Mac(edonicae) vix(it) / an(nos) XXX mil(itavit) an(nos) IX Te/rentius Ve/rus he(res) ei/us b(ene) m(erenti) p(osuit)				40.990669	35.872612			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Lafli-2018-213.jpg
EDCS-70200050	RRMAM-02-01, 00873 = RRMAM-03-04, 00031b	Pontus et Bithynia	Ahmet Saray / Ahmetsaray / Amasya / Amaseia			miliaria	?	lapis			40.990669	35.872612			
EDCS-41000058	RRMAM-01, 00025 = IK-10-01, 01016 = IK-10-01, 01020 = IK-10-02, 01029 = RRMAM-02-01, 00245 = RRMAM-03-04, 00089	Pontus et Bithynia	Ahmetbeyler	293	367	Augusti/Augustae; miliaria; viri	B(ona) [F(ortuna)] / [3 Diocletianus // et Maximianus] / P(ius) F(elix) Inv(ictus) Aug(ustus) et / F{e}l(avius) Val(erius) Constantius / et Gal(erius) Val(erius) M[aximianus] / nobb(ilissimi) Caesares //  // [D(omino)] n(ostro) / Fl(avio) Ioviano / victor(i) P(io) F(elici) / semper / Aug(usto) // [DD(ominis) nn(ostris)] / Valentinian et / Valenti [PP(iis) FF(elicibus)] / semper Aug(ustis!)	lapis			40.235195	30.8444382		GR	
EDCS-08400529	RRMAM-01, 00013 = IK-10-01, 01010 = IK-10-01, 01011 = RRMAM-02-01, 00222 = RRMAM-03-04, 00076 = AE 1984, 00834	Pontus et Bithynia	Aktas	337	367	Augusti/Augustae; miliaria; viri	Fl(avio) Iul(io) Constanti]/o P(io) F(elici) vic(tori) semper A[ug(usto)] et / Fl(avio) Iul(io) Constanti P(io) F(elici) / {t}vic(tori) semper Aug(usto) / [ // Valentiniano / et Valenti / PP(iis) FF(elicibus) s(e)mper / Augg(ustis)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD002251;HD002248 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD002251	40.299881	30.273649			
EDCS-77400096	AE 1888, 00171	Pontus et Bithynia	Amasra / Sesamos / Amastris	165	165	Augusti/Augustae; ordo senatorius; tituli honorarii; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1888-62	41.7489671	32.3866482		GR	
