EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-08300244	AE 1985, 00323a	Samnium / Regio IV	?				Patrimoni								
EDCS-08300245	AE 1985, 00323b	Samnium / Regio IV	?				Pr()manc() Ar()								
EDCS-08300246	AE 1985, 00323c	Samnium / Regio IV	?				Firm(i) Hilari et Ylae								
EDCS-08300247	AE 1985, 00323d	Samnium / Regio IV	?				C(ai) Salvi Grati								
EDCS-32701154	Avezzano 00074 = AE 2006, 00387	Samnium / Regio IV	?			tituli sepulcrales	D(is) M(anibus) s(acrum) / [3]o Firm/be[3]vi vix(it) / [			http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0123584 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0123584					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Avezzano_00074.jpg;$Avezzano_00074_1.jpg
EDCS-32701155	Avezzano 00075 = AE 2006, 00388	Samnium / Regio IV	?				] / [d]iebu[s 3]/ae Salvi/us Prisc[us] / b(ene) m(erenti) p(osuit)								http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Avezzano_00075.jpg
EDCS-32701156	Avezzano 00081	Samnium / Regio IV	?				?								http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Avezzano_00081.jpg
EDCS-18200290	CIL 09, 06310 (p 903, 1170) = CIL 09, *00264 = Allifae 00185 = Allifae 00194	Samnium / Regio IV	?			liberti/libertae; mulieres; tituli sepulcrales; tria nomina; viri	T(ito) Munio T(iti) l(iberto) / Genneo / Muniae T(iti) l(ibertae) / Pollae / Ti(berius) Munius Sp(uri) f(ilius) Col(lina) / Vemens / filius fecit			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p796;cil09_p81					
EDCS-18200291	CIL 09, 06311 (p 903, 1170) = CIL 09, *00265 = Allifae 00186 = Allifae 00195	Samnium / Regio IV	?			mulieres; tituli sepulcrales; tria nomina; viri	M(arco) Ulpio M(arci) f(ilio) Carto / Caecilia Iulia marito / vivo posuit			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p796;cil09_p81					
EDCS-74200250	CIL 09, 06881	Samnium / Regio IV	?	1	100	mulieres; tituli sepulcrales; viri	Q(uinto) Tito[3] / Libanus [3] / Poppidia [	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N174082 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR174082&partId=1					
EDCS-14803829	CIL 09, 02830 (p 1173) = ELarino p 331	Samnium / Regio IV	Acquaviva Collecroce / Uscosium	71	100	mulieres; nomen singulare; tituli sepulcrales; viri	Di{i}s Manib(us) / Aper filius vix(it) ann(os) VII / Caesa mater [			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p386;N164781 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR164781&partId=1	41.8675905	14.7467926			
EDCS-02900169	CIL 09, 06887 = ELarino p 332 = AE 1997, 00452	Samnium / Regio IV	Acquaviva Collecroce / Uscosium	101	200	tituli sepulcrales; tria nomina; viri	D(is) M(anibus) s(acrum) / L(ucio) Nonio Noni Me/[6] / qui vixit annis / XIIII me(n)sibu(s) uatt(u)o(r) / et dies(!) X pater b(ene) m(erenti) / et sibi se vivo p(osuit)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0091600;N164858 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0091600 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR164858&partId=1	41.8675905	14.7467926			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008769;PH0008770
EDCS-17500561	CIL 09, 06078,069 = AE 2010, +00387	Samnium / Regio IV	Agnone / Terventum				C(ai) Decci Luc()			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p728	41.8095612	14.3770463			
EDCS-17500562	CIL 09, 06078,192	Samnium / Regio IV	Agnone / Terventum				]guto / [3]seon			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p733	41.8095612	14.3770463			
EDCS-17500563	CIL 09, 06083,008 = AE 2010, +00387	Samnium / Regio IV	Agnone / Terventum			mulieres; signacula; tituli fabricationis; tituli possessionis; tria nomina	Aem(iliae) Et(h)/eries	aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p745	41.8095612	14.3770463			
EDCS-48700923	CIL 09, 06731 = Spigolature-04, p 364 = SupIt-27-T, 00018 = AE 2010, 00388	Samnium / Regio IV	Agnone / Terventum	101	200	mulieres; tituli sepulcrales; viri	] / [E]pidia [3] / [3]mo filio / [3] misera / [sib]i et / [3] M(arci) f(ilius) Vol(tinia) / [3]vir(o) / [	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N141247 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR141247&partId=1	41.8095612	14.3770463			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica-2010-364.jpg
EDCS-02900149	CIL 09, 06734 = Spigolature-04, p 362 = SupIt-27-T, 00021 = AE 1997, 00438	Samnium / Regio IV	Agnone / Terventum	1	100	mulieres; tria nomina; viri	Floriae P(ubli) f(iliae) / Rufinae / C(aius) Petreius C(ai) f(ilius) / Vol(tinia) Rufinus / et Petreia C(ai) f(ilia) / Celerina / matri	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N141241 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR141241&partId=1	41.8095612	14.3770463			
EDCS-02900150	CIL 09, 06737 = Spigolature-04, p 362 = SupIt-27-T, 00024 = AE 1997, 00439 = AE 2003, +00563	Samnium / Regio IV	Agnone / Terventum	101	200	mulieres; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) s(acrum) / M(arcus) Marius Cle/mens Vibiae / Bonitati av/iae pientis/simae b(ene) m(erenti) p(osuit)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N141242 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR141242&partId=1	41.8095612	14.3770463			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$SupIt-27-T_00024.jpg
EDCS-63700012	CIL 09, 06745 = SE-1976-282 = AE 2010, 00387	Samnium / Regio IV	Agnone / Terventum	-200	-101	nomen singulare; tituli sepulcrales; viri	Tetioris	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N141246 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR141246&partId=1	41.8095612	14.3770463			
