EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-06100299	AE 1989, 00349a	Sardinia	?			sigilla impressa; tituli fabricationis	M(arci) Plani L(uci) f(ilii) Russini	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD015300 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD015300	40.120875	9.012893			
EDCS-06100300	AE 1989, 00349b	Sardinia	?			sigilla impressa; tituli fabricationis	C(aius) Utius C(ai) f(ilius)	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD015303 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD015303	40.120875	9.012893			
EDCS-06100301	AE 1989, 00349c	Sardinia	?			sigilla impressa; tituli fabricationis	Cerdo	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD015306 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD015306	40.120875	9.012893			
EDCS-06100302	AE 1989, 00349d	Sardinia	?			liberti/libertae; sigilla impressa; tituli fabricationis	Cn(aei) Atelli Cn(aei) l(iberti) Bulio(nis)	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD015309 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD015309	40.120875	9.012893			
EDCS-05200306	AE 1990, 00467b	Sardinia	?	171	300	liberti/libertae; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) / Lucio H() Faus/to Lucius H() / Aristius Luc/ius H() Faustio / Lucius H() Geme[l]/lus p(atrono) v(ivi) f(ecerunt) vixit / annis XXXV			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N081960;HD017025 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD017025 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR081960&partId=1	40.120875	9.012893			
EDCS-30000434	AE 2003, 00798a	Sardinia	?			sigilla impressa; tituli fabricationis	C(ai) Atil(i) Tro(phimi)	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD044507 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD044507	40.120875	9.012893			
EDCS-30000435	AE 2003, 00798b	Sardinia	?			sigilla impressa; tituli fabricationis	M(arci) [N]ov(i) Iusti	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD044508 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD044508	40.120875	9.012893			
EDCS-70800369	ANRW-02-11-01, p 648	Sardinia	?			tituli sepulcrales	]XXI[3] / [3] et die[s			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N155148 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR155148&partId=1	40.120875	9.012893			
EDCS-70800370	ANRW-02-11-01, p 648	Sardinia	?			tituli sepulcrales	] sub di[e			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N155153 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR155153&partId=1	40.120875	9.012893			
EDCS-26500753	CIL 01, 02654o (p 1133)	Sardinia	?				M(arci) Tucci L(uci) f(ilii) Tro(mentina) / Galeons				40.120875	9.012893			
EDCS-22901687	CIL 10, 08053,027i (p 1000)	Sardinia	?			sigilla impressa; tituli fabricationis	Auf(idius) Fron()	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p873-00	40.120875	9.012893			
EDCS-22901676	CIL 10, 08053,114	Sardinia	?			sigilla impressa; tituli fabricationis	Ex of(ficina) / Lucce(i)	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p878	40.120875	9.012893			
EDCS-22901237	CIL 10, 08053,146b	Sardinia	?			sigilla impressa; tituli fabricationis	N(umeri) Nae(vi) Luci	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p879	40.120875	9.012893			
EDCS-23000224	CIL 10, 08053,157r	Sardinia	?			sigilla impressa; tituli fabricationis	C(ai) Op(p)i Res(tituti)	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p880	40.120875	9.012893			
EDCS-23000225	CIL 10, 08053,168v	Sardinia	?			sigilla impressa; tituli fabricationis	Iuliani	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p881	40.120875	9.012893			
EDCS-23000226	CIL 10, 08053,170	Sardinia	?			sigilla impressa; tituli fabricationis	Quar()	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p881	40.120875	9.012893			
EDCS-23000227	CIL 10, 08053,222	Sardinia	?			sigilla impressa; tituli fabricationis	Aniri	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p883	40.120875	9.012893			
EDCS-23000228	CIL 10, 08053,226	Sardinia	?			sigilla impressa; tituli fabricationis	Aul()	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p883	40.120875	9.012893			
EDCS-23000229	CIL 10, 08053,229	Sardinia	?			sigilla impressa; tituli fabricationis	CAMV	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p883	40.120875	9.012893			
EDCS-23000230	CIL 10, 08053,233	Sardinia	?			sigilla impressa; tituli fabricationis	C F	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p883	40.120875	9.012893			
EDCS-23000231	CIL 10, 08053,255b	Sardinia	?			sigilla impressa; tituli fabricationis	Inaci Iuli	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p884	40.120875	9.012893			
EDCS-23000233	CIL 10, 08056,112a	Sardinia	?			sigilla impressa; tituli fabricationis	Cres(centis)	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p896	40.120875	9.012893			
EDCS-23000234	CIL 10, 08056,116e	Sardinia	?			sigilla impressa; tituli fabricationis	Crispini	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p896	40.120875	9.012893			
EDCS-23000232	CIL 10, 08056,148b	Sardinia	?			sigilla impressa; tituli fabricationis	Felicis	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p897	40.120875	9.012893			
EDCS-23000014	CIL 10, 08056,196d	Sardinia	?			sigilla impressa; tituli fabricationis	S(exti) M() F()	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p900	40.120875	9.012893			
EDCS-23000015	CIL 10, 08056,196e	Sardinia	?			sigilla impressa; tituli fabricationis	Sex(ti) M() F()	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p900	40.120875	9.012893			
EDCS-32900016	CIL 10, 08056,217c	Sardinia	?			sigilla impressa; tituli fabricationis	Murri	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p901	40.120875	9.012893			
EDCS-23000013	CIL 10, 08056,268a	Sardinia	?			sigilla impressa; tituli fabricationis	Pius	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p902	40.120875	9.012893			
EDCS-23000011	CIL 10, 08056,300a	Sardinia	?			sigilla impressa; tituli fabricationis	L() Rasini	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p904	40.120875	9.012893			
EDCS-23000012	CIL 10, 08056,335	Sardinia	?			sigilla impressa; tituli fabricationis	Silvi	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p905	40.120875	9.012893			
EDCS-23000010	CIL 10, 08056,354b	Sardinia	?			sigilla impressa; tituli fabricationis	A(uli) Titi / figul(i)	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p906	40.120875	9.012893			
EDCS-23101891	CIL 10, 08056,428	Sardinia	?			sigilla impressa; tituli fabricationis	Caesar	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p908	40.120875	9.012893			
EDCS-23101894	CIL 10, 08056,437	Sardinia	?			sigilla impressa; tituli fabricationis	C(ai) Cili	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p909	40.120875	9.012893			
EDCS-23101888	CIL 10, 08056,452a	Sardinia	?			sigilla impressa; tituli fabricationis	CNAEP	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p909	40.120875	9.012893			
EDCS-23101889	CIL 10, 08056,452b	Sardinia	?			sigilla impressa; tituli fabricationis	CNAEP	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p909	40.120875	9.012893			
