EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-13600431	AE 1956, 00146	Sicilia	?			signacula medicorum; tituli operum; tria nomina; viri	Phoenix // R() Alexandri pho/[n]ix ad impetum ex o(vo) // R() Alexandri dia/omph(acium) ol(ae?) ad imp(etum) ex o(vo) // R() Alexandri dias/mrnes post imp(etum) // R() Alexandri diam(i)/sus con(t)r(a) asprit(udines)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N074120;HD018075 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD018075 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR074120&partId=1	37.397930	14.658782			
EDCS-46600171	AE 2007, 00684	Sicilia	?								37.397930	14.658782		GR	
EDCS-71000712	ASNP-1990-424	Sicilia	?					aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N161814 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR161814&partId=1	37.397930	14.658782		GR	
EDCS-64400513	BollArte-1931-364a	Sicilia	?	201	300					http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109584 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR109584&partId=1	37.397930	14.658782		GR	
EDCS-64400514	BollArte-1931-364b	Sicilia	?	201	300					http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109585 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR109585&partId=1	37.397930	14.658782		GR	
EDCS-64400512	BollArte-1931-365	Sicilia	?	201	300		AEC			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109573 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR109573&partId=1	37.397930	14.658782			
EDCS-64400511	ByzSic-2002-483	Sicilia	?					aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109545 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR109545&partId=1	37.397930	14.658782		GR	
EDCS-64400510	ByzSic-2002-661	Sicilia	?							http://db.edcs.eu/epigr/partner.php?s_language=en&param=N113528 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR113528&partId=1	37.397930	14.658782		GR	
EDCS-19700418	CIL 01, 00425f (p 722, 886) = ILLRP 01177f	Sicilia	?				Tr(ebius) Loisio(s)				37.397930	14.658782			
EDCS-32900046	CIL 10, 08053,056u	Sicilia	?			sigilla impressa; tituli fabricationis	C(ai) Cor(neli?) Urs(i)	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p875	37.397930	14.658782			
EDCS-22900591	CIL 10, 08053,102x	Sicilia	?			sigilla impressa; tituli fabricationis	[I]uni Axi	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p877	37.397930	14.658782			
EDCS-19700392	CIL 10, 08054,5a = CIL 01, 00409a (p 721, 885) = ILLRP 01211	Sicilia	?			sigilla impressa; tituli fabricationis	L(ucius) Gabinio(s)	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p887	37.397930	14.658782			
EDCS-23000016	CIL 10, 08056,197d	Sicilia	?			sigilla impressa; tituli fabricationis	Sex(ti) M() P()	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p900	37.397930	14.658782			
EDCS-23300041	CIL 10, 08063,2m	Sicilia	?			sigilla impressa; tituli fabricationis	L(ucius) Piso L(uci) f(ilius) // Co(n)s(ul)	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p940	37.397930	14.658782			
EDCS-24800014	CIL 15, 01665,17 = ICVaticano p 242 = AE 2001, +00744	Sicilia	?			inscriptiones christianae; sigilla impressa; tituli fabricationis	Reg(nante) d(omino) n(ostro) Theode/rico bono Rom(a)e	opus figlinae			37.397930	14.658782			
EDCS-09400440	Epigraphica-1941-267 = AE 1975, 00453	Sicilia	?			mulieres; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) s(acrum) / Cassia Galene / vixit ann(os) XXXX / C(aius) Iulius Macedo / uxori piissimae / fecit			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N076314;CO0102279;HD009885;is3434 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD009885 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0102279 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR076314&partId=1	37.397930	14.658782			
EDCS-64500430	Epigraphica-2007-281	Sicilia	?					aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N110281 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR110281&partId=1	37.397930	14.658782		GR	
EDCS-64500530	ICOS p 191	Sicilia	?	201	300					http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109605 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR109605&partId=1	37.397930	14.658782		GR	
EDCS-64500529	ICOS p 192	Sicilia	?	201	300					http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109606 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR109606&partId=1	37.397930	14.658782		GR	
EDCS-64500528	ICOS p 196	Sicilia	?							http://db.edcs.eu/epigr/partner.php?s_language=en&param=N110192 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR110192&partId=1	37.397930	14.658782		GR	
EDCS-39101540	IG-14, 00593 = IGASMG-02, 00016	Sicilia	?	-500	-471			aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N138101;P140920;P329391 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR138101&partId=1	37.397930	14.658782		GR	
EDCS-39101541	IG-14, 00594	Sicilia	?	-470	-431			aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N149520;P140921 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR149520&partId=1	37.397930	14.658782		GR	
EDCS-65000075	IG-14, 00595 = IGASMG-02, 00077	Sicilia	?							http://db.edcs.eu/epigr/partner.php?s_language=en&param=P329457	37.397930	14.658782		GR	
EDCS-39101543	IG-14, 00596 = IGASMG-02, 00078	Sicilia	?							http://db.edcs.eu/epigr/partner.php?s_language=en&param=P329459	37.397930	14.658782		GR	
EDCS-39101544	IG-14, 00597	Sicilia	?	-500	-401	tituli sacri		argentum		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107958;P140924 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107958&partId=1	37.397930	14.658782		GR	
