EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-23200912	CIL 11, 06609 = Pisaurum *00001	Umbria / Regio VI	?	1	200	tituli operum	] / strui curavit quam c[3]/ris omnibus de suo exor[navit]			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016166 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR016166&partId=1					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_11_06609.jpg;pp
EDCS-23200913	CIL 11, 06610 = Pisaurum *00002	Umbria / Regio VI	?	-100	-1	mulieres; tituli sepulcrales; tria nomina; viri	v(ivus) pos]uit / L(ucius) Gaius / L(uci) f(ilius) [P]ol(lia) Nerva / |(obita) T[ett]ia Q(uinti) f(ilia) / [G]alla / in f[r(onte)] p(edes) XII agr(o) / [p(edes)] XIIX			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016167 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR016167&partId=1					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-23200914	CIL 11, 06611 = Pisaurum *00003	Umbria / Regio VI	?	1	200	liberti/libertae; mulieres; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) / Magiae / Primitivae / lib(ertae) opt<i=U>mae / coniugi / vix(it) ann(os) XXII / C(aius) Magius / Mercator / b(ene) m(erenti) f(ecit)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016168 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR016168&partId=1					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_11_06611.jpg;pp
EDCS-23200915	CIL 11, 06612	Umbria / Regio VI	?	1	200	liberti/libertae; nomen singulare; praenomen et nomen; tituli sepulcrales; viri	Latinus / Q(uinti) Petroni lib(ertus) / annor(um) XXIV / h(ic) s(itus) e(st)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016418 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR016418&partId=1					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-23200916	CIL 11, 06613	Umbria / Regio VI	?	1	200	tituli sepulcrales; viri	[Pom]peio [			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016419 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR016419&partId=1					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-23200917	CIL 11, 06614	Umbria / Regio VI	?	1	200	liberti/libertae; tituli sepulcrales; viri	L(ucius) Turius |(mulieris) [l(ibertus)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016420;CO0003912;http://www.culturaitalia.it/opencms/opencms/system/modules/com.culturaitalia_stage.liberologico/templates/viewItem.jsp?language=it%26case=%26id=oai%3Aculturaitalia.it%3Amuseiditalia-work_92891 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0003912 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR016420&partId=1					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0002746;pp
EDCS-23200918	CIL 11, 06615	Umbria / Regio VI	?	1	200		]DI[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016421 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR016421&partId=1					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-54900652	Epigraphica-2011-368 = AE 2011, 00360	Umbria / Regio VI	?	-20	20	praenomen et nomen; tituli sepulcrales; viri	P(ublius) Vibius P(ubli) f(ilius) / Lem(onia)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N146919 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR146919&partId=1					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica_2011_368.jpg;pp
EDCS-43900042	Valnerina p 185	Umbria / Regio VI	Abbazia San Pietro in Valle	1	50	tituli sepulcrales; tria nomina; viri	[3]arius T(iti) f(ilius) / [T]elamo			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N161033 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR161033&partId=1	42.6452691	12.8115851			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Valnerina_p185.jpg;pp
EDCS-15000162	AE 1950, 00193 = AE 2000, 00537	Umbria / Regio VI	Acqualagna / Pitinum Mergens	51	150	sacerdotes pagani; tituli operum; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) / sodalicius / Apollinensis Sattianensis / loc(us) dat(us) a G(aio!) Rufio / Basso patrono			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N108386;HD022036 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD022036 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR108386&partId=1	43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
