EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-12100904	RMD-02, 00131 = AE 1979, 00626 = AE 2000, +00078	Cilicia	?	214	214	214	214	Augusti/Augustae;  diplomata militaria;  milites;  mulieres;  ordo equester;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caes(ar) divi Septimi Severi Pii Arab(ici) Adiab(enici) Parth(ici) / max(imi) Brit(annici) max(imi) fil(ius) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) nep(os) / divi Antonini Pii pronep(os) divi Hadriani abnep(os) divi / Traiani Parthic(i) et divi Nervae adnep(os) / M(arcus) Aurellius Antoninus Pius Felix Aug(ustus) Parthic(us) / max(imus) Brit(annicus) maxim(us) Germ(anicus) max(imus) pont(ifex) maxim(us) / trib(unicia) pot(estate) XVII imp(erator) III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) / iis qui militaverunt in classe praetoria Antoninian(a) / Misenensi quae est sub Claudio Dionysio / praef(ecto) octonis et vicenis stipendi(i)s emeritis di/missis honesta missione quorum nomina sub/scripta sunt ipsis filiisque eorum quos susce/perint ex mulieribus quas secum concessa consue/tudine vixisse probaverint civitatem Romanam / dedit et conubium cum iisdem quas tunc secum / habuissent cum est civitas iis data aut / si qui tunc non habuissent cum iis quas / postea uxores duxissent dumtaxat / singulis singulas a(nte) d(iem) V Kal(endas) Dec(embres) / L(ucio) Valerio Messala C(aio) Suetrio Sabino co(n)s(ulibus) / ex principale / M(arco) Herennio Pappaionis fil(io) Pasicrat(a)e n(atione) / Isaurus vico Calloso et Herenniae Nesto/ris fil(iae) Immae uxor(i) eius civit(ate) Isaur(a) vico s(upra) s(cripto) / descript(um) et recognit(um) ex tabula aerea quae fixa / est Rom(a)e in muro pos(t) templ(um) divi Aug(usti) ad Minerva(m) // Imp(erator) Caes(ar) divi Septimi Severi Pii Arab(ici) Adiab(enici) Parth(ici) / max(imi) Brit(annici) max(imi) fil(ius) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) nep(os) / divi Antonini Pii pronep(os) divi Hadriani abnep(os) divi / Traiani Parthic(i) et divi Nervae adnep(os) / M(arcus) Aurellius Antoninus Pius Felix Aug(ustus) Parthic(us) / max(imus) Brit(annicus) maxim(us) Germ(anicus) max(imus) pont(ifex) maxim(us) / trib(unicia) pot(estate) XVII imp(erator) III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) / iis qui militaverunt in classe praetoria Antoninian(a) / Misenensi quae est sub Claudio Dionysio / praef(ecto) octonis et vicenis stipendi(i)s emeritis di/missis honesta missione quorum nomina sub/scripta sunt ipsis filiisque eorum quos susce/perint ex mulieribus quas secum concessa consue/tudine vixisse probaverint civitatem Romanam / dedit et conubium cum iisdem quas tunc secum / habuissent cum est civitas iis data aut / si qui tunc non habuissent cum iis quas / postea uxores dexissent(!) dumtaxat / singulis singulas [	Imp Caes divi Septimi Severi Pii Arab Adiab Parth max Brit max fil divi M Antonini Pii Germ Sarm nep divi Antonini Pii pronep divi Hadriani abnep divi Traiani Parthic et divi Nervae adnep M Aurellius Antoninus Pius Felix Aug Parthic max Brit maxim Germ max pont maxim trib pot XVII imp III cos IIII p p procos iis qui militaverunt in classe praetoria Antoninian Misenensi quae est sub Claudio Dionysio praef octonis et vicenis stipendis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis filiis que eorum quos susceperint ex mulieribus quas secum concessa consuetudine vixisse probaverint civitatem Romanam dedit et conubium cum iisdem quas tunc secum habuissent cum est civitas iis data aut si qui tunc non habuissent cum iis quas postea uxores duxissent dumtaxat singulis singulas a d V Kal Dec L Valerio Messala C Suetrio Sabino cos ex principale M Herennio Pappaionis fil Pasicrate n Isaurus vico Calloso et Herenniae Nestoris fil Immae uxor eius civit Isaur vico s s descript et recognit ex tabula aerea quae fixa est Rome in muro pos templ divi Aug ad Minerva Imp Caes divi Septimi Severi Pii Arab Adiab Parth max Brit max fil divi M Antonini Pii Germ Sarm nep divi Antonini Pii pronep divi Hadriani abnep divi Traiani Parthic et divi Nervae adnep M Aurellius Antoninus Pius Felix Aug Parthic max Brit maxim Germ max pont maxim trib pot XVII imp III cos IIII p p procos iis qui militaverunt in classe praetoria Antoninian Misenensi quae est sub Claudio Dionysio praef octonis et vicenis stipendis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis filiis que eorum quos susceperint ex mulieribus quas secum concessa consuetudine vixisse probaverint civitatem Romanam dedit et conubium cum iisdem quas tunc secum habuissent cum est civitas iis data aut si qui tunc non habuissent cum iis quas postea uxores dexissent dumtaxat singulis singulas	Imperator Caesar divi Septimi Severi Pii Arabici Adiabenici Parthici maximi Britannici maximi filius divi Marci Antonini Pii Germanici Sarmatici nepos divi Antonini Pii pronepos divi Hadriani abnepos divi Traiani Parthici et divi Nervae adnepos Marcus Aurellius Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus Germanicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul iis qui militaverunt in classe praetoria Antoniniana Misenensi quae est sub Claudio Dionysio praefecto octonis et vicenis stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis filiis que eorum quos susceperint ex mulieribus quas secum concessa consuetudine vixisse probaverint civitatem Romanam dedit et conubium cum iisdem quas tunc secum habuissent cum est civitas iis data aut si qui tunc non habuissent cum iis quas postea uxores duxissent dumtaxat singulis singulas ante diem V Kalendas Decembres Lucio Valerio Messala Caio Suetrio Sabino consulibus ex principale Marco Herennio Pappaionis filio Pasicratae natione Isaurus vico Calloso et Herenniae Nestoris filiae Immae uxori eius civitate Isaura vico supra scripto descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Imperator Caesar divi Septimi Severi Pii Arabici Adiabenici Parthici maximi Britannici maximi filius divi Marci Antonini Pii Germanici Sarmatici nepos divi Antonini Pii pronepos divi Hadriani abnepos divi Traiani Parthici et divi Nervae adnepos Marcus Aurellius Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus Germanicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul iis qui militaverunt in classe praetoria Antoniniana Misenensi quae est sub Claudio Dionysio praefecto octonis et vicenis stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis filiis que eorum quos susceperint ex mulieribus quas secum concessa consuetudine vixisse probaverint civitatem Romanam dedit et conubium cum iisdem quas tunc secum habuissent cum est civitas iis data aut si qui tunc non habuissent cum iis quas postea uxores dexissent dumtaxat singulis singulas	aes						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD008515			214 to 214
EDCS-70200253	RRMAM-03-07, 00043 = AE 2015, 01648	Cilicia	?	218	221	218	305	Augusti/Augustae;  miliaria;  ordo senatorius;  tituli sacri;  tria nomina;  viri	[I]mp(eratori) Caes(ari) / [d]ivi Severi / nep(oti) divi M(arci) A[ur(eli)] / [A]ntonini fil(io) / M(arco) Aur(elio) Anto/nino Pio Fe[l]/ici Aug(usto) mili[a] / restituta / [p]er M(arcum) Ulp(ium) O[fel]/[l]ium Theod[o]/[r]um leg(atum) Aug(usti) / pr(o) pr(aetore) / m(ilia) //  // ] / Maxi[miano	mp Caes ivi Severi nep divi M A ntonini fil M Aur Antonino Pio Feici Aug mili restituta er M Ulp Oium Theod Maximiano	Imperatori Caesari divi Severi nepoti divi Marci Aureli Antonini filio Marco Aurelio Antonino Pio Felici Augusto milia restituta per Marcum Ulpium Ofellium Theodorum legatum Augusti pro praetore milia Maximiano	lapis				GR					a:  218 to 221;   b:  293 to 305
EDCS-70200304	RRMAM-03-07, 00044 = AE 2015, 01655	Cilicia	?	293	305	293	305	Augusti/Augustae;  miliaria;  viri				lapis				GR					293 to 305
EDCS-44500171	RWI-inc-20	Cilicia	?	1	300	1	300	tituli sepulcrales;  viri	] / Avito [3] / filio T[3] / suos f[	Avito filio T suos f	Avito filio T suos f							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD060021			1 to 300
EDCS-77400190	AE 1898, 00053	Cilicia	Adana									lapis		36.9936175	35.3258349	GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1898-15			
EDCS-21000726	AE 2000, 01863	Cilicia	Adana					milites;  sigilla impressa;  tituli possessionis;  tria nomina;  viri	Silv(i) Ros()	Silv Ros	Silvi Ros	opus figlinae		36.9936175	35.3258349			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048250			
EDCS-71300283	AE 2014, 01366	Cilicia	Adana					signacula;  tituli fabricationis;  tituli possessionis;  tria nomina;  viri	C(ai) Voc(ci?) Forti(s)	C Voc Forti	Cai Vocci Fortis	aes		36.9936175	35.3258349						
EDCS-22300475	CIL 03, 00220	Cilicia	Adana	71	300	71	300	mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) s(acrum) / Corn(eli) Bass[i] / Cornelia Mar[ci]/ana fec[it]	D M s Corn Bass Cornelia Marana fec	Dis Manibus sacrum Corneli Bassi Cornelia Marciana fecit			36.9936175	35.3258349			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD059912			71 to 300
EDCS-12500263	ICilicie 00047 = Denkm 00688d = IK-56, 00068 = AE 1990, 00990 = AE 1991, 01555 = AE 2006, +01553	Cilicia	Adana	197	218	197	218	milites;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Claventio Si/lvano veteran(o) / ex numero e{x}/quitum Bata/vo<r=N>um nati/one Pannonius / domo Sirmi vix(it) / an(nos) L Aurel(ius) Pris/cianus et Iul(ius) Alexan/der h(eredes) m(emoriae) c(ausa)	D M Claventio Silvano veteran ex numero exquitum BatavoNum natione Pannonius domo Sirmi vix an L Aurel Priscianus et Iul Alexander h m c	Dis Manibus Claventio Silvano veterano ex numero equitum Batavorum natione Pannonius domo Sirmi vixit annos L Aurelius Priscianus et Iulius Alexander heredes memoriae causa			36.9936175	35.3258349		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD025065			197 to 218
EDCS-16201159	RRMAM-01, 00064 = RRMAM-02-01, 00064 = RRMAM-03-07, 00041 = AE 1922, 00129	Cilicia	Adana	230	231	230	231	Augusti/Augustae;  litterae erasae;  miliaria;  tituli operum;  viri	Imp(erator) Caes(ar) M(arcus) / Aur(elius) Severus / [[Alexander]] / Pius Felix Invi/ctus Aug(ustus) ponti(fex) / max(imus) tribuni(cia) / pot(estate) X imp(erator) X / co(n)s(ul) III p(ater) p(atriae) pro/co(n)s(ul) viam pu/blicam et pon/tes restituit / m(ilia) p(assuum) XXX // Λʹ	Imp Caes M Aur Severus Pius Felix Invictus Aug ponti max tribuni pot X imp X cos III p p procos viam publicam et pontes restituit m p XXX Λʹ	Imperator Caesar Marcus Aurelius Severus Alexander Pius Felix Invictus Augustus pontifex maximus tribunicia potestate X imperator X consul III pater patriae proconsul viam publicam et pontes restituit milia passuum XXX Λʹ	lapis		36.9936175	35.3258349			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD025468;1ae1922-39;1ae1922-40			230 to 231
