EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-13302646	AE 1959, 00063	Lugudunensis	?						Ego qui lego pedicor	Ego qui lego pedicor	Ego qui lego pedicor							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD019186			
EDCS-00381068	AE 1994, 01915 = AE 1999, 01173 = AE 1999, 01174 = AE 2002, +00906 = AE 2004, +00989	Lugudunensis	?					Augusti/Augustae;  ordo decurionum;  tituli sacri;  tria nomina;  viri	Aug(usto) sacr(um) deo Cobanno / L(ucius) Maccius Aeternus / IIvir ex voto	Aug sacr deo Cobanno L Maccius Aeternus II vir ex voto	Augusto sacrum deo Cobanno Lucius Maccius Aeternus II vir ex voto							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048541			
EDCS-21000706	AE 2000, 01845 = AE 2002, +00906 = AE 2004, +00989	Lugudunensis	?					nomen singulare;  servi/servae;  tituli sacri;  viri	Deo Coban(n)o / Geminianus / Solini v(otum) s(olvit) l(ibens) m(erito)	Deo Cobano Geminianus Solini v s l m	Deo Cobanno Geminianus Solini votum solvit libens merito							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048236			
EDCS-21000707	AE 2000, 01846 = AE 2002, +00906 = AE 2004, +00989	Lugudunensis	?					Augusti/Augustae;  tituli sacri;  tria nomina;  viri	August<o=V> / sacru(m) / deo Coban/n<o=U> / M(arcus) Tutu(s) Cassio	AugustV sacru deo CobannU M Tutu Cassio	Augusto sacrum deo Cobanno Marcus Tutus Cassio							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048237			
EDCS-21000708	AE 2000, 01847 = AE 2002, +00906 = AE 2004, +00989	Lugudunensis	?					nomen singulare;  tituli sacri;  viri	Deo Cobanno Samotalus Brigonis f(ilius) / Augustodune(n)sis ex voto suscepto	Deo Cobanno Samotalus Brigonis f Augustodunesis ex voto suscepto	Deo Cobanno Samotalus Brigonis filius Augustodunensis ex voto suscepto							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048238			
EDCS-12400062	CIL 17-02, 00333 = CIL 13, 08882 = CAG-48, p 82 = CAG-48a, p 224 = CAG-48a, p 462 = ILA-Gabales, 00030	Lugudunensis	?	260	269	260	269	Augusti/Augustae;  miliaria;  viri	Imp(eratori) Caes(ari) / M(arco) Cas(sianio) Lat(inio) / Postumo / P(io) F(elici) Aug(usto) co(n)s(uli) / [civit(as)] Gabal(orum) / m(ilia) p(assuum) {L} [X]V(?)	Imp Caes M Cas Lat Postumo P F Aug cos Gabal m p L V	Imperatori Caesari Marco Cassianio Latinio Postumo Pio Felici Augusto consuli civitas Gabalorum milia passuum XV	lapis									260 to 269
EDCS-39500951	IG-14, 02573,17	Lugudunensis	?						ΤΕΚΟΥΣΙ // Duguti	ΤΕΚΟΥΣΙ Duguti	ΤΕΚΟΥΣΙ Duguti							http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143417			
EDCS-13303226	ILTG 00333a	Lugudunensis	?						] posuit / [3] ann(orum) IX	posuit ann IX	posuit annorum IX										
EDCS-13303355	ILTG 00511	Lugudunensis	?						Velox / VI // Audax XXI	Velox VI Audax XXI	Velox VI Audax XXI										
EDCS-13303379	ILTG 00521	Lugudunensis	?						Artos / avo[t]	Artos avo	Artos avot										
EDCS-13303380	ILTG 00522	Lugudunensis	?						Iulos avot	Iulos avot	Iulos avot										
EDCS-13303391	ILTG 00535	Lugudunensis	?						Ego qui lego pedicor	Ego qui lego pedicor	Ego qui lego pedicor										
EDCS-19800289	ILingons 00056 = CAG-21-02, p 304 = AE 2000, 01848	Lugudunensis	?	196	197	196	197	Augusti/Augustae;  nomen singulare;  tituli honorarii;  tituli sacri;  viri	D(eo) Mart(i) / pro sal(ute) / C(lodi) Albini / Aug{g}(usti) n(ostri) / At(t)icus Lug(udunensis) / v(otum) s(olvit) l(ibens) m(erito)	D Mart pro sal C Albini Augg n Aticus Lug v s l m	Deo Marti pro salute Clodi Albini Augusti nostri Atticus Lugudunensis votum solvit libens merito	lapis	Auch wenn man über die Herkunft nichts sagen kann, gehört er ursprünglich wohl in die Lugudunensis (Wolfgang Spickermann).				http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$TR_AE_2000_01848_1.jpg;$TR_AE_2000_01848_2.jpg;$TR_AE_2000_01848_3.jpg;$TR_AE_2000_01848_4.jpg;$TR_AE_2000_01848_5.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048239			196 to 197
