EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-10400133	AE 1997, 01340	Macedonia	?	125	125	125	125	Augusti/Augustae;  miliaria;  tituli sacri;  viri	[Imp(erator) Caesar] / [divi] Traiani Par/thici f(ilius) divi Ner/vae nepos Trai/anus Hadrianus / Augustus ponti[f(ex)] / max(imus) trib(unicia) potest(ate) / VIIII co(n)s(ul) III / a civitate m(ilia) p(assuum) I	Traiani Parthici f divi Nervae nepos Traianus Hadrianus Augustus ponti max trib potest VIIII cos III a civitate m p I	Imperator Caesar divi Traiani Parthici filius divi Nervae nepos Traianus Hadrianus Augustus pontifex maximus tribunicia potestate VIIII consul III a civitate milia passuum I	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049791			125 to 125
EDCS-10400134	AE 1997, 01341	Macedonia	?	125	125	125	125	Augusti/Augustae;  miliaria;  tituli sacri;  viri	[Imp(erator) Caes(ar) divi] / [Traiani Parthici f(ilius)] / [divi Nervae nepos Tra/i]anu[s Hadrianus Augus]/[t]us po[ntif(ex)] / [ma]x(imus) trib(unicia) [potes(tate)] / VIIII co(n)[s(ul) III] / a civi[tate] / m(ilia) p(assuum) VII[3]	anuus po x trib VIIII co a civi m p VII	Imperator Caesar divi Traiani Parthici filius divi Nervae nepos Traianus Hadrianus Augustus pontifex maximus tribunicia potestate VIIII consul III a civitate milia passuum VII	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049792			125 to 125
EDCS-67200445	AE 2007, 01274	Macedonia	?	201	250	201	250		Αὐρήλιοι Αρδουβαρις Βασκιλας Ἀρτεμίδωρος τῷ πάππῳ Αρδουβαριῳ κὲ τῷ πατρὶ Πυρουλᾳ κὲ τῷ πατραδελφῷ Διζᾳ κὲ τῇ θυγατρὶ αὐτοῦ Σκαρκῃ κατυχομένοις ἐπύουν	Αὐρήλιοι Αρδουβαρις Βασκιλας Ἀρτεμίδωρος τῷ πάππῳ Αρδουβαριῳ κὲ τῷ πατρὶ Πυρουλᾳ κὲ τῷ πατραδελφῷ Διζᾳ κὲ τῇ θυγατρὶ αὐτοῦ Σκαρκῃ κατυχομένοις ἐπύουν	Αὐρήλιοι Αρδουβαρις Βασκιλας Ἀρτεμίδωρος τῷ πάππῳ Αρδουβαριῳ κὲ τῷ πατρὶ Πυρουλᾳ κὲ τῷ πατραδελφῷ Διζᾳ κὲ τῇ θυγατρὶ αὐτοῦ Σκαρκῃ κατυχομένοις ἐπύουν	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065241			201 to 250
EDCS-67200446	AE 2007, 01275	Macedonia	?	191	191	191	191		ἔτους βκςʹ Σεβα[στοῦ] / [Ὑ]περβερταίου Πατ[3] / [3]ι Μαργαρε[ιτ 3]	ἔτους βκςʹ Σεβα περβερταίου Πατ ι Μαργαρε	ἔτους βκςʹ Σεβαστοῦ Ὑπερβερταίου Πατ ι Μαργαρειτ	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065242			191 to 191
EDCS-78300271	AE 2017, 01287 = IG-10-02-01, 01280	Macedonia	?	-100	100	-100	100	mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina	Posilla Atilia sorori / Secundae suae	Posilla Atilia sorori Secundae suae	Posilla Atilia sorori Secundae suae	lapis									-100 to 100
EDCS-78300272	AE 2017, 01288 = IG-10-02-01, 01043	Macedonia	?	101	200	101	200	mulieres;  tituli sepulcrales;  tria nomina;  viri	]o Apolloni / et T(ito) Luscio Recepto / et Lusciae Quaesitae / vivae ex testamento / arbitratu / P(ubli) Popilli Salvi et T(iti) Lusci / Felicis	o Apolloni et T Luscio Recepto et Lusciae Quaesitae vivae ex testamento arbitratu P Popilli Salvi et T Lusci Felicis	o Apolloni et Tito Luscio Recepto et Lusciae Quaesitae vivae ex testamento arbitratu Publi Popilli Salvi et Titi Lusci Felicis	lapis									101 to 200
EDCS-78300274	AE 2017, 01290 = IG-10-02-01, 01369	Macedonia	?	101	200	101	200	mulieres;  nomen singulare;  officium/professio;  servi/servae;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Helleno Aug(usti) / vern(ae) disp(ensatori) kalendari(i) / Caesiani pro/vinciae Mace/doniae / Accia Zosime / coniugi / karissimo	D M Helleno Aug vern disp kalendari Caesiani provinciae Macedoniae Accia Zosime coniugi karissimo	Dis Manibus Helleno Augusti vernae dispensatori kalendarii Caesiani provinciae Macedoniae Accia Zosime coniugi karissimo	lapis									101 to 200
EDCS-78300275	AE 2017, 01291 = IG-10-02-01, 01570	Macedonia	?	1	100	1	100	viri	[3] N(umeri) f(ilius?) Q(uirina) / [	N f Q	Numeri filius Quirina	lapis									1 to 100
EDCS-78300276	AE 2017, 01292 = IG-10-02-01, 01571	Macedonia	?	1	200	1	200	tria nomina;  viri	]M[3] / [3 V]ol(tinia) Rufu[s 3] / [3] Qu(inti) f(ilius) Bassus [3] / [3] f(ilius) Vo[l(tinia) // ]offula [3] / [3]ursus T[	M ol Rufu Qu f Bassus f Vooffula ursus T	M Voltinia Rufus Quinti filius Bassus filius Voltinia offula ursus T	lapis									1 to 200
EDCS-78300277	AE 2017, 01293 = IG-10-02-01, 01572	Macedonia	?	1	200	1	200		]IV[3] / [3]APEIV[3] / [3]LIVS[3] / [3]VLIVS[3] / [3]APE[	IV APEIV LIVS VLIVS APE	IV APEIV LIVS VLIVS APE	lapis									1 to 200
