EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-57200166	BVbl-1997-233	Raetia	?	1	300	1	300	milites;  tituli possessionis;  tria nomina;  viri	Aeli(us) Celerinus	Aeli Celerinus	Aelius Celerinus	aes						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD063755			1 to 300
EDCS-27700252	CIL 03, 05976 = IBR 00444-00449	Raetia	?					milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Iuli Ovve/nis optio/nis leg(ionis) III / Ital(icae) vixit / an(nos) XXVI[3] / mil(itavit) ann(os) / VIII optio / an(nos) II Aur(elius) / coll(ega) et he/res f(aciendum) c(uravit)	D M Iuli Ovvenis optionis leg III Ital vixit an XXVI mil ann VIII optio an II Aur coll et heres f c	Dis Manibus Iuli Ovvenis optionis legionis III Italicae vixit annos XXVI militavit annos VIII optio annos II Aurelius collega et heres faciendum curavit										
EDCS-28400453	CIL 03, 06008,09e	Raetia	?					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Campili	Campili	Campili	opus figlinae									
EDCS-28400452	CIL 03, 06010,012c	Raetia	?					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Amandus fecit	Amandus fecit	Amandus fecit	opus figlinae									
EDCS-63200924	CIL 13, 10010,0044g	Raetia	?					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Alianus f(ecit)	Alianus f	Alianus fecit	opus figlinae									
EDCS-62100992	CIL 13, 10017,0093u	Raetia	?					tituli possessionis	XEX	XEX	XEX	opus figlinae									
EDCS-37500157	IBR 00231a	Raetia	?						Precar[	Precar	Precar						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IBR_00231a.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058699			
EDCS-06100462	AE 1986, 00528 = AE 1989, 00579 = AE 1995, +00045	Raetia	Aalen / Ala	163	164	163	164	Augusti/Augustae;  ordo equester;  tituli honorarii;  tria nomina;  viri	[Imp(eratori) Caes(ari)] M(arco) Aur[elio Anto]/[nino Aug(usto)] p(ontifici) m(aximo) t[ribunicia] / [pot(estate) XVIII] imp(eratori) II [co(n)s(uli) III p(atri) p(atriae) et] / [Imp(eratori) Caes(ari) L(ucio)] Aureli[o Vero Aug(usto)] / [Armenia]co trib(unicia) pot(estate) III[I imp(eratori) II] / [co(n)s(uli) II su]b cura Bai P[uden]/[tis proc(uratoris) per ala]m II F[l(aviam) |(miliariam) P(iam) F(idelem)] / fecit [3]ius Lo[lli]an[us praef(ectus)]	M Aur p m t imp II Aureli co trib pot III b cura Bai Pm II F fecit ius Loan	Imperatori Caesari Marco Aurelio Antonino Augusto pontifici maximo tribunicia potestate XVIII imperatori II consuli III patri patriae et Imperatori Caesari Lucio Aurelio Vero Augusto Armeniaco tribunicia potestate IIII imperatori II consuli II sub cura Bai Pudentis procuratoris per alam II Flaviam miliariam Piam Fidelem fecit ius Lollianus praefectus	lapis		48.8362705	10.0931765		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1986_00528.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD002865;lu_10369			163 to 164
EDCS-07600332	AE 1986, 00529 = AE 1989, 00586 = AE 1995, +00045	Raetia	Aalen / Ala	222	235	222	235	Augusti/Augustae;  milites;  tituli honorarii;  tituli sacri;  viri	[D(omino) n(ostro) Imp(eratori) Caes(ari)] / [M(arco) Aur(elio)] Se[vero] / [Alexan]dr[o] / [Pio Felic]i In/[victo Aug(usto) pont(ifici)] / [ma]x(imo) [trib(unicia) p]ot(state) / [co(n)s(uli) proco(n)s(uli) p(atri) p(atriae)] / [al(a)] II [Fl(avia) |(miliaria) P(ia) F(idelis)] / [A]l[exandri]/an[a] devo[tis]/sim[a] Num[ini] / maiestatiq(ue) / eius	Se dr i In x ot II lan devosim Num maiestatiq eius	Domino nostro Imperatori Caesari Marco Aurelio Severo Alexandro Pio Felici Invicto Augusto pontifici maximo tribunicia potstate consuli proconsuli patri patriae ala II Flavia miliaria Pia Fidelis Alexandriana devotissima Numini maiestati que eius	lapis		48.8362705	10.0931765			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD007875			222 to 235
EDCS-06100463	AE 1989, 00580 = AE 1995, +00045 = AE 2001, +01566	Raetia	Aalen / Ala	208	208	208	208	Augusti/Augustae;  litterae erasae;  milites;  ordo equester;  ordo senatorius;  tituli operum;  viri	[I]mp(eratori) [C]aes(ari) [L(ucio)] Sept(imio) Severo P[io Pe]rt[inaci] / [A]ug(usto) [Ar]ab(ico) Adiab(enico) P[ar]t(hico) max(imo) [pontif(ici) max(imo)] / [t]rib(unicia) [po]t(estate) XVI im[p(eratori) XII co(n)s(uli) III proco(n)s(uli) p(atri) p(atriae) et] / Imp(eratori) [Cae]s(ari) M(arco) [Aurelio Antonino] Pio Fel(ici)] / Au[g(usto) tri]b(unicia) p[ot(estate) XI co(n)s(uli)] III imp[(eratori) II proco(n)s(uli) et] / [[P(ublio) S[eptimio Getae] Caes(ari)]] [al(a) II Fl(avia) |(miliaria) P(ia) F(idelis)] / [cui praeest 3]ius [3 sub cura] / [3 Acutiani] c(larissimi) [v(iri) le]g(ati) Au[gg(ustorum) pro praet(ore)] / [provinciae Raet]iae [pr]in[cipia restituit]	mp aes Sept Severo Prt ug ab Adiab Pt max rib t XVI im Imp s M Aub p III imp P S ius c g Au iae in	Imperatori Caesari Lucio Septimio Severo Pio Pertinaci Augusto Arabico Adiabenico Parthico maximo pontifici maximo tribunicia potestate XVI imperatori XII consuli III proconsuli patri patriae et Imperatori Caesari Marco Aurelio Antonino Pio Felici Augusto tribunicia potestate XI consuli III imperatori II proconsuli et Publio Septimio Getae Caesari ala II Flavia miliaria Pia Fidelis cui praeest ius sub cura Acutiani clarissimi viri legati Auggustorum pro praetore provinciae Raetiae principia restituit	lapis		48.8362705	10.0931765		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1989_00580.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018264;lu_10370			208 to 208
EDCS-06100464	AE 1989, 00581 = AE 1995, +00045 = AE 2001, +01566 = AE 2013, +00110	Raetia	Aalen / Ala	208	209	208	209	Augusti/Augustae;  litterae erasae;  milites;  ordo senatorius;  tituli operum;  tria nomina;  viri	[Imp(eratori) Caes(ari) L(ucio) Sept(imio) Severo Pio Pertinaci] / [Aug(usto) Arab(ico) Adiab(enico) Part(hico) max(imo) pont(ifici) max(imo)] / [trib(unicia) pot(estate) XVI co(n)s(uli) III i]mp(eratori) XII [proco(n)s(uli) p(atri) p(atriae) et] / Imp(eratori) Caes(ari) M(arco) [Aurelio Ant]on[ino Pio Fel(ici)] / Aug(usto) trib(unicia) p[ot(estate) XI co(n)s(uli) III imp(eratori) II proco(n)s(uli) et] / [[P(ublio) S[e]pt(imio) [Get]ae Cae[s(ari)]]] al(a) II Fl(avia) |(miliaria) P(ia) F(idelis) C]ap[i]/tol[i]um cum pri[ncipiis vetust]at[e] / conlap[sis restituit sub cura 3] / A[cu]tian[i c(larissimi) v(iri) leg(ati) Augg(ustorum) pro praet(ore)]	mp XII Imp Caes M on Aug trib p P Spt ae Caeaptolum cum priat conlap Atian	Imperatori Caesari Lucio Septimio Severo Pio Pertinaci Augusto Arabico Adiabenico Parthico maximo pontifici maximo tribunicia potestate XVI consuli III imperatori XII proconsuli patri patriae et Imperatori Caesari Marco Aurelio Antonino Pio Felici Augusto tribunicia potestate XI consuli III imperatori II proconsuli et Publio Septimio Getae Caesari ala II Flavia miliaria Pia Fidelis Capitolium cum principiis vetustate conlapsis restituit sub cura Acutiani clarissimi viri legati Auggustorum pro praetore	lapis		48.8362705	10.0931765		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1989_00581.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018267;lu_19371			208 to 209
EDCS-06100465	AE 1989, 00582 = AE 1995, +00045 = AE 2001, +01566	Raetia	Aalen / Ala	208	208	208	208	Augusti/Augustae;  litterae erasae;  milites;  ordo senatorius;  tituli operum;  viri	[Imp(eratori) Caes(ari) L(ucio) S]e[ptimio Severo] Pio [Pert(inaci)] / [Aug(usto) Arab(ico)] Adiab(enico) [Part(hico) max(imo) pont(ifici) max(imo)] / [trib(unicia) pot(estate) X]VI imp(eratori) XI[I co(n)s(uli) III proco(n)s(uli) p(atri) p(atriae) et] / [Imp(eratori) Caes(ari)] M(arco) Aur(elio) An[tonino Pio Felici] / [Aug(usto) trib(unicia)] pot(estate) <X=V>I i[mp(eratori) II co(n)s(uli) III proco(n)s(uli) et] / [[P(ublio) Sept(imio) Getae Caes(ari)]] al(a) [II Fl(avia) |(miliaria) P(ia) F(idelis) 3] / vetustate co]nla[psis(?) restituit] / [sub cura 3] / [A]cutia[ni leg(ati) Augg(ustorum) pr(o) pr(aetore)]	e Pio Adiab VI imp XI M Aur An pot VI i al nla cutia	Imperatori Caesari Lucio Septimio Severo Pio Pertinaci Augusto Arabico Adiabenico Parthico maximo pontifici maximo tribunicia potestate XVI imperatori XII consuli III proconsuli patri patriae et Imperatori Caesari Marco Aurelio Antonino Pio Felici Augusto tribunicia potestate XI imperatori II consuli III proconsuli et Publio Septimio Getae Caesari ala II Flavia miliaria Pia Fidelis vetustate conlapsis restituit sub cura Acutiani legati Auggustorum pro praetore	lapis		48.8362705	10.0931765			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018270			208 to 208
EDCS-06100466	AE 1989, 00583 = AE 1995, +00045 = AE 2001, +01566	Raetia	Aalen / Ala	171	200	171	200	milites;  ordo equester;  ordo senatorius;  tituli operum	c]o(n)s(uli) II[3] / [feci]t al(a) II F[l(avia) |(miliaria) P(ia) F(idelis) cui praeest] / [3]r() Vetus p[raef(ectus) 3 sub] / [cura] Scribon[i 3] / [leg(ati) Aug(usti)] pr(o) praet(ore) pr[ovinciae Raetiae]	cos II t al II F r Vetus p Scribon pr praet pr	consuli II fecit ala II Flavia miliaria Pia Fidelis cui praeest r Vetus praefectus sub cura Scriboni legati Augusti pro praetore provinciae Raetiae	lapis		48.8362705	10.0931765			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018273			171 to 200
EDCS-06100467	AE 1989, 00584 = AE 1995, +00045	Raetia	Aalen / Ala	171	230	171	230	ordo senatorius;  tituli operum;  viri	] / L(ucius) Vi[3] / sub [cura 3 leg(ati) Aug(usti)] / pr(o) [pr(aetore) provinciae Raetiae 3] / [fecit]	L Vi sub pr	Lucius Vi sub cura legati Augusti pro praetore provinciae Raetiae fecit	lapis		48.8362705	10.0931765			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018276			171 to 230
EDCS-12100027	AE 1990, 00771 = RMD-03, 00162	Raetia	Aalen / Ala	117	138	117	138	Augusti/Augustae;  diplomata militaria;  milites;  tituli sacri;  viri	[Imp(erator) Caesar divi Traiani Parthici f(ilius) divi Nervae nepos Traianus Hadrianus Aug(ustus)] pon[t(ifex) max(imus) trib(unicia) pot(estate) 3] / eq(uitibus) et p[ed(itibus) qui mil(itaverunt) in 3] / qu[ae app(ellantur) 3] / e[t // [Imp(erator) Ca]esar div[i Traiani Parthici f(ilius) divi] / [Nerv]ae nepos [Traianus Hadrianus Aug(ustus)] / [pont(ifex)] max(imus) tri[b(unicia) pot(estate) 3] / [equiti]b(us) et pedit[ib(us) qui militaver(unt) in alis 3 et] / [coh(ortibus) X]III(?) quae [appell(antur) 3] / [3] e[t	pon eq et p qu et esar div ae nepos max tri b et pedit III quae et	Imperator Caesar divi Traiani Parthici filius divi Nervae nepos Traianus Hadrianus Augustus pontifex maximus tribunicia potestate equitibus et peditibus qui militaverunt in quae appellantur et Imperator Caesar divi Traiani Parthici filius divi Nervae nepos Traianus Hadrianus Augustus pontifex maximus tribunicia potestate equitibus et peditibus qui militaverunt in alis et cohortibus XIII quae appellantur et	aes		48.8362705	10.0931765			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD024720			117 to 138
EDCS-78300153	AE 2017, 01087	Raetia	Aalen / Ala					tituli possessionis	Cres/cas	Crescas	Crescas	aurum	Ring	48.8362705	10.0931765						
EDCS-29200001	CCID 00476	Raetia	Aalen / Ala	171	230	171	230	milites;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) D[ol(icheno)] / T(itus) Vitalius [Ad]/ventus de[c(urio)] / al(ae) II Fl(aviae) pro s[alu]/te sua et su[or(um)] / v(otum) s(olvit) l(ibens) l(aetus) m(erito)	I O M D T Vitalius ventus de al II Fl pro ste sua et su v s l l m	Iovi Optimo Maximo Dolicheno Titus Vitalius Adventus decurio alae II Flaviae pro salute sua et suorum votum solvit libens laetus merito	lapis		48.8362705	10.0931765		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CCID_00476.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064638;lu_10330			171 to 230
EDCS-30501048	CIL 03, 11991a (p 2328,50) = H-S 00054a	Raetia	Aalen / Ala					milites;  sigilla impressa;  tituli fabricationis	Leg(io) VIII Aug(usta)	Leg VIII Aug	Legio VIII Augusta	opus figlinae		48.8362705	10.0931765		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$H-S_00054.jpg				
EDCS-30501049	CIL 03, 11991b (p 2328,50) = H-S 00054b	Raetia	Aalen / Ala					milites;  sigilla impressa;  tituli fabricationis	Leg(io) VIII Aug(usta)	Leg VIII Aug	Legio VIII Augusta	opus figlinae		48.8362705	10.0931765						
EDCS-32300211	CIL 03, 14370,03 = IBR 00302 = H-S 00052	Raetia	Aalen / Ala	166	192	166	192	Augusti/Augustae;  tituli operum;  viri	]AT[3] / [3 i]mp(erator) [	AT mp	AT imperator	lapis		48.8362705	10.0931765		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IBR_00302.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD037009			166 to 192
