EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-05200617	AE 1990, 00871	Regnum Bospori	?					milites;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / L(ucio) [F]urio Sev(ero) / [se]<c=Q>(utori) p[r(aepositi)] / [v]ex(illationis) coh(ortis) I T[hr(acum)]	D M L urio Sev Q p ex coh I T	Dis Manibus Lucio Furio Severo secutori praepositi vexillationis cohortis I Thracum							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD024996			
EDCS-09800299	AE 1967, 00427	Regnum Bospori	Ai-Todor / Aj-Tor / Charax					tituli sacri;  tria nomina;  viri	Claudius Ruf/us et Aur(elius) Maxim/u[s v]o[tu]m p[os(uerunt) 3]on(i)	Claudius Rufus et Aur Maximuom p on	Claudius Rufus et Aurelius Maximus votum posuerunt oni			44.433333	34.133333			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD014989			
EDCS-49000005	CBI 00658 = Epigraphica-1964-45	Regnum Bospori	Ai-Todor / Aj-Tor / Charax					milites;  ordo senatorius;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) / M(arcus) Gemini/us Fort[i]s / b(ene)f(iciarius) Ummidi / Quadrati / co(n)s(ularis) / v(otum) [s(olvit)] l(ibens) m(erito)	I O M M Geminius Forts bf Ummidi Quadrati cos v l m	Iovi Optimo Maximo Marcus Geminius Fortis beneficiarius Ummidi Quadrati consularis votum solvit libens merito			44.433333	34.133333		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00658.jpg				
EDCS-49000006	CBI 00659	Regnum Bospori	Ai-Todor / Aj-Tor / Charax					milites;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) / dis deab(us)[q]/ue Domiti/us Aemili[an(us)] / b(ene)f(iciarius) co(n)s(ularis) pro sal(ute) / sua et su[or(um)]	I O M dis deabue Domitius Aemili bf cos pro sal sua et su	Iovi Optimo Maximo dis deabus que Domitius Aemilianus beneficiarius consularis pro salute sua et suorum			44.433333	34.133333		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00659.jpg				
EDCS-49000007	CBI 00661	Regnum Bospori	Ai-Todor / Aj-Tor / Charax					milites;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) Cons(ervatori) / T(itus) Fl(avius) Celsi/nus b(ene)f(iciarius) co(n)s(ularis) / leg(ionis) XI Cl(audiae) / pro sal(ute) / sua et fi/liorum v(otum) p(osuit)	I O M Cons T Fl Celsinus bf cos leg XI Cl pro sal sua et filiorum v p	Iovi Optimo Maximo Conservatori Titus Flavius Celsinus beneficiarius consularis legionis XI Claudiae pro salute sua et filiorum votum posuit			44.433333	34.133333		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00661.jpg				
EDCS-32200961	CIL 03, 14215,03	Regnum Bospori	Ai-Todor / Aj-Tor / Charax					milites;  sigilla impressa;  tituli fabricationis	Le(gio) XI Cl(audia)	Le XI Cl	Legio XI Claudia	opus figlinae		44.433333	34.133333						
EDCS-32200962	CIL 03, 14215,04 = ZPE-112-234 = AE 1900, 00200 = AE 1903, 00003	Regnum Bospori	Ai-Todor / Aj-Tor / Charax					milites;  sigilla impressa;  tituli operum;  tria nomina;  viri	Per L(ucium) A() C() |(centurionem) / leg(ionis) I It(alicae) praep(ositum) / vex(illariorum) Moes(iae) inf(erioris)	Per L A C leg I It praep vex Moes inf	Per Lucium A C centurionem legionis I Italicae praepositum vexillariorum Moesiae inferioris	opus figlinae		44.433333	34.133333		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1903_00003.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD028495;HD030720;1ae1900-65;1ae1903-01			
EDCS-32200963	CIL 03, 14215,05a = AE 2006, 01228	Regnum Bospori	Ai-Todor / Aj-Tor / Charax					milites;  sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Vex(illatio) / G(ai) Rav(oni) Sp(erati)	Vex G Rav Sp	Vexillatio Gai Ravoni Sperati	opus figlinae		44.433333	34.133333						
EDCS-32200964	CIL 03, 14215,05b	Regnum Bospori	Ai-Todor / Aj-Tor / Charax					milites;  sigilla impressa;  tituli fabricationis	Vex(illatio) / <c=G>(lassis?) Rav(ennatis) s(umptu) [p(ublico)]	Vex G Rav s	Vexillatio classis Ravennatis sumptu publico	opus figlinae		44.433333	34.133333						
EDCS-32200965	CIL 03, 14215,05c	Regnum Bospori	Ai-Todor / Aj-Tor / Charax					milites;  sigilla impressa;  tituli fabricationis	[Vex(illatio)] / [c(lassis)] Rav(ennatis) s(umptu) p(ublico)	Rav s p	Vexillatio classis Ravennatis sumptu publico	opus figlinae		44.433333	34.133333						
EDCS-10400130	ZPE-112-230 = AE 1997, 01332	Regnum Bospori	Ai-Todor / Aj-Tor / Charax	166	166	166	166	Augusti/Augustae;  milites;  tituli operum;  viri	[Imperatoribus Caesar]ibus / [M(arco) Aurelio Antoni]no et / [L(ucio) Aurelio Vero Au]gustis / [Armeniacis Part]hicis [m]a/[ximis Medicis imp(eratoribus)] IIII op[3] / [3] tegulis / [3]anus / [3 p]er vexillat(ionem) / [3 curam] agente / [3] |(centurione) leg(ionis) XI Cl(audiae)	ibus no et gustis hicis a IIII op tegulis anus er vexillat agente leg XI Cl	Imperatoribus Caesaribus Marco Aurelio Antonino et Lucio Aurelio Vero Augustis Armeniacis Parthicis maximis Medicis imperatoribus IIII op tegulis anus per vexillationem curam agente centurione legionis XI Claudiae			44.433333	34.133333		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1997_01332_1.jpg;$AE_1997_01332_2.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050026			166 to 166
EDCS-03300828	AE 1995, 01351	Regnum Bospori	Balaklava	151	230	151	230	milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Iul(ius) Vale(n)s eq(ues) / alae Atecto(rigianae) / tur(ma) Ce[ls]i / vix(it) ann(os) XXXX / posuit Iul(ius) / Vales aer(arius) be/ne merenti	D M Iul Vales eq alae Atecto tur Cei vix ann XXXX posuit Iul Vales aer bene merenti	Dis Manibus Iulius Valens eques alae Atectorigianae turma Celsi vixit annos XXXX posuit Iulius Vales aerarius bene merenti			44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050987			151 to 230
EDCS-12200294	AE 1998, 01154	Regnum Bospori	Balaklava	139	161	139	161	Augusti/Augustae;  milites;  ordo equester;  ordo senatorius;  tituli sacri;  tria nomina;  viri	Herculi sacr(um) // pro salute Imp(eratoris) / Antonini Aug(usti) et M(arci) / Aureli Caes(aris) Anton(ius) / Valens trib(unus) milit(um) / leg(ionis) I Ital(icae) per Novi/um Ulpian(um) |(centurionem) leg(ionis) / eiusd(em)	Herculi sacr pro salute Imp Antonini Aug et M Aureli Caes Anton Valens trib milit leg I Ital per Novium Ulpian leg eiusd	Herculi sacrum pro salute Imperatoris Antonini Augusti et Marci Aureli Caesaris Antonius Valens tribunus militum legionis I Italicae per Novium Ulpianum centurionem legionis eiusdem			44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049279			139 to 161
EDCS-12200295	AE 1998, 01155	Regnum Bospori	Balaklava	139	161	139	161	milites;  ordo equester;  ordo senatorius;  tituli sacri;  tria nomina;  viri	Herculi sacr(um) / sub cur(a) Ant(oni) / Val(entis) trib(uni) milit(um) / vexill(atio) exerc(itus) / [Moesiae inf(erioris)	Herculi sacr sub cur Ant Val trib milit vexill exerc Moesiae inf	Herculi sacrum sub cura Antoni Valentis tribuni militum vexillatio exercitus Moesiae inferioris			44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049280			139 to 161
EDCS-12200296	AE 1998, 01156 = AE 2011, +01149 = Pahl-2010, 00015	Regnum Bospori	Balaklava	139	161	139	161	milites;  ordo equester;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) Doliche[no] / vexillat(io) [ex(ercitus) Moes(iae)] / inf(erioris) quae est [3] / sub cur[a Ant(oni) Valen]/tis trib(uni) [milit(um) leg(ionis) I Ital(icae)] / templu[m a solo res]/titui[t per Novium] / Ulpi[an(um) |(centurionem) leg(ionis) eiusd(em)]	I O M Doliche vexillat inf quae est sub curtis trib templutitui Ulpi	Iovi Optimo Maximo Dolicheno vexillatio exercitus Moesiae inferioris quae est sub cura Antoni Valentis tribuni militum legionis I Italicae templum a solo restituit per Novium Ulpianum centurionem legionis eiusdem			44.5121316	33.5990374		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Pahl-2010_00015.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049282			139 to 161
EDCS-12200297	AE 1998, 01157 = Pahl-2010, 00016	Regnum Bospori	Balaklava					tituli sacri	I(ovi) O(ptimo) M(aximo) [D(olicheno?)]	I O M	Iovi Optimo Maximo Dolicheno			44.5121316	33.5990374		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Pahl-2010_00016.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049283			
EDCS-12200298	AE 1998, 01158 = Pahl-2010, 00017	Regnum Bospori	Balaklava					milites;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) [M(aximo)] D(olicheno) / Novius U[l]pian[us |(centurio) leg(ionis) I Ital(icae)]	I O D Novius Upian	Iovi Optimo Maximo Dolicheno Novius Ulpianus centurio legionis I Italicae			44.5121316	33.5990374		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Pahl-2010_00017.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049284			
EDCS-12200299	AE 1998, 01159 = Pahl-2010, 00018	Regnum Bospori	Balaklava					tituli sacri	I(ovi) O(ptimo) M(aximo) Dolicheno	I O M Dolicheno	Iovi Optimo Maximo Dolicheno			44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049285			
EDCS-12200300	AE 1998, 01160 = Pahl-2010, 00019	Regnum Bospori	Balaklava					tituli sacri	I(ovi) O(ptimo) M(aximo) Doliche[no	I O M Dolicheno	Iovi Optimo Maximo Dolicheno			44.5121316	33.5990374		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Pahl-2010_00019.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049286			
EDCS-12200301	AE 1998, 01161	Regnum Bospori	Balaklava	171	250	171	250	milites;  tituli sacri;  tria nomina;  viri	Volcano // sacrum / host(iam) u(t) v(ovit) / Anto(nius) Proc(ulus) / |(centurio) leg(ionis) XI Cl(audiae)	Volcano sacrum host u v Anto Proc leg XI Cl	Volcano sacrum hostiam ut vovit Antonius Proculus centurio legionis XI Claudiae			44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049287			171 to 250
EDCS-12200302	AE 1998, 01162	Regnum Bospori	Balaklava						]eiu[sd(em)	eiusd	eiusdem			44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049288			
EDCS-12200303	AE 1998, 01163a	Regnum Bospori	Balaklava	138	161	138	161	milites;  sigilla impressa;  tituli fabricationis	V(exillatio) e(xercitus) M(oesiae) i(nferioris)	V e M i	Vexillatio exercitus Moesiae inferioris	opus figlinae		44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049290			138 to 161
EDCS-12200304	AE 1998, 01163b	Regnum Bospori	Balaklava					milites;  sigilla impressa;  tituli fabricationis	V(exillatio) e(xercitus) M(oesiae)	V e M	Vexillatio exercitus Moesiae	opus figlinae		44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049291			
EDCS-12200305	AE 1998, 01163c	Regnum Bospori	Balaklava					milites;  sigilla impressa;  tituli fabricationis	Vex(illatio) [e(xercitus) M(oesiae) I(nferioris?)]	Vex	Vexillatio exercitus Moesiae Inferioris	opus figlinae		44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049292			
EDCS-12200306	AE 1998, 01163d	Regnum Bospori	Balaklava					milites;  sigilla impressa;  tituli fabricationis	Le(gio) XI Cl(audia)	Le XI Cl	Legio XI Claudia	opus figlinae		44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049293			
EDCS-12200307	AE 1998, 01163e	Regnum Bospori	Balaklava					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Opus Nov(i)	Opus Nov	Opus Novi	opus figlinae		44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049294			
EDCS-12200308	AE 1998, 01163f	Regnum Bospori	Balaklava	131	170	131	170	sigilla impressa;  tituli fabricationis	Opus public(i)	Opus public	Opus publici	opus figlinae		44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049296			131 to 170
EDCS-12200309	AE 1998, 01163g	Regnum Bospori	Balaklava					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Cla(udi?)	Cla	Claudi	opus figlinae		44.5121316	33.5990374			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049297			
EDCS-03300826	AE 1995, 01349	Regnum Bospori	Bilenke / Belenkoje	217	217	217	217	milites;  tituli sacri;  tria nomina;  viri	]n / [3] T(itus) Aur(elius) / [3]nus |(centurio) leg(ionis) / [3] v(otum) l(ibens) s(olvit) Prae/[sen]te et Extricato / co(n)s(ulibus)	n T Aur nus leg v l s Praete et Extricato cos	n Titus Aurelius nus centurio legionis votum libens solvit Praesente et Extricato consulibus			46.058228	30.3561857			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050985			217 to 217
