EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-77400251	AE 1899, 00225	Aegyptus	?									lapis				GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1899-63			
EDCS-77400258	AE 1900, 00028	Aegyptus	?						Λούσιος [[Γέτας]] Κλαυδίωι Λυσα/νίᾳ στρατηγῶι Ἀρσινοείτου / χαίρειν τὸ ὑπογεγραμμένον / ἔκθεμα πρόθες ἐν οἷς καθήκει / τοῦ νομοῦ τόποις ἵνα πάντες / εἰδῶσι τὰ ὑπʼ ἐμοῦ κελευόμενα / ἔρρωσο / Λούκιος Λούσιος [[Γέτας]] λέγει / ἐπεὶ Ἀρσινοείτου ἱερεῖς θεοῦ / Σοκνοπαίου ἐνέτυχόν μοι / λέγοντες εἰς γεωργίας ἄγεσθαι / τούτους μὲν ἀπολύωι ἐὰν / δέ τις ἐξελεγχθῆι τὰ ὑπʼ ἐμοῦ / ἅπαξ κεκριμένα ἢ προστα/χθέντα κεινήσας ἢ βουληθεὶς / ἀμφίβολα ποιῆσαι κατʼ ἀξιὰν / ἢ ἀργυρικῶς ἢ σωματικῶς / κολασθήσεται (ἔτους) ιδʹ Τιβερίου / Κλαυδίου Καίσαρος Σεβαστοῦ / Γερμανικοῦ Αὐτοκράτορος / Φαρμοῦθι γʹ	Λούσιος Κλαυδίωι Λυσανίᾳ στρατηγῶι Ἀρσινοείτου χαίρειν τὸ ὑπογεγραμμένον ἔκθεμα πρόθες ἐν οἷς καθήκει τοῦ νομοῦ τόποις ἵνα πάντες εἰδῶσι τὰ ὑπʼ ἐμοῦ κελευόμενα ἔρρωσο Λούκιος Λούσιος λέγει ἐπεὶ Ἀρσινοείτου ἱερεῖς θεοῦ Σοκνοπαίου ἐνέτυχόν μοι λέγοντες εἰς γεωργίας ἄγεσθαι τούτους μὲν ἀπολύωι ἐὰν δέ τις ἐξελεγχθῆι τὰ ὑπʼ ἐμοῦ ἅπαξ κεκριμένα ἢ προσταχθέντα κεινήσας ἢ βουληθεὶς ἀμφίβολα ποιῆσαι κατʼ ἀξιὰν ἢ ἀργυρικῶς ἢ σωματικῶς κολασθήσεται ιδʹ Τιβερίου Κλαυδίου Καίσαρος Σεβαστοῦ Γερμανικοῦ Αὐτοκράτορος Φαρμοῦθι γʹ	Λούσιος Γέτας Κλαυδίωι Λυσανίᾳ στρατηγῶι Ἀρσινοείτου χαίρειν τὸ ὑπογεγραμμένον ἔκθεμα πρόθες ἐν οἷς καθήκει τοῦ νομοῦ τόποις ἵνα πάντες εἰδῶσι τὰ ὑπʼ ἐμοῦ κελευόμενα ἔρρωσο Λούκιος Λούσιος Γέτας λέγει ἐπεὶ Ἀρσινοείτου ἱερεῖς θεοῦ Σοκνοπαίου ἐνέτυχόν μοι λέγοντες εἰς γεωργίας ἄγεσθαι τούτους μὲν ἀπολύωι ἐὰν δέ τις ἐξελεγχθῆι τὰ ὑπʼ ἐμοῦ ἅπαξ κεκριμένα ἢ προσταχθέντα κεινήσας ἢ βουληθεὶς ἀμφίβολα ποιῆσαι κατʼ ἀξιὰν ἢ ἀργυρικῶς ἢ σωματικῶς κολασθήσεται ἔτους ιδʹ Τιβερίου Κλαυδίου Καίσαρος Σεβαστοῦ Γερμανικοῦ Αὐτοκράτορος Φαρμοῦθι γʹ	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P215917;P219081;P219994;1ae1900-10			
EDCS-77400259	AE 1900, 00029	Aegyptus	?						μεγάλῃ τύχῃ τοῦ [θε]ο[ῦ 3 καὶ τ]/ῶν ἀνγέλων τῆς [ἱ]ερεί[ας 3 ἀνε]/νεώθη καὶ ἐκοσμήθη [τὸ ἱερὸν ἐ]/πὶ Οὐικτωρίνου π(ραι)π(οσίτου) λεγ[εώνων γʹ] / Γαλλικῆς καὶ αʹ Ἰλλυρικ[ῆς καὶ Ἐμεσην]/ῶν σαγιτταρίων τῇ προ[νοίᾳ 3]βω/σᾶτος ἀρχιερέως καὶ Χα[3 ἱ]ερέ/ως λεγ(εῶνος) γʹ Γαλλ(ικῆς) καὶ Γαϊανοῦ ἱερέως λεγ(εῶνος) / αʹ Ἰλλυρικῆς καὶ Ἀζίζου ἱερέως ἐν ὑ/πατίᾳ Λικιννίου Σεβ(αστοῦ) τὸ ϛʹ καὶ Λικιννίου / ἐπιφ(ανεστάτου) Καίσαρος τὸ βʹ μηνὸς Λῴου αʹ / καὶ ἐπὶ Ἀννοῦβις 3ι καὶ 3 ἀρχ[ι(ερέως)] καὶ / [3]πρ[3] / [	μεγάλῃ τύχῃ τοῦ οῶν ἀνγέλων τῆς ερεί νεώθη καὶ ἐκοσμήθη πὶ Οὐικτωρίνου ππ λεγ Γαλλικῆς καὶ αʹ Ἰλλυρικῶν σαγιτταρίων τῇ προ βωσᾶτος ἀρχιερέως καὶ Χα ερέως λεγ γʹ Γαλλ καὶ Γαϊανοῦ ἱερέως λεγ αʹ Ἰλλυρικῆς καὶ Ἀζίζου ἱερέως ἐν ὑπατίᾳ Λικιννίου Σεβ τὸ ϛʹ καὶ Λικιννίου ἐπιφ Καίσαρος τὸ βʹ μηνὸς Λῴου αʹ καὶ ἐπὶ Ἀννοῦβις ι καὶ ἀρχ καὶ πρ	μεγάλῃ τύχῃ τοῦ θεοῦ καὶ τῶν ἀνγέλων τῆς ἱερείας ἀνενεώθη καὶ ἐκοσμήθη τὸ ἱερὸν ἐπὶ Οὐικτωρίνου πραιποσίτου λεγεώνων γʹ Γαλλικῆς καὶ αʹ Ἰλλυρικῆς καὶ Ἐμεσηνῶν σαγιτταρίων τῇ προνοίᾳ βωσᾶτος ἀρχιερέως καὶ Χα ἱερέως λεγεῶνος γʹ Γαλλικῆς καὶ Γαϊανοῦ ἱερέως λεγεῶνος αʹ Ἰλλυρικῆς καὶ Ἀζίζου ἱερέως ἐν ὑπατίᾳ Λικιννίου Σεβαστοῦ τὸ ϛʹ καὶ Λικιννίου ἐπιφανεστάτου Καίσαρος τὸ βʹ μηνὸς Λῴου αʹ καὶ ἐπὶ Ἀννοῦβις ι καὶ ἀρχιερέως καὶ πρ	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P218081;P218681;P223792;1ae1900-10;1ae1900-11			
EDCS-77400260	AE 1900, 00030	Aegyptus	?	129	129	129	129		[ἐπ]ὶ τοῖς εὐτυχεστάτοις καιρ[οῖς] / [τ]οῦ κυρίου ἡμῶν Αὐτοκράτορο[ς] / Μάρκου Αὐρηλίου Ἀντωνείνου / Εὐτυχοῦς Εὐσεβοῦς Σεβαστοῦ / (ἔτους) βʹ Μεσορὴ κʹ ἐπὶ / Γεμινίῳ Χρηστῷ ἐπάρχῳ Αἰγύπτου / καὶ Οὐαλερίου Ἀπολ(λ)ιναρίου ἐπιτρό/που ὄρους Μ(ᾶρκος) Αὐρήλιος Ἀπολλῶ/νις β(ενεφικιάριος) τὸν κῆπον ἐκ θεμελίου ἀνῳ/κοδόμησεν καὶ ἐζωγράφησεν σὺν τοῖς / φυτοῖς ἐποίησεν ἐκ τοῦ ἰδίου / ἐπʼ ἀγαθῶι	ὶ τοῖς εὐτυχεστάτοις καιρ οῦ κυρίου ἡμῶν Αὐτοκράτορο Μάρκου Αὐρηλίου Ἀντωνείνου Εὐτυχοῦς Εὐσεβοῦς Σεβαστοῦ βʹ Μεσορὴ κʹ ἐπὶ Γεμινίῳ Χρηστῷ ἐπάρχῳ Αἰγύπτου καὶ Οὐαλερίου Ἀπολιναρίου ἐπιτρόπου ὄρους Μ Αὐρήλιος Ἀπολλῶνις β τὸν κῆπον ἐκ θεμελίου ἀνῳκοδόμησεν καὶ ἐζωγράφησεν σὺν τοῖς φυτοῖς ἐποίησεν ἐκ τοῦ ἰδίου ἐπʼ ἀγαθῶι	ἐπὶ τοῖς εὐτυχεστάτοις καιροῖς τοῦ κυρίου ἡμῶν Αὐτοκράτορος Μάρκου Αὐρηλίου Ἀντωνείνου Εὐτυχοῦς Εὐσεβοῦς Σεβαστοῦ ἔτους βʹ Μεσορὴ κʹ ἐπὶ Γεμινίῳ Χρηστῷ ἐπάρχῳ Αἰγύπτου καὶ Οὐαλερίου Ἀπολλιναρίου ἐπιτρόπου ὄρους Μᾶρκος Αὐρήλιος Ἀπολλῶνις βενεφικιάριος τὸν κῆπον ἐκ θεμελίου ἀνῳκοδόμησεν καὶ ἐζωγράφησεν σὺν τοῖς φυτοῖς ἐποίησεν ἐκ τοῦ ἰδίου ἐπʼ ἀγαθῶι	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P217981;P219905;1ae1900-11			129 to 129
EDCS-77500131	AE 1902, 00229	Aegyptus	?	301	400	301	400	mulieres	Ζηνοδώ[ρα θυγάτηρ(?)] / Ἡρακλάμμ[ωνος 3] / ἧς γένος ο[3 ἀπ]/ὸ τῆ[ς] Ἀντιωχ[ηνῶν(?) 3] / πόλεως γενο[μένη ἡ γυ]/νὴ Ἡλίου {ορ} ὀρδι[ναρίου] / τῶν διακ(ε)ιμένω[ν ἐν Μέ]/(μ)φ(ε)ι ἀπὸ λεγιῶνο[ς πέμπτ]/ης Μακεδονικῆς ἐ[ν τῇ(?)] / Με(μ)φιτῶν πόλει [3]/ς ἀποδεδωκυῖα καλὸ[ν 3] / λυσαμένη εἰς μνήμην [3]/ου εἵναικεν καὶ καλῶς συ[μβιώ]/σασα τὸν ἐποίησεν με[3] / χρόνον διά τοι τοῦτο ε3να/ις μνησκόμενος τ[ῶ]ν καλ[ῶ]ν / ἠθῶν καὶ τῆς συνειδήσεως κ/αὶ ἰστοργῆς τῆς πρὸς ἐμὲ κατὰ / χρόνους ἀνατέτικα τὴν στήλην μ/ηνὶ Χοίακ μὴ λυποῦ Ζηνοδώρα / οὐδ(ε)ὶς γὰρ ἀθάνατος ἐν κόσμῳ / το(ύτῳ) κυρία μου	Ζηνοδώ Ἡρακλάμμ ἧς γένος ο ὸ τῆ Ἀντιωχ πόλεως γενονὴ Ἡλίου ορ ὀρδι τῶν διακιμένωφι ἀπὸ λεγιῶνοης Μακεδονικῆς ἐ Μεφιτῶν πόλει ς ἀποδεδωκυῖα καλὸ λυσαμένη εἰς μνήμην ου εἵναικεν καὶ καλῶς συσασα τὸν ἐποίησεν με χρόνον διά τοι τοῦτο εναις μνησκόμενος τν καλν ἠθῶν καὶ τῆς συνειδήσεως καὶ ἰστοργῆς τῆς πρὸς ἐμὲ κατὰ χρόνους ἀνατέτικα τὴν στήλην μηνὶ Χοίακ μὴ λυποῦ Ζηνοδώρα οὐδὶς γὰρ ἀθάνατος ἐν κόσμῳ το κυρία μου	Ζηνοδώρα θυγάτηρ Ἡρακλάμμωνος ἧς γένος ο ἀπὸ τῆς Ἀντιωχηνῶν πόλεως γενομένη ἡ γυνὴ Ἡλίου ὀρδιναρίου τῶν διακειμένων ἐν Μέμφει ἀπὸ λεγιῶνος πέμπτης Μακεδονικῆς ἐν τῇ Μεμφιτῶν πόλει ς ἀποδεδωκυῖα καλὸν λυσαμένη εἰς μνήμην ου εἵναικεν καὶ καλῶς συμβιώσασα τὸν ἐποίησεν με χρόνον διά τοι τοῦτο εναις μνησκόμενος τῶν καλῶν ἠθῶν καὶ τῆς συνειδήσεως καὶ ἰστοργῆς τῆς πρὸς ἐμὲ κατὰ χρόνους ἀνατέτικα τὴν στήλην μηνὶ Χοίακ μὴ λυποῦ Ζηνοδώρα οὐδεὶς γὰρ ἀθάνατος ἐν κόσμῳ τούτῳ κυρία μου	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P218718;1ae1902-60;1ae1902-61			301 to 400
EDCS-77500176	AE 1903, 00219	Aegyptus	?					Augusti/Augustae;  viri	ὑπὲρ Αὐτοκράτορο[ς] / Καίσαρος θεοῦ υεἱοῦ Διὸς / Ἐλευθέλιον Σεβαστοῦ / ἐφʼ ἡγεμόνι Ποπλίου Ὀκταείου / ἐποίησαν βαστοφόλου Ἡλιό[δωρος] / [ἅμ]α [καὶ](?) Ἁβριοτ[3] / Τῦβι κηʹ	ὑπὲρ Αὐτοκράτορο Καίσαρος θεοῦ υεἱοῦ Διὸς Ἐλευθέλιον Σεβαστοῦ ἐφʼ ἡγεμόνι Ποπλίου Ὀκταείου ἐποίησαν βαστοφόλου Ἡλιό α Ἁβριοτ Τῦβι κηʹ	ὑπὲρ Αὐτοκράτορος Καίσαρος θεοῦ υεἱοῦ Διὸς Ἐλευθέλιον Σεβαστοῦ ἐφʼ ἡγεμόνι Ποπλίου Ὀκταείου ἐποίησαν βαστοφόλου Ἡλιόδωρος ἅμα καὶ Ἁβριοτ Τῦβι κηʹ	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P218106;P218552;1ae1903-55			
EDCS-77500183	AE 1903, 00226	Aegyptus	?					tituli honorarii;  tria nomina;  viri	(ἔτους) ιϛʹ [Ἀντωνίνου(?) Καίσα]ρος τοῦ κυρίου / [Τ]ῦβι ϛʹ Αἴλιος Σωκρατικὸς ἐπίτροπος / Σεβαστοῦ τὴν συνοικίαν σὺν τῇ ἀκτῇ / καὶ τῷ οἴκῳ ἀπὸ θεμελίου κατεσκεύασεν / διὰ Αἰλίου Εὐτυχοῦς βοηθοῦ	ιϛʹ ρος τοῦ κυρίου ῦβι ϛʹ Αἴλιος Σωκρατικὸς ἐπίτροπος Σεβαστοῦ τὴν συνοικίαν σὺν τῇ ἀκτῇ καὶ τῷ οἴκῳ ἀπὸ θεμελίου κατεσκεύασεν διὰ Αἰλίου Εὐτυχοῦς βοηθοῦ	ἔτους ιϛʹ Ἀντωνίνου Καίσαρος τοῦ κυρίου Τῦβι ϛʹ Αἴλιος Σωκρατικὸς ἐπίτροπος Σεβαστοῦ τὴν συνοικίαν σὺν τῇ ἀκτῇ καὶ τῷ οἴκῳ ἀπὸ θεμελίου κατεσκεύασεν διὰ Αἰλίου Εὐτυχοῦς βοηθοῦ	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P218109;1ae1903-56			
EDCS-77500184	AE 1903, 00227	Aegyptus	?					officium/professio;  tituli honorarii;  viri				lapis				GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1903-56			
EDCS-77500186	AE 1903, 00230	Aegyptus	?						ανενεω(θ)η η πορτα / επι ΓΙαυλακι(ου) του με/ταλοπρ(επεστατου) ι[3]επμ[3]στογιοτs / φχαρσοα το[υ πα]νευφ[ημ]/ου μ(ηνι) Φαω[φ]ι αʹ [ι]νδ(ικτιωνος) ιδʹ	ανενεωη η πορτα επι ΓΙαυλακι του μεταλοπρ ι επμ στογιοτs φχαρσοα τονευφου μ Φαωι αʹ νδ ιδʹ	ανενεωθη η πορτα επι ΓΙαυλακιου του μεταλοπρεπεστατου ι επμ στογιοτs φχαρσοα του πανευφημου μηνι Φαωφι αʹ ινδικτιωνος ιδʹ	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P217746;1ae1903-56			
EDCS-77500187	AE 1903, 00370 = AE 1909, 00098	Aegyptus	?	154	158	154	158	ordo equester;  tria nomina;  viri				lapis				GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1903-86;1ae1903-87;1ae1909-24;1ae1909-25			154 to 158
