EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-03300877	AE 1995, 01604	Arabia	?	112	112	112	112	Augusti/Augustae;  miliaria;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caesar / divi Nervae f(ilius) Nerva / Traianus [Aug(ustus) Germ(anicus)] / Dacicus [pont(ifex) max(imus)] / trib(unicia) po[t(estate) XVI imp(erator) VI] / co(n)s(ul) VI [p(ater) p(atriae) redacta in] / form[am provinciae] / Ar[abia viam novam] / a [finibus Syriae] / usq[ue] a[d mare Rubrum] / aper[uit et stravit per C(aium)] / C[laudium Severum]	Imp Caesar divi Nervae f Nerva Traianus Dacicus trib po cos VI form Ar a usq a aper C	Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVI imperator VI consul VI pater patriae redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare Rubrum aperuit et stravit per Caium Claudium Severum	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD051086			112 to 112
EDCS-66400037	SEG-08, 00296 = SEG-34, 01509 = SEG-38, 01587 = AE 1985, 00833	Arabia	?	401	600	401	600	inscriptiones christianae;  tituli honorarii	Οὐδὲ λιπὼν λιμίτοιο Παλεστ(ίνης) χθόνα δῖαν / Δωρόθεος γεράων πέλεν ἄμμορος ἐκ βα/σ[ι]λῆος	Οὐδὲ λιπὼν λιμίτοιο Παλεστ χθόνα δῖαν Δωρόθεος γεράων πέλεν ἄμμορος ἐκ βασλῆος	Οὐδὲ λιπὼν λιμίτοιο Παλεστίνης χθόνα δῖαν Δωρόθεος γεράων πέλεν ἄμμορος ἐκ βασιλῆος	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065160			401 to 600
EDCS-68300001	Syria-2015-307 = EpRom 2015_54_021	Arabia	?	301	500	301	500	milites;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) s(acrum) / Iulio Ur/bano ex / centuri/one de n/umero	D M s Iulio Urbano ex centurione de numero	Dis Manibus sacrum Iulio Urbano ex centurione de numero						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Syria-2015-307.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=er_383			301 to 500
EDCS-73600305	Thomsen-1917, 00169a	Arabia	Ain el-Mikwan					miliaria	?			lapis									
EDCS-73600306	Thomsen-1917, 00170a	Arabia	Ain el-Mikwan					miliaria	?			lapis									
EDCS-73600307	Thomsen-1917, 00170b	Arabia	Ain el-Mikwan					miliaria	?			lapis									
EDCS-31800331	CIL 03, 14176,10 = AE 2005, 01585 = Thomsen 1917, 00228	Arabia	Ajloun					miliaria	] I / A	I A	I A	lapis		32.3323294	35.7520522			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD063870			
EDCS-30100051	SEG-53, 01879 = AE 2003, 01821	Arabia	Ajloun	162	162	162	162	Augusti/Augustae;  miliaria;  ordo senatorius;  tituli sacri;  tria nomina;  viri	XII / Imp(erator) Caesar / M(arcus) Aurelius Antoninus / Aug(ustus) p(ontifex) m(aximus) trib(unicia) pot(estate) XVI / co(n)s(ul) III et / Imp(erator) Caesar L(ucius) Au[r]elius / Verus Aug(ustus) t[rib(unicia) pot(estate) II c]o(n)s(ul) II / divi Anton[ini Pii filii divi] / Hadriani nepotes divi / [T]raiani Parthici / pronepotes divi N[e]rvae / [a]bnepotes refecer[unt] / per Geminium Marci[anum] / leg(atum) pr(o) pr(aetore) // (Μείλια) ιβʹ	XII Imp Caesar M Aurelius Antoninus Aug p m trib pot XVI cos III et Imp Caesar L Auelius Verus Aug tos II divi Anton Hadriani nepotes divi raiani Parthici pronepotes divi Nrvae bnepotes refecer per Geminium Marci leg pr pr ιβʹ	XII Imperator Caesar Marcus Aurelius Antoninus Augustus pontifex maximus tribunicia potestate XVI consul III et Imperator Caesar Lucius Aurelius Verus Augustus tribunicia potestate II consul II divi Antonini Pii filii divi Hadriani nepotes divi Traiani Parthici pronepotes divi Nervae abnepotes refecerunt per Geminium Marcianum legatum pro praetore Μείλια ιβʹ	lapis		32.3323294	35.7520522			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD045223			162 to 162
EDCS-16000005	AE 1936, 00155	Arabia	Al 'Anz					milites;  tituli sepulcrales;  tria nomina;  viri	Ael(ius) Satorni/los(!) imm(unis) <c=K>a(rcerarius?) / leg(ionis) III <c=K>y<r=I>e(nai)<c=K>(ae)	Ael Satornilos imm Ka leg III KyIeK	Aelius Satornilos immunis carcerarius legionis III cyrenaicae			35.25	37.0166667			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD024498;1ae1936-50			
EDCS-31300128	IGRRP-03, 01264 = D 08880	Arabia	Al-Mushannaf / Muschennef / Nela						Φλ(άουιος) Μάξιμος Σαβείνου β(ενε)φ(ικιάριος) καὶ ἀκο/μενταρήσιος καὶ κορνικου/λάριος καὶ χʹ (ἑκατόνταρχος) γενόμενος τῆς / ἡγεμ(ονίας) τὸ μνῆμα ἐκ τῶν ἰδίων ᾠκω/δόμησεν σὺν Θομδέχῃ γυναικί	Φλ Μάξιμος Σαβείνου βφ καὶ ἀκομενταρήσιος καὶ κορνικουλάριος καὶ χʹ γενόμενος τῆς ἡγεμ τὸ μνῆμα ἐκ τῶν ἰδίων ᾠκωδόμησεν σὺν Θομδέχῃ γυναικί	Φλάουιος Μάξιμος Σαβείνου βενεφικιάριος καὶ ἀκομενταρήσιος καὶ κορνικουλάριος καὶ χʹ ἑκατόνταρχος γενόμενος τῆς ἡγεμονίας τὸ μνῆμα ἐκ τῶν ἰδίων ᾠκωδόμησεν σὺν Θομδέχῃ γυναικί			32.7425363	36.7761276			http://db.edcs.eu/epigr/partner.php?s_language=en&param=de-b1039			
