EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-67200808	AE 2002, 01251 = AE 2004, 01288	Barbaricum	?	222	235	222	235		[Ἀγαθῇ] Τύχῃ / [Αὐτοκράτορα] Καίσαρα Μ(ᾶρκον) Αὐρ(ήλιον) / [Σεουῆρον Ἀλέξα]νδρον Εὐτυχῆ / [Εὐσεβῆ Σεβαστὸν] Μ(ᾶρκος) Αὐρ(ήλιος) Ἀρτέμων Ἰ/[στριανὸς 3 Ἡ]ρακλεώτης Τυ/[ρανὸς 3 β]ουλευτὴς δόγμ(ατι) / [τῆς ἱερωτάτης β(ουλῆς) κα]ὶ τοῦ λαμπρο/[τάτου δήμο]υ	Τύχῃ Καίσαρα Μ Αὐρ νδρον Εὐτυχῆ Μ Αὐρ Ἀρτέμων Ἰ ρακλεώτης Τυ ουλευτὴς δόγμ ὶ τοῦ λαμπρου	Ἀγαθῇ Τύχῃ Αὐτοκράτορα Καίσαρα Μᾶρκον Αὐρήλιον Σεουῆρον Ἀλέξανδρον Εὐτυχῆ Εὐσεβῆ Σεβαστὸν Μᾶρκος Αὐρήλιος Ἀρτέμων Ἰστριανὸς Ἡρακλεώτης Τυρανὸς βουλευτὴς δόγματι τῆς ἱερωτάτης βουλῆς καὶ τοῦ λαμπροτάτου δήμου	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD042108			222 to 235
EDCS-39500104	CIGP 00142	Barbaricum	?	201	300	201	300	tituli possessionis;  viri	Πρω/βινκι(άλης)	Πρωβινκι	Πρωβινκιάλης	argentum						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295952;HD035978			201 to 300
EDCS-39500105	CIGP 00143 = SEG-29, 01062	Barbaricum	?	201	300	201	300	tituli sacri	Αβρασαζ / ΙΑΗ / ΑΩ / Ν / Σουηττι	Αβρασαζ ΙΑΗ ΑΩ Ν Σουηττι	Αβρασαζ ΙΑΗ ΑΩ Ν Σουηττι	aurum						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295953;HD035982			201 to 300
EDCS-39500106	CIGP 00144	Barbaricum	?	101	300	101	300		Klaudiaes / Hermionaes // Klauδiaes / Hermionης	Klaudiaes Hermionaes Klauδiaes Hermionης	Klaudiaes Hermionaes Klauδiaes Hermionης	aes						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295954;HD035990			101 to 300
EDCS-39500107	CIGP 00145 = SEG-29, 01035 = SEG-34, 01042	Barbaricum	?	101	300	101	300		Δανοῦβις	Δανοῦβις	Δανοῦβις	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295955;HD035989			101 to 300
EDCS-39500108	CIGP 00146 = SEG-29, 01036	Barbaricum	?	201	300	201	300		Ἀβρ/ασά/ξ Σ/εμε/σείλ/αψ // Ἀ/βλαν/αθανα/λβα / Σεσε/γγενβαρ/φαρα/γγης	Ἀβρασάξ Σεμεσείλαψ Ἀβλαναθαναλβα Σεσεγγενβαρφαραγγης	Ἀβρασάξ Σεμεσείλαψ Ἀβλαναθαναλβα Σεσεγγενβαρφαραγγης	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295956;HD035992			201 to 300
EDCS-39500109	CIGP 00147 = SEG-29, 01037	Barbaricum	?	101	200	101	200		Ἰάω / Σαβαώθ Ἀ/βραξ(άς) Ἰάω / [	Ἰάω Σαβαώθ Ἀβραξ Ἰάω	Ἰάω Σαβαώθ Ἀβραξάς Ἰάω	cyprum						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295957;HD035993			101 to 200
EDCS-39500110	CIGP 00148	Barbaricum	?	101	300	101	300		ΕΙΥΤΝΥΝΗΛΑΤ // ΗΛΑΡΙΦΥΣΟΚΑ / ΟΙΣΑΡΗΜΙΓΟΡΣΗΛΧ / ΑΗΑΣΑΣΙΛΑΜΞΕ / ΙΕΦΙΒΑΩΧΝΗΣΕΝ / [3]ΕΟΥΣΙ / ΙΑΦΙΛ	ΕΙΥΤΝΥΝΗΛΑΤ ΗΛΑΡΙΦΥΣΟΚΑ ΟΙΣΑΡΗΜΙΓΟΡΣΗΛΧ ΑΗΑΣΑΣΙΛΑΜΞΕ ΙΕΦΙΒΑΩΧΝΗΣΕΝ ΕΟΥΣΙ ΙΑΦΙΛ	ΕΙΥΤΝΥΝΗΛΑΤ ΗΛΑΡΙΦΥΣΟΚΑ ΟΙΣΑΡΗΜΙΓΟΡΣΗΛΧ ΑΗΑΣΑΣΙΛΑΜΞΕ ΙΕΦΙΒΑΩΧΝΗΣΕΝ ΕΟΥΣΙ ΙΑΦΙΛ	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295958;HD035995			101 to 300
EDCS-39500111	CIGP 00149 = SEG-29, 01061	Barbaricum	?	101	300	101	300		Ἀκύλου / Χηττίνα	Ἀκύλου Χηττίνα	Ἀκύλου Χηττίνα	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295959;HD035997			101 to 300
EDCS-39500112	CIGP 00150	Barbaricum	?	301	500	301	500	tituli possessionis	ΠΑΛ / Η ΠΕΙ / ΡΟΣ	ΠΑΛ Η ΠΕΙ ΡΟΣ	ΠΑΛ Η ΠΕΙ ΡΟΣ	plumbum						http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295960;HD035998			301 to 500
