EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-22300117	CIL 03, 00217 = AE 2008, +00023	Cyprus	?					milites;  tria nomina;  viri	Q(uintus) Firmius C(ai) f(ilius) Rom(ilia) Ates / |(centurio) leg(ionis) III Gallicae	Q Firmius C f Rom Ates leg III Gallicae	Quintus Firmius Cai filius Romilia Ates centurio legionis III Gallicae			35.051359	33.221283						
EDCS-31200870	CIL 03, 12114	Cyprus	?					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Fausti	Fausti	Fausti	opus figlinae		35.051359	33.221283						
EDCS-31200871	CIL 03, 12115	Cyprus	?					sigilla impressa;  tituli fabricationis	Spe()	Spe	Spe	opus figlinae		35.051359	33.221283						
EDCS-73800031	EDCS 00752 {Manfred Clauss}	Cyprus	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	C(ai) Bellici / Zmaragdi	C Bellici Zmaragdi	Cai Bellici Zmaragdi	opus figlinae	cf. Metropolitan Museum of Art New York; Accession number: 74.51.2428	35.051359	33.221283		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS_00752.jpg;$EDCS_00752_1.jpg				
EDCS-25300397	RACyprus 00029	Cyprus	?											35.051359	33.221283	GR					
EDCS-79500085	AE 1950, 00122 = SEG-47, 01867 = AE 2006, 01563	Cyprus	Amathussa / Amathus / Amathous / Amathonte	80	80	80	80	Augusti/Augustae;  tituli honorarii;  tituli operum;  tituli sacri;  tria nomina;  viri	[Κ]υπρί[αι] / Ἀφροδε[ί]τηι / καὶ Αὐτοκράτορ[ι] / Τίτωι Καίσαρι / [Οὐ]εσπασιαν[ῶι] / [Σεβ]αστῶι τό[πον] / [ἱε]ρὸν τὸν ἐντὸς / [τ]ῶν στηλ[ῶν] / [ὄν]τα καθιέρω/[σε]ν Λούκιος / Βρούττιος / Μάξιμος / ἀνθύπατος / ἔτους δευτέρο[υ]	υπρί Ἀφροδετηι καὶ Αὐτοκράτορ Τίτωι Καίσαρι εσπασιαν αστῶι τό ρὸν τὸν ἐντὸς ῶν στηλ τα καθιέρων Λούκιος Βρούττιος Μάξιμος ἀνθύπατος ἔτους δευτέρο	Κυπρίαι Ἀφροδείτηι καὶ Αὐτοκράτορι Τίτωι Καίσαρι Οὐεσπασιανῶι Σεβαστῶι τόπον ἱερὸν τὸν ἐντὸς τῶν στηλῶν ὄντα καθιέρωσεν Λούκιος Βρούττιος Μάξιμος ἀνθύπατος ἔτους δευτέρου	lapis		34.7152993	33.153963			http://db.edcs.eu/epigr/partner.php?s_language=en&param=P311562;P341063;1ae1950-43			80 to 80
EDCS-69200480	AE 2013, 01678	Cyprus	Amathussa / Amathus / Amathous / Amathonte	20	20	20	20	Augusti/Augustae;  mulieres;  tituli honorarii;  tituli sacri;  viri	[Ti(berio) C]aesare divi Aug(usti) f(ilio) Augusto div[i Iuli nep(ote) pont(ifice)] / [max(imo) c]o(n)s(ule) III tr(ibunicia) potest(ate) XXII anno VI Iulia Augus[ta divi Aug(usti) uxo]/[re ma]tre Ti(beri) Caesaris Aug(usti) et Drusi Caesaris av[ia Gaio Iulio] / [Germ]anico Caesari Ti(beri) Caesaris Aug(usti) f(ilio) divi Au[gusti nep(oti)	aesare divi Aug f Augusto div os III tr potest XXII anno VI Iulia Augustre Ti Caesaris Aug et Drusi Caesaris av anico Caesari Ti Caesaris Aug f divi Augusti nep	Tiberio Caesare divi Augusti filio Augusto divi Iuli nepote pontifice maximo consule III tribunicia potestate XXII anno VI Iulia Augusta divi Augusti uxore matre Tiberi Caesaris Augusti et Drusi Caesaris avia Gaio Iulio Germanico Caesari Tiberi Caesaris Augusti filio divi Augusti nepoti			34.7152993	33.153963						20 to 20
EDCS-69200481	AE 2013, 01679	Cyprus	Amathussa / Amathus / Amathous / Amathonte	1	250	1	250	ordo senatorius;  tituli sacri;  tria nomina;  viri	] / Imp(eratori?) sacrum Ama[thousiorum civitas(?)] / Abidio Gallo proq(uaestore) s[	Imp sacrum Ama Abidio Gallo proq s	Imperatori sacrum Amathousiorum civitas Abidio Gallo proquaestore s			34.7152993	33.153963						1 to 250
EDCS-07600456	Louvre 00923 = AE 1986, 00692	Cyprus	Amathussa / Amathus / Amathous / Amathonte					ordo senatorius;  tituli operum;  tituli sacri;  viri	[1 Crep]ereius pro[consul 3] / [mo]numentum si[gnumq(ue) 3]/um Veneris Cypr[iae 3]/taei pecunia s[ua	ereius pro numentum si um Veneris Cypr taei pecunia sua	Crepereius proconsul monumentum signum que um Veneris Cypriae taei pecunia sua			34.7152993	33.153963		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_Louvre_00923.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD008130			
EDCS-25300415	RACyprus 00018	Cyprus	Amathussa / Amathus / Amathous / Amathonte											34.7152993	33.153963	GR					
EDCS-31200869	CIL 03, 12113	Cyprus	Arsinoe / Marion					praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	Sex(tus) Ma() f(ecit)	Sex Ma f	Sextus Ma fecit	opus figlinae		34.714937	33.162871						
EDCS-10701932	AE 1966, 00489b	Cyprus	Avdimou / Evdhimou / Paphus					Augusti/Augustae;  tituli operum;  viri	[D(omini) n(ostri)] / [Fl(avi) Iov]iani / [maxi]mi victoris / [ac tr]iumfatoris / [sempe]r Augusti / II	iani mi victoris iumfatoris r Augusti II	Domini nostri Flavi Ioviani maximi victoris ac triumfatoris semper Augusti II			34.6958453	32.7620848			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD016481			
EDCS-25300416	RACyprus 00019	Cyprus	Avdimou / Evdhimou / Paphus					Augusti/Augustae;  miliaria;  viri	 // [D(omini) n(ostri)] / [Fl(avi) Iov]iani / [maxi]mi victoris / [ac tr]iumfatoris / [sempe]r Augusti / II	iani mi victoris iumfatoris r Augusti II	Domini nostri Flavi Ioviani maximi victoris ac triumfatoris semper Augusti II	lapis		34.6958453	32.7620848	GR					
