EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-04900002	AE 1992, 00206	Italia	?	1	100	1	100	liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina	Caedia Q(uinti) l(iberta) / Euprosune hic sita est / terram tibi levem / miserrima vixit a(nnos) XXI	Caedia Q l Euprosune hic sita est terram tibi levem miserrima vixit a XXI	Caedia Quinti liberta Euprosune hic sita est terram tibi levem miserrima vixit annos XXI							http://db.edcs.eu/epigr/partner.php?s_language=en&param=N030338			1 to 100
EDCS-03700831	AE 1993, 01790	Italia	?					mulieres;  tituli sepulcrales;  tria nomina;  viri	C(aius) Allianus / Carpophorus / hic iacet et neminem curat / Alliana Veneria filia / patri piissimo	C Allianus Carpophorus hic iacet et neminem curat Alliana Veneria filia patri piissimo	Caius Allianus Carpophorus hic iacet et neminem curat Alliana Veneria filia patri piissimo		cinerarium					http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062340			
EDCS-03700832	AE 1993, 01791	Italia	?					tituli honorarii;  viri	]ER[3] / [6] / [3] Marcianum v[irum 3] / [3 municipi]o nostro ut aequ[e 3] / [3]titum esse patrimon[ium 3] / q(uid) d(e) e(a) r(e) f(ieri) [placeret d(e) e(a) r(e) i(ta) c(ensuerunt)] / [3] quiescens pollicitus sit [3] / [3] consumpturum HS X[3] / [3 m]ultiplicaverit in[	ER Marcianum v o nostro ut aequ titum esse patrimon q d e r f quiescens pollicitus sit consumpturum HS X ultiplicaverit in	ER Marcianum virum municipio nostro ut ae que titum esse patrimonium quid de ea re fieri placeret de ea re ita censuerunt quiescens pollicitus sit consumpturum HS X multiplicaverit in							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062341			
EDCS-00381066	AE 1994, 01909	Italia	?					tituli sepulcrales;  viri	] M(arci) Fadi[3] / [3]rentin[3] / [3]esider[	M Fadi rentin esider	Marci Fadi rentin esider							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062208			
EDCS-02900003	AE 1997, 00246a	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	L(ucius) Rasinius Pisanus	L Rasinius Pisanus	Lucius Rasinius Pisanus	opus figlinae									
EDCS-02900004	AE 1997, 00246b	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	C(aius) P() P()	C P P	Caius P P	opus figlinae									
EDCS-02900005	AE 1997, 00246c	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Sex(tus) Murrius Festus	Sex Murrius Festus	Sextus Murrius Festus	opus figlinae									
EDCS-02900006	AE 1997, 00246d	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Sex(tus) Murrius Pisanus	Sex Murrius Pisanus	Sextus Murrius Pisanus	opus figlinae									
EDCS-02900007	AE 1997, 00247a	Italia	?					praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	C(aius) Lapius	C Lapius	Caius Lapius	opus figlinae									
EDCS-02900008	AE 1997, 00247b	Italia	?					praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	C(aius) Popilius	C Popilius	Caius Popilius	opus figlinae									
