EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-08300550	AE 1985, 00831 = AE 2013, +00071	Palaestina	?	51	220	51	220	milites;  tituli possessionis	L(e)g(io) X Fr(etensis) Fel(ix)	Lg X Fr Fel	Legio X Fretensis Felix	aes					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD002376			51 to 220
EDCS-67200372	AE 2002, 01564	Palaestina	?	129	130	129	130	officium/professio;  tituli fabricationis;  viri	|(Ἔτους) ιδʹ Τραιανοῦ Ἁδριανοῦ // Ἀγορα(νομοῦντος) Θεοδ(ώρου?)	ιδʹ Τραιανοῦ Ἁδριανοῦ Ἀγορα Θεοδ	Ἔτους ιδʹ Τραιανοῦ Ἁδριανοῦ Ἀγορανομοῦντος Θεοδώρου	plumbum						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD044126			129 to 130
EDCS-41300123	BCTH-1895-XXXII	Palaestina	?					milites;  sigilla impressa;  tituli fabricationis	Le(gionis) X Fr(etensis)	Le X Fr	Legionis X Fretensis	opus figlinae									
EDCS-08400547	CIIP-01-02, 00724 = AE 1984, 00915 = AE 1985, 00832	Palaestina	?	71	130	71	130	milites;  tituli operum	Leg(io) X Fre(tensis) / coh(ors) IIX	Leg X Fre coh IIX	Legio X Fretensis cohors IIX	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIIP-01-02_00724.jpg;$AE_1985_00832.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD001461			71 to 130
EDCS-64300091	EDCS 00398 {Manfred Clauss}	Palaestina	?					milites;  sigilla impressa;  tituli fabricationis	Leg(io) X Fr(etensis)	Leg X Fr	Legio X Fretensis	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS_00398_1.jpg;$EDCS_00398_2.jpg;$EDCS_00398_3.jpg				
EDCS-12100837	RMD-01, 00060 = AE 1979, 00631	Palaestina	?	149	161	149	161	Augusti/Augustae;  diplomata militaria;  milites;  tituli sacri;  viri	[Imp(erator) Cae]s(ar) divi Ha[driani f(ilius) divi Traiani] / [Part]hic(i) nep(os) d[ivi Nervae pron(epos) T(itus) Aelius] / [Hadr]ianus An[toninus Aug(ustus) Pius pont(ifex)] / [max(imus) t]rib(unicia) pot(estate) [3 imp(erator) II co(n)s(ul) IIII p(ater) p(atriae)] / [eq(uitibus) et] pedit(ibus) [ // e]q[uitib(us) et pedit(ibus) qui milit(averunt) in alis] / [3] qua[e appell(antur) 3] / et Ant[iana 3] / et coh(ortibus) [3 et I Thrac(um) |(miliaria)] / et I Seb(astena) |(miliaria) [et I Damasc(enorum)] et [3] / et I Flav(ia) [c(ivium) R(omanorum) et I Ulp(ia) Galat(arum) et II Ulp(ia) Galat(arum)] / et II[I Bracar(augustanorum) et [3] et [3 Ulp(ia)] / Pet[r(aeorum)	s divi Ha hic nep d ianus An rib pot pedit q qua et Ant et coh et I Seb et et I Flav et III Bracar et et Petr	Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate imperator II consul IIII pater patriae equitibus et peditibus equitibus et peditibus qui militaverunt in alis quae appellantur et Antiana et cohortibus et I Thracum miliaria et I Sebastena miliaria et I Damascenorum et et I Flavia civium Romanorum et I Ulpia Galatarum et II Ulpia Galatarum et III Bracaraugustanorum et et Ulpia Petraeorum	aes						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD008524			149 to 161
EDCS-08901172	ZPE-33-150 = AE 1979, 00628 = AE 1989, 00744	Palaestina	?	120	120	120	120	Augusti/Augustae;  miliaria;  tituli sacri;  viri	[Imp(erator) Caesar divi Tr]aiani / Part(h)ici fil(ius) d[ivi Nervae] nepos / Hadrianus Aug(ustus) pontif(ex) / max(imus) trib(unicia) potesta<te=S> / IIII co(n)s(ul) III leg(io) II T(raiana) / m(ilia) IX	aiani Partici fil d nepos Hadrianus Aug pontif max trib potestaS IIII cos III leg II T m IX	Imperator Caesar divi Traiani Parthici filius divi Nervae nepos Hadrianus Augustus pontifex maximus tribunicia potestate IIII consul III legio II Traiana milia IX	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1989_00744.jpg;$ZPE_47_131.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD008518			120 to 120
EDCS-40800002	RRJ-01, 00006	Palaestina	? / Scythopolis					Augusti/Augustae;  miliaria;  tituli sacri;  viri	Imp(erator) Caesar M(arcus) Aurelius / Antoninus Aug(ustus) t(ribunicia) p(otestate) XVI / co(n)s(ul) III et Imp(erator) Caesar L(ucius) Aurel(ius) / Verus Aug(ustus) t(ribunicia) p(otestate) II co(n)s(ul) II / divi Antonini fil(ii) divi / Hadriani nep(otes) divi Tra/[ia]ni pronep(otes) divi [Nervae abnep(otes)]	Imp Caesar M Aurelius Antoninus Aug t p XVI cos III et Imp Caesar L Aurel Verus Aug t p II cos II divi Antonini fil divi Hadriani nep divi Trani pronep divi	Imperator Caesar Marcus Aurelius Antoninus Augustus tribunicia potestate XVI consul III et Imperator Caesar Lucius Aurelius Verus Augustus tribunicia potestate II consul II divi Antonini filii divi Hadriani nepotes divi Traiani pronepotes divi Nervae abnepotes	lapis		32.497102	35.497337						
EDCS-16201844	CIIP-01-02, 00712 = AE 1999, 01689 = AE 2002, +01540 = AE 2003, +01798	Palaestina	Abu Ghosh / Abu Gosch / Abu Ghaush	71	72	71	72	Augusti/Augustae;  milites;  ordo senatorius;  tituli operum;  tria nomina;  viri	Imp(erator) Caes(ar) [Vespasianus Augustus] / Imp(erator) T(itus) [Caes(ar) Vesp(asiani) Aug(usti) fil(ius)] / Sex(to) Lu[cilio Basso leg(ato) Aug(usti) pr(o) pr(aetore)] / coh(orti) [3 fecerunt]	Imp Caes Imp T Sex Lu coh	Imperator Caesar Vespasianus Augustus Imperator Titus Caesar Vespasiani Augusti filius Sexto Lucilio Basso legato Augusti pro praetore cohorti fecerunt	lapis		31.806353	35.1088651		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIIP-01-02_00712.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048621			71 to 72
EDCS-16800305	CIIP-01-02, 00722 = AE 1902, 00230	Palaestina	Abu Ghosh / Abu Gosch / Abu Ghaush					milites;  tituli fabricationis	Vexillatio / leg(ionis) X Fre(tensis)	Vexillatio leg X Fre	Vexillatio legionis X Fretensis			31.806353	35.1088651		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIIP-01-02_00722.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0019147;HD032229;1ae1902-61			
