EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-77600028	AE 1904, 00165	Pontus et Bithynia	?					Augusti/Augustae;  mulieres;  tituli honorarii;  viri				lapis				GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1904-45			
EDCS-67200845	AE 2002, 01353	Pontus et Bithynia	?	138	161	138	161		ἔτους 3] / [Αὐτοκράτορος Τ(ίτου) Αἰλίου] / [Ἁδρ]ιανοῦ Ἀ[ντωνείνου] / Καίσαρος Σεβαστοῦ / Εὐσεβοῦς μηνὸς Ἡρα[ίου]	ἔτους ιανοῦ Ἀ Καίσαρος Σεβαστοῦ Εὐσεβοῦς μηνὸς Ἡρα	ἔτους Αὐτοκράτορος Τίτου Αἰλίου Ἁδριανοῦ Ἀντωνείνου Καίσαρος Σεβαστοῦ Εὐσεβοῦς μηνὸς Ἡραίου							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043640			138 to 161
EDCS-73900253	AE 2015, 01430	Pontus et Bithynia	?	1	200	1	200	mulieres;  tituli sepulcrales;  tria nomina	Valgia P[3 si]/bi et Q(uinto) Luc[i]o Va/tia(e) viro suo m[e]/moriae causa	Valgia P bi et Q Luco Vatia viro suo mmoriae causa	Valgia P sibi et Quinto Lucio Vatiae viro suo memoriae causa										1 to 200
EDCS-78300779	AE 1928, 00100 = SEG-04, 00731	Pontus et Bithynia	Ahmet Saray / Ahmetsaray / Amasya / Amaseia	96	105	96	105	mulieres;  tria nomina;  viri	[Λεύκιον(?)] / [Κορνήλιον] / [Λευκίου υἱόν Λέντυλον] / [Γ]αιτου[λικόν] / ἐφιππίοις / [χ]ρυσοῖς τετ/[ι]μημένον καὶ / [π]ορφύρᾳ Κορνηλι/[α]νὴ Πρεῖσκ[α Ζήνω(?)]/νος τὸν ἑ[αυ]/τῆς υἱὸν [τ]/[ὸν ἀ]ξι[όλογον] / [	αιτου ἐφιππίοις ρυσοῖς τετμημένον καὶ ορφύρᾳ Κορνηλινὴ Πρεῖσκνος τὸν ἑτῆς υἱὸν ξι	Λεύκιον Κορνήλιον Λευκίου υἱόν Λέντυλον Γαιτουλικόν ἐφιππίοις χρυσοῖς τετιμημένον καὶ πορφύρᾳ Κορνηλιανὴ Πρεῖσκα Ζήνωνος τὸν ἑαυτῆς υἱὸν τὸν ἀξιόλογον	lapis		40.990669	35.872612			http://db.edcs.eu/epigr/partner.php?s_language=en&param=P265997;1ae1928-30			96 to 105
EDCS-28501071	CIL 03, 06895 = RRMAM-02-01, 00872 = RRMAM-03-04, 00031a	Pontus et Bithynia	Ahmet Saray / Ahmetsaray / Amasya / Amaseia	293	305	293	305	Augusti/Augustae;  miliaria;  viri	Imp(eratori) Caes(ari) / G(aio!) Aur(elio) Val(erio) / Diocletiano / P(io) F(elici) Invic(to) Aug(usto) et / Imp(eratori) Caes(ari) [[[M(arco) Aur(elio)]]] / [[Val(erio) [Maximiano]]] / P(io) F(elici) Invic(to) Aug(usto) / et Fl(avio) Val(erio) / Constantio / et Gal(erio) Val(erio) / Maximiano / nobiliss(imis) Caess(aribus) / [Millia Passuum] ΚΓ	Imp Caes G Aur Val Diocletiano P F Invic Aug et Imp Caes Val P F Invic Aug et Fl Val Constantio et Gal Val Maximiano nobiliss Caess ΚΓ	Imperatori Caesari Gaio Aurelio Valerio Diocletiano Pio Felici Invicto Augusto et Imperatori Caesari Marco Aurelio Valerio Maximiano Pio Felici Invicto Augusto et Flavio Valerio Constantio et Galerio Valerio Maximiano nobilissimis Caessaribus Millia Passuum ΚΓ	lapis		40.990669	35.872612			http://db.edcs.eu/epigr/partner.php?s_language=en&param=B223			293 to 305
EDCS-74300417	Lafli-2018, p 213 = AE 2018, 01738	Pontus et Bithynia	Ahmet Saray / Ahmetsaray / Amasya / Amaseia	151	200	151	200	milites;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / G(aius!) Iul(ius) Ne/o mil(es) leg(ionis) V Mac(edonicae) vix(it) / an(nos) XXX mil(itavit) an(nos) IX Te/rentius Ve/rus he(res) ei/us b(ene) m(erenti) p(osuit)	D M G Iul Neo mil leg V Mac vix an XXX mil an IX Terentius Verus he eius b m p	Dis Manibus Gaius Iulius Neo miles legionis V Macedonicae vixit annos XXX militavit annos IX Terentius Verus heres eius bene merenti posuit	lapis		40.990669	35.872612		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Lafli-2018-213.jpg				151 to 200
EDCS-70200050	RRMAM-02-01, 00873 = RRMAM-03-04, 00031b	Pontus et Bithynia	Ahmet Saray / Ahmetsaray / Amasya / Amaseia					miliaria	?			lapis		40.990669	35.872612						
EDCS-41000058	RRMAM-01, 00025 = IK-10-01, 01016 = IK-10-01, 01020 = IK-10-02, 01029 = RRMAM-02-01, 00245 = RRMAM-03-04, 00089	Pontus et Bithynia	Ahmetbeyler	293	367	293	367	Augusti/Augustae;  miliaria;  viri	B(ona) [F(ortuna)] / [3 Diocletianus // et Maximianus] / P(ius) F(elix) Inv(ictus) Aug(ustus) et / F{e}l(avius) Val(erius) Constantius / et Gal(erius) Val(erius) M[aximianus] / nobb(ilissimi) Caesares // ἀπὸ Νει[κ]αί[ας] / ξθʹ // [D(omino)] n(ostro) / Fl(avio) Ioviano / victor(i) P(io) F(elici) / semper / Aug(usto) // [DD(ominis) nn(ostris)] / Valentinian<o=I> et / Valenti [PP(iis) FF(elicibus)] / semper Aug(ustis!)	B P F Inv Aug et Fel Val Constantius et Gal Val M nobb Caesares ἀπὸ Νειαί ξθʹ n Fl Ioviano victor P F semper Aug ValentinianI et Valenti semper Aug	Bona Fortuna Diocletianus et Maximianus Pius Felix Invictus Augustus et Flavius Valerius Constantius et Galerius Valerius Maximianus nobbilissimi Caesares ἀπὸ Νεικαίας ξθʹ Domino nostro Flavio Ioviano victori Pio Felici semper Augusto DDominis nnostris Valentiniano et Valenti PPiis FFelicibus semper Augustis	lapis		40.235195	30.8444382			http://db.edcs.eu/epigr/partner.php?s_language=en&param=P278115;P278119;P278128			293 to 367
EDCS-08400529	RRMAM-01, 00013 = IK-10-01, 01010 = IK-10-01, 01011 = RRMAM-02-01, 00222 = RRMAM-03-04, 00076 = AE 1984, 00834	Pontus et Bithynia	Aktas	337	367	337	367	Augusti/Augustae;  miliaria;  viri	Fl(avio) Iul(io) Constanti]/o P(io) F(elici) vic(tori) semper A[ug(usto)] et / Fl(avio) Iul(io) Constanti P(io) F(elici) / {t}vic(tori) semper Aug(usto) / [ // Valentiniano / et Valenti / PP(iis) FF(elicibus) s(e)mper / Augg(ustis)	Fl Iul Constantio P F vic semper A et Fl Iul Constanti P F tvic semper Aug Valentiniano et Valenti PP FF smper Augg	Flavio Iulio Constantio Pio Felici victori semper Augusto et Flavio Iulio Constanti Pio Felici victori semper Augusto Valentiniano et Valenti PPiis FFelicibus semper Auggustis	lapis		40.299881	30.273649			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD002251;HD002248;bu_AE%26bibl_volume=1984%26bibl_subvolume=%26bibl_insc=834			337 to 367
EDCS-77400096	AE 1888, 00171	Pontus et Bithynia	Amasra / Sesamos / Amastris	165	165	165	165	Augusti/Augustae;  ordo senatorius;  tituli honorarii;  viri	[ὑπὲρ τῆς Αὐτοκράτορος Καίσαρος Τίτου Αἰλίου Ἁδριανοῦ Ἀντωνείνου Σεβαστοῦ Εὐσεβοῦς πατρὸς] / [πατρίδος καὶ Αὐρηλίου Καίσαρος τοῦ υἱοῦ αὐτοῦ καὶ Φαυστείνης Σεβαστῆς καὶ τῶν τέ]/κνων αὐτῶν καὶ τοῦ σύμπαντος οἴκου τ[οῦ Σεβαστοῦ σωτηρίας καὶ ἱερᾶς συνκλήτου καὶ δήμου Ῥωμαί]/ω[ν καὶ] βουλῆς καὶ δήμου τοῦ Ἀμαστριανῶ[ν 3 ἐπὶ Λ(ουκίου)] / [Λ]ολλιανοῦ Ἀουείτου τοῦ πρεσβευτοῦ καὶ ἀντι[στρατήγου Σεβαστοῦ 3 ἐφηβαρ]/[χ]ήσας ἐν τῶι θκσʹ ἔτει ἐπὶ τῶν περὶ Π[3 πρῶτον] / ἄρχοντα ἀρχόντων ἀνέστησεν [ἐκ τῶν ἰδίων κατασκευάσας τὸν βωμὸν καὶ τὸν Ἡρα]/κλέα καὶ τῇ κατεπικειμένῃ λεο[ντῇ 3 καὶ τοὺς] / [ὄνυ]χας ἀποκατέστησεν [3] / [3] ἀρχόντων προ Η[3]	κνων αὐτῶν καὶ τοῦ σύμπαντος οἴκου τω βουλῆς καὶ δήμου τοῦ Ἀμαστριανῶ ολλιανοῦ Ἀουείτου τοῦ πρεσβευτοῦ καὶ ἀντιήσας ἐν τῶι θκσʹ ἔτει ἐπὶ τῶν περὶ Π ἄρχοντα ἀρχόντων ἀνέστησεν κλέα καὶ τῇ κατεπικειμένῃ λεο χας ἀποκατέστησεν ἀρχόντων προ Η	ὑπὲρ τῆς Αὐτοκράτορος Καίσαρος Τίτου Αἰλίου Ἁδριανοῦ Ἀντωνείνου Σεβαστοῦ Εὐσεβοῦς πατρὸς πατρίδος καὶ Αὐρηλίου Καίσαρος τοῦ υἱοῦ αὐτοῦ καὶ Φαυστείνης Σεβαστῆς καὶ τῶν τέκνων αὐτῶν καὶ τοῦ σύμπαντος οἴκου τοῦ Σεβαστοῦ σωτηρίας καὶ ἱερᾶς συνκλήτου καὶ δήμου Ῥωμαίων καὶ βουλῆς καὶ δήμου τοῦ Ἀμαστριανῶν ἐπὶ Λουκίου Λολλιανοῦ Ἀουείτου τοῦ πρεσβευτοῦ καὶ ἀντιστρατήγου Σεβαστοῦ ἐφηβαρχήσας ἐν τῶι θκσʹ ἔτει ἐπὶ τῶν περὶ Π πρῶτον ἄρχοντα ἀρχόντων ἀνέστησεν ἐκ τῶν ἰδίων κατασκευάσας τὸν βωμὸν καὶ τὸν Ἡρακλέα καὶ τῇ κατεπικειμένῃ λεοντῇ καὶ τοὺς ὄνυχας ἀποκατέστησεν ἀρχόντων προ Η	lapis		41.7489671	32.3866482			http://db.edcs.eu/epigr/partner.php?s_language=en&param=P265410;1ae1888-62			165 to 165
