EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-66500005	AE 2005, 01349 = AE 2009, 01398 = AE 2012, +00094	Thracia	?	101	200	101	200		ἀγαθῇ τύχῃ / ἱερεὺς / Διὸς καὶ / Ῥώμης Δ[ι]/ονύσου / Μάρωνος / Τ(ίτος) Καίσιος / Καικιλιανός	ἀγαθῇ τύχῃ ἱερεὺς Διὸς καὶ Ῥώμης Δονύσου Μάρωνος Τ Καίσιος Καικιλιανός	ἀγαθῇ τύχῃ ἱερεὺς Διὸς καὶ Ῥώμης Διονύσου Μάρωνος Τίτος Καίσιος Καικιλιανός							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065142			101 to 200
EDCS-78300255	AE 2017, 01266fb	Thracia	?	245	247	245	247	Augusti/Augustae;  miliaria;  viri	?			lapis	Text unpubliziert								245 to 247
EDCS-36400187	Dacia-2006-99 = CERom-26, 01210 = AE 2006, 01862	Thracia	?	99	99	99	99	Augusti/Augustae;  diplomata militaria;  nomen singulare;  ordo equester;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri	[Imp(erator) Caesar divi Nervae f(ilius) Nerva Traianus Augustus Germanicus pontifex maximus tribunic(ia) potestat(e) III co(n)s(ul) II p(ater) p(atriae) equitibus et peditibus qui militant in alis tribus et cohortibus septem quae appellantur I Asturum et I Flavia Gaetulorum et I Vespasiana Dardanorum et I Lepidiana c(ivium) R(omanorum) et I Tyriorum et I Lusitanorum Cyrenaica et II Flavia Brittonum et II Chalcidenorum et III et VII Gallorum et classi(ci) et sunt in Moesia inferiore sub Q(uinto) Pomponio Rufo item dimissis honesta missione qui quina et vicena plurave stipendia meruerunt quorum nomina subscripta sunt ipsis liberis posterisque eorum civita]tem dedit et conubium cum uxoribus / quas tunc habuissent cum est civitas / iis data aut si qui caelibes essent cum iis / quas postea duxissent dumtaxat singuli / singulas a(nte) d(iem) XIX K(alendas) Sept(embres) / Q(uinto) Fabio Barbaro A(ulo) Caecilio Faustino co(n)s(ulibus) / alae I Flaviae Gaetulorum cui prae(e)st / Q(uintus) Planius Sardus C(ai) f(ilius) Pup(inia) Truttedius Pius / gregali / Dolazeno Mucacenthi f(ilio) Bess[o] / et Deneusi Esiaetralis filiae uxori eius [B]ess(ae) / et Flavo f(ilio) eius / et Nene fil(iae) eius / et Benzi fil(iae) eius / descriptum et recognitum ex tabula ae/nea quae fixa est R[omae in muro post templum divi Aug(usti) ad Minervam] // C(ai) Tuticani Satur[nini] / L(uci) Nesulnae Pro[3] / P(ubli) Lusci Amandi / Sex(ti) Fufici Alexandri / C(ai) Tuticani Heli / Ti(beri) Claudi Feli[c]is / C(ai) Valeri Eucarpi	tem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea duxissent dumtaxat singuli singulas a d XIX K Sept Q Fabio Barbaro A Caecilio Faustino cos alae I Flaviae Gaetulorum cui praest Q Planius Sardus C f Pup Truttedius Pius gregali Dolazeno Mucacenthi f Bess et Deneusi Esiaetralis filiae uxori eius ess et Flavo f eius et Nene fil eius et Benzi fil eius descriptum et recognitum ex tabula aenea quae fixa est R C Tuticani Satur L Nesulnae Pro P Lusci Amandi Sex Fufici Alexandri C Tuticani Heli Ti Claudi Feliis C Valeri Eucarpi	Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus pontifex maximus tribunicia potestate III consul II pater patriae equitibus et peditibus qui militant in alis tribus et cohortibus septem quae appellantur I Asturum et I Flavia Gaetulorum et I Vespasiana Dardanorum et I Lepidiana civium Romanorum et I Tyriorum et I Lusitanorum Cyrenaica et II Flavia Brittonum et II Chalcidenorum et III et VII Gallorum et classici et sunt in Moesia inferiore sub Quinto Pomponio Rufo item dimissis honesta missione qui quina et vicena plurave stipendia meruerunt quorum nomina subscripta sunt ipsis liberis posteris que eorum civitatem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea duxissent dumtaxat singuli singulas ante diem XIX Kalendas Septembres Quinto Fabio Barbaro Aulo Caecilio Faustino consulibus alae I Flaviae Gaetulorum cui praeest Quintus Planius Sardus Cai filius Pupinia Truttedius Pius gregali Dolazeno Mucacenthi filio Besso et Deneusi Esiaetralis filiae uxori eius Bessae et Flavo filio eius et Nene filiae eius et Benzi filiae eius descriptum et recognitum ex tabula aenea quae fixa est Romae in muro post templum divi Augusti ad Minervam Cai Tuticani Saturnini Luci Nesulnae Pro Publi Lusci Amandi Sexti Fufici Alexandri Cai Tuticani Heli Tiberi Claudi Felicis Cai Valeri Eucarpi	aes						http://db.edcs.eu/epigr/partner.php?s_language=en&param=bu_AE%26bibl_volume=2006%26bibl_subvolume=%26bibl_insc=1862			99 to 99
EDCS-29900533	IBulgarien 00245	Thracia	?	324	326	324	326	Augusti/Augustae;  miliaria;  viri	[Constan]tino / [Maximo triumfat]or(i) Aug(usto) / Lici(nio) Cons/[tant]ino et / C[rispo] / Licinio Iun(iori) / [et Cons]t[an]tio / [nobilissimis] C(a)es(aribus)	tino or Aug Lici Consino et C Licinio Iun ttio Ces	Constantino Maximo triumfatori Augusto Licinio Constantino et Crispo Licinio Iuniori et Constantio nobilissimis Caesaribus	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD042943			324 to 326
EDCS-72900272	RJ 00185	Thracia	?	201	300	201	300	nomen singulare;  tituli possessionis;  viri	Am/an/ti // Am/an/ti	Amanti Amanti	Amanti Amanti						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RJ_00185_1.jpg;$RJ_00185_2.jpg				201 to 300
EDCS-71100092	RMD-03, 00158 = AE 1994, 01519 = AE 2015, +01118 = ZPE-203-259 = AE 2017, 01218	Thracia	?	133	133	133	133	Augusti/Augustae;  diplomata militaria;  milites;  ordo equester;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caesar divi Traiani Parthici f(ilius) / divi Nervae nepos Traianus Hadria/nus Aug(ustus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII co(n)s(ul) III p(ater) p(atriae) / equitib(us) qui inter singular(es) milita/ver(unt) quibus praeest Clodius Gallus / quinis et vicenis pluribusve stipen/di(i)s emeritis dimissis honesta mis/sione quorum nomina subscripta / sunt ipsis liberis posterisque eorum / civitatem dedit et conub(ium) cum uxorib(us) / quas tunc habuissent cum est civi/tas iis data aut si qui caelibes essent / cum i(i)s quas postea duxiss(ent) dumtaxat / singuli singulas a(nte) d(iem) VI Id(us) Apr(iles) / C(aio) Antonio Hibero / P(ublio) Mummio Sisenna co(n)s(ulibus) / M(arco) Ul[pio V]aleri filio Valerio Oesco / [descript(um) et rec]ognit(um) ex tabula aenea / [quae fixa est R]omae in muro post / [templum divi Au]g(usti) ad Minervam // Ti(beri) Claudi [Menandri] / P(ubli) Atti Sev[eri] / P(ubli) Atti Festi / L(uci) Equiti Gemelli / Q(uinti) Lolli Festi / T(iti) Villi Agath[ae] / C(ai) Vettieni He[rmetis]	Imp Caesar divi Traiani Parthici f divi Nervae nepos Traianus Hadrianus Aug pont max trib pot XVII cos III p p equitib qui inter singular militaver quibus praeest Clodius Gallus quinis et vicenis pluribusve stipendis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis liberis posteris que eorum civitatem dedit et conub cum uxorib quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum is quas postea duxiss dumtaxat singuli singulas a d VI Id Apr C Antonio Hibero P Mummio Sisenna cos M Ulaleri filio Valerio Oesco ognit ex tabula aenea omae in muro post g ad Minervam Ti Claudi P Atti Sev P Atti Festi L Equiti Gemelli Q Lolli Festi T Villi Agath C Vettieni He	Imperator Caesar divi Traiani Parthici filius divi Nervae nepos Traianus Hadrianus Augustus pontifex maximus tribunicia potestate XVII consul III pater patriae equitibus qui inter singulares militaverunt quibus praeest Clodius Gallus quinis et vicenis pluribusve stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis liberis posteris que eorum civitatem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea duxissent dumtaxat singuli singulas ante diem VI Idus Apriles Caio Antonio Hibero Publio Mummio Sisenna consulibus Marco Ulpio Valeri filio Valerio Oesco descriptum et recognitum ex tabula aenea quae fixa est Romae in muro post templum divi Augusti ad Minervam Tiberi Claudi Menandri Publi Atti Severi Publi Atti Festi Luci Equiti Gemelli Quinti Lolli Festi Titi Villi Agathae Cai Vettieni Hermetis	aes					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RMD-03_00158.jpg;$RMD-03_00158_1.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055911;bu_AE%26bibl_volume=2017%26bibl_subvolume=%26bibl_insc=1218			133 to 133
EDCS-12100049	RMD-03, 00184 = RMD-05, p 704 = IDRE-02, 00474	Thracia	?	178	178	178	178	Augusti/Augustae;  diplomata militaria;  mulieres;  nomen singulare;  ordo equester;  ordo senatorius;  tituli operum;  tituli sacri;  viri	Imp(erator) Caesa(r) divi Antonini f(ilius) divi Veri Parthici ma/x<i=A>mi frater divi Hadriani nepo(s) divi Traian(i) Pa/rthici pronepo(s) divi Nervae abnepos M(arcus) Aurelius / Antoninus Aug(ustus) Germanicus Sarmaticus pon/tifex maximus tr[i]bunic(ia) potest(ate) XXXII imp(erator) VIII co(n)s(ul) III p(ater) (!) / Imp(erator) Caesar L(ucius) Aelius Aurelius Commodus Aug(ustus) Anton(i)/ni Aug(usti) f(ilius) divi Pii nepos divi Hadrian(i) pronep(os) / divi Traiani Parthici abnepo(s) divi Nervae (a)d<ne=RI>/pos Germanicus Sarmaticus trib(unicia) potes(tate) III imp(erator) / II co(n)s(ul) p(ater) p(atriae) / equitibus et peditibus qui militaverunt in / alis V quae appellantur Gallor(um) et Thrac(um) / Classian(a) et Aug(usta) Vocontior(um) et I Pannonior(um) Sa/binian(a) et Sebosi<a=O>n(a) Gallor(um) et Vetton(um) Hispano(rum) et / cohortibus XVI I Aug(usta) Nerv(iorum) et I Frisiavon(um) et I Aelia / Hispanor(um) [et I] fida Vardullor(um) et I Celtiber(orum) et III / Lingon(um) e[t I] Hispanor(um) et I Thrac(um) et I Batavor(um) et / II Gallor(um) [v]eter(ana) et II Thrac(um) veter(ana) et II Lingon(um) et / IIII Gall[or(um) e]t I Vang<i=L>o(num) et VII Thrac(um) et I Morino(rum) et / sunt in Br[ita]nnia sub Ulpio Marcello leg(ato) quinis / et vicen[is pluribu]sve stipendi(i)s emeritis dimis/sis hones[ta mis]sione quorum nomina subscript(a) / sunt civit[atem R]omanam qui eorum non habere(n)t d(e)/(de)run(t) et co[nubium c]um uxorib(us) quas tunc habuissent / cum est c[ivitas] i(i)s dat(a) a]ut cum i(i)s quas postea duxis/sent dum[taxat] singulis a(nte) d(iem) X Kal(endas) April{l}(es) / Ser(vio) Scipione Orfito / D(ecimo) Velio Rufo / co(n)s(ulibus) / coh(ortis) VII Thrac(um) cui praeest / Ulpius Marcianus / ex equite / Thiopo Rolae fil(io) Daco / descript(um) et recognit(um) ex tabu(l)a aere(a) / qu(a)e fixa est Rom(ae) in mu(ro) post t(emplum) divi Aug(usti) ad (!) // C(ai) Belli Urbani / L(uci) Senti Chrysogoni / Ti(beri) Iuli Crescentis / L(uci) Pulli Marcionis / S(exti) Vibi Romani / C(ai) Publici Luperci / M(arci) Iuni Pii // Imp(erator) Caesa[r divi Antonini f(ilius) divi Veri Parthici maximi frater] / divi Had[riani nepos divi Traiani Parthici pronepos divi] / Nerv[ae abnepos M(arcus) Aurelius Antoninus Aug(ustus) Germanicus S]/ar[maticus	Imp Caesa divi Antonini f divi Veri Parthici maxAmi frater divi Hadriani nepo divi Traian Parthici pronepo divi Nervae abnepos M Aurelius Antoninus Aug Germanicus Sarmaticus pontifex maximus trbunic potest XXXII imp VIII cos III p Imp Caesar L Aelius Aurelius Commodus Aug Antonni Aug f divi Pii nepos divi Hadrian pronep divi Traiani Parthici abnepo divi Nervae dpos Germanicus Sarmaticus trib potes III imp II cos p p equitibus et peditibus qui militaverunt in alis V quae appellantur Gallor et Thrac Classian et Aug Vocontior et I Pannonior Sabinian et SebosiOn Gallor et Vetton Hispano et cohortibus XVI I Aug Nerv et I Frisiavon et I Aelia Hispanor fida Vardullor et I Celtiber et III Lingon e Hispanor et I Thrac et I Batavor et II Gallor eter et II Thrac veter et II Lingon et IIII Gallt I VangLo et VII Thrac et I Morino et sunt in Brnnia sub Ulpio Marcello leg quinis et vicensve stipendis emeritis dimissis honessione quorum nomina subscript sunt civitomanam qui eorum non haberet drun et coum uxorib quas tunc habuissent cum est cut cum is quas postea duxissent dum singulis a d X Kal Aprill Ser Scipione Orfito D Velio Rufo cos coh VII Thrac cui praeest Ulpius Marcianus ex equite Thiopo Rolae fil Daco descript et recognit ex tabua aere que fixa est Rom in mu post t divi Aug ad C Belli Urbani L Senti Chrysogoni Ti Iuli Crescentis L Pulli Marcionis S Vibi Romani C Publici Luperci M Iuni Pii Imp Caesa divi Had Nervarmaticus	Imperator Caesar divi Antonini filius divi Veri Parthici maximi frater divi Hadriani nepos divi Traiani Parthici pronepos divi Nervae abnepos Marcus Aurelius Antoninus Augustus Germanicus Sarmaticus pontifex maximus tribunicia potestate XXXII imperator VIII consul III pater Imperator Caesar Lucius Aelius Aurelius Commodus Augustus Antonini Augusti filius divi Pii nepos divi Hadriani pronepos divi Traiani Parthici abnepos divi Nervae adneIpos Germanicus Sarmaticus tribunicia potestate III imperator II consul pater patriae equitibus et peditibus qui militaverunt in alis V quae appellantur Gallorum et Thracum Classiana et Augusta Vocontiorum et I Pannoniorum Sabiniana et Sebosiana Gallorum et Vettonum Hispanorum et cohortibus XVI I Augusta Nerviorum et I Frisiavonum et I Aelia Hispanorum et I fida Vardullorum et I Celtiberorum et III Lingonum et I Hispanorum et I Thracum et I Batavorum et II Gallorum veterana et II Thracum veterana et II Lingonum et IIII Gallorum et I Vangionum et VII Thracum et I Morinorum et sunt in Britannia sub Ulpio Marcello legato quinis et vicenis pluribusve stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dederunt et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut cum iis quas postea duxissent dumtaxat singulis ante diem X Kalendas Apriles Servio Scipione Orfito Decimo Velio Rufo consulibus cohortis VII Thracum cui praeest Ulpius Marcianus ex equite Thiopo Rolae filio Daco descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Cai Belli Urbani Luci Senti Chrysogoni Tiberi Iuli Crescentis Luci Pulli Marcionis Sexti Vibi Romani Cai Publici Luperci Marci Iuni Pii Imperator Caesar divi Antonini filius divi Veri Parthici maximi frater divi Hadriani nepos divi Traiani Parthici pronepos divi Nervae abnepos Marcus Aurelius Antoninus Augustus Germanicus Sarmaticus	aes									178 to 178
EDCS-12100058	RMD-03, 00193	Thracia	?					Augusti/Augustae;  diplomata militaria;  milites;  tituli operum;  tituli sacri;  tria nomina;  viri	[Imp(erator) Caes(ar) divi Antoni]ni Magni / [Pii Aug(usti) fil(ius) divi Severi Pii ne]p(os) / [M(arcus) Aurellius Severus Alexand]er Pius Fel(ix) / [Aug(ustus) pont(ifex) max(imus) trib(unicia) pot(estate)] II co(n)s(ul) p(ater) p(atriae) / [nomina militum qui mi]litaverun(t) / [in coh(ortibus) praet(oriis) Severia]nis decem I II / [III IIII V VI VII VIII VIIII X Piis] Vindicib(us) / [qui pie et fortiter militi]a functi / [sunt ius tribuimus conubi]i dumtaxat / [cum singulis et primis uxoribus // ] L(ucio) Mario Maximo II [L(ucio) Roscio Aeliano co(n)s(ulibus)] / coh(ortis) V pr(aetoriae) S[everianae P(iae) V(indicis)] / P(ublio) Aelio P(ubli) f(ilio) Ulp[ia 3] / Serdi[ca] / descript(um) et recognit(um) e[x tabula aerea quae] / fixa est Romae in m[uro post templ(um) divi Aug(usti)] / ad Min[ervam]	ni Magni p er Pius Fel II cos p p litaverun nis decem I II Vindicib a functi i dumtaxat L Mario Maximo II coh V pr S P Aelio P f Ulp Serdi descript et recognit e fixa est Romae in m ad Min	Imperator Caesar divi Antonini Magni Pii Augusti filius divi Severi Pii nepos Marcus Aurellius Severus Alexander Pius Felix Augustus pontifex maximus tribunicia potestate II consul pater patriae nomina militum qui militaverunt in cohortibus praetoriis Severianis decem I II III IIII V VI VII VIII VIIII X Piis Vindicibus qui pie et fortiter militia functi sunt ius tribuimus conubii dumtaxat cum singulis et primis uxoribus Lucio Mario Maximo II Lucio Roscio Aeliano consulibus cohortis V praetoriae Severianae Piae Vindicis Publio Aelio Publi filio Ulpia Serdica descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam	aes									
EDCS-46400964	ZPE-168-195	Thracia	?					milites;  tituli sacri;  viri	[I(ovi) O(ptimo) M(aximo) Iunoni Reginae(?)] / [3]es miles l[eg(ionis?) 3] / [votum] posuit [3]	es miles l posuit	Iovi Optimo Maximo Iunoni Reginae es miles legionis votum posuit						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-168-195.jpg				
EDCS-74400128	ZPE-209-140	Thracia	?	101	200	101	200	tituli sepulcrales;  viri								GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-209-140.jpg				101 to 200
