EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-31400030	CIL 03, 12297	Achaia	?						Leius	Leius	Leius										
EDCS-24700151	CIL 01, 02650 (p 1097) = IG-05-01, 00741 = ILLRP 00962	Achaia	Afesou					praenomen et nomen;  tituli sepulcrales;  viri	Δέκιος Λείβιος (Ζ)εῦξις // D(ecimi) Leivei D(ecimi) Leivei salve	Δέκιος Λείβιος εῦξις D Leivei D Leivei salve	Δέκιος Λείβιος Ζεῦξις Decimi Leivei Decimi Leivei salve	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057726			
EDCS-24900077	CIL 01, 00746 (p 944) = D 00867 = ILLRP 00374 (p 327) = Hesperia-2015-602	Achaia	Agia Triada / Merbaka / Midea	-68	-68	-68	-68	officium/professio;  ordo senatorius;  tituli honorarii;  tria nomina;  viri	Q(uinto) Caecilio C(ai) f(ilio) Metel(l)o / imperatori Italici / quei Argeis negotia(ntur)	Q Caecilio C f Metelo imperatori Italici quei Argeis negotia	Quinto Caecilio Cai filio Metello imperatori Italici quei Argeis negotiantur			37.6381128	22.8052991		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$D_00867.jpg;PH0004362	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0004160;HD056163;de-a0195			-68 to -68
EDCS-03700724	ZPE-108-159 = Thesprotia 00001 = AE 1993, 01406 = AE 1995, 01394 = AE 2009, 01287	Achaia	Agios Athanasios / Photike	309	313	309	313	Augusti/Augustae;  litterae erasae;  ordo equester;  tituli honorarii;  tria nomina	Fortissimo et Piis/simo Caesari d(omino) n(ostro) / Gal(erio) Val(erio) [[Maximino]] / P(io) F(elici) Inv(icto) / Coranius Titianus v(ir) p(erfectissimus) / praes(es) prov(inciae) vet(eris) Epiri / Num(ini) eorum dicatissi/mus	Fortissimo et Piissimo Caesari d n Gal Val P F Inv Coranius Titianus v p praes prov vet Epiri Num eorum dicatissimus	Fortissimo et Piissimo Caesari domino nostro Galerio Valerio Maximino Pio Felici Invicto Coranius Titianus vir perfectissimus praeses provinciae veteris Epiri Numini eorum dicatissimus			39.4512182	20.7667673		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-108-159.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052964			309 to 313
EDCS-55701593	AE 2009, 01286a	Achaia	Agios Donatos / Photike					praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	Cn(aeus) Atei(us)	Cn Atei	Cnaeus Ateius	opus figlinae		39.4759759	20.5069076						
EDCS-55701594	AE 2009, 01286b	Achaia	Agios Donatos / Photike					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Avill(ius)	Avill	Avillius	opus figlinae		39.4759759	20.5069076						
EDCS-55701595	AE 2009, 01286c	Achaia	Agios Donatos / Photike					praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	L(ucius) Av(illius)	L Av	Lucius Avillius	opus figlinae		39.4759759	20.5069076						
EDCS-55701596	AE 2009, 01286d	Achaia	Agios Donatos / Photike					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Camurius	Camurius	Camurius	opus figlinae		39.4759759	20.5069076						
EDCS-55701597	AE 2009, 01286e	Achaia	Agios Donatos / Photike					praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	L(uci) Titi	L Titi	Luci Titi	opus figlinae		39.4759759	20.5069076						
EDCS-66200107	AE 2008, 01264	Achaia	Aigio / Egio / Aiyion / Aegeum	151	250	151	250		[3]ν τὸν λαμ/[πρότατον ὑπατικ]όν Ἄππιος Κυ/[3 τὸν ἑαυτοῦ πά]τρωνα	ν τὸν λαμ όν Ἄππιος Κυ τρωνα	ν τὸν λαμπρότατον ὑπατικόν Ἄππιος Κυ τὸν ἑαυτοῦ πάτρωνα	lapis		38.2507139	22.0858224			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD067316			151 to 250
EDCS-13800065	CIL 01, 02955 = ILLRP 00370 (p 327) = ILGR 00080 = AE 1954, 00031	Achaia	Aigio / Egio / Aiyion / Aegeum	-74	-74	-74	-74	officium/professio;  ordo senatorius;  tituli honorarii;  tria nomina;  viri	Italicei / quei Aegei negotiantur / P(ublium) Rutilium P(ubli) f(ilium) Nudum / q(uaestorem)	Italicei quei Aegei negotiantur P Rutilium P f Nudum q	Italicei quei Aegei negotiantur Publium Rutilium Publi filium Nudum quaestorem	lapis		38.2507139	22.0858224			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD017714			-74 to -74
EDCS-66200108	SEG-49, 00495a = AE 2008, 01265a	Achaia	Aigio / Egio / Aiyion / Aegeum						ἐπὶ Τιβ(ερίου) / Κλαυδί/ου Φρον/τείνου / Νεικηρ/άτου τα/μίου καὶ / ἀντιστρ/ατήγου	ἐπὶ Τιβ Κλαυδίου Φροντείνου Νεικηράτου ταμίου καὶ ἀντιστρατήγου	ἐπὶ Τιβερίου Κλαυδίου Φροντείνου Νεικηράτου ταμίου καὶ ἀντιστρατήγου	aes		38.2507139	22.0858224			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD068315			
EDCS-66200109	SEG-49, 00495b = AE 2008, 01265b	Achaia	Aigio / Egio / Aiyion / Aegeum						ἐπὶ Τιβ(ερίου) / Κλαυδίου / Φροντείνου / Νεικηράτου / ταμίου καὶ / ἀντ[ιστ]ρα/τή[γου]	ἐπὶ Τιβ Κλαυδίου Φροντείνου Νεικηράτου ταμίου καὶ ἀντ ρατή	ἐπὶ Τιβερίου Κλαυδίου Φροντείνου Νεικηράτου ταμίου καὶ ἀντιστρατήγου	aes		38.2507139	22.0858224			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD068319			
