EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-03000560	AE 1996, 00974	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima	71	100	71	100	Augusti/Augustae;  tituli honorarii;  tituli sacri;  viri	] I[mper(atoris) Caes(aris) 3] / [3 d]ivi V[espasiani f(ilii) Aug(usti?) 3] / [3 imper]at(oris?) I[I	I ivi V at II	Imperatoris Caesaris divi Vespasiani filii Augusti imperatoris II	lapis		45.5573093	6.6522217			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050198			71 to 100
EDCS-54400198	CAG-73, p 101	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima						]IM[	IM	IM			45.5573093	6.6522217						
EDCS-54400142	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Felix	Felix	Felix	opus figlinae		45.5573093	6.6522217						
EDCS-54400129	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Gratus	Gratus	Gratus	opus figlinae		45.5573093	6.6522217						
EDCS-54400128	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					sigilla impressa;  tituli fabricationis	VII/IP	VIIIP	VIIIP	opus figlinae		45.5573093	6.6522217						
EDCS-54400114	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Of(ficina) Anni	Of Anni	Officina Anni	opus figlinae		45.5573093	6.6522217						
EDCS-54400111	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					sigilla impressa;  tituli fabricationis	Nat[3]	Nat	Nat	opus figlinae		45.5573093	6.6522217						
EDCS-54400107	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Cobner(tus)	Cobner	Cobnertus	opus figlinae		45.5573093	6.6522217						
EDCS-54400106	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Cintu(s)	Cintu	Cintus	opus figlinae		45.5573093	6.6522217						
EDCS-54400105	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Cinnamus	Cinnamus	Cinnamus	opus figlinae		45.5573093	6.6522217						
EDCS-54400104	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Borilli of(ficina)	Borilli of	Borilli officina	opus figlinae		45.5573093	6.6522217						
EDCS-54400103	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Aventini	Aventini	Aventini	opus figlinae		45.5573093	6.6522217						
EDCS-54400102	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Advocis	Advocis	Advocis	opus figlinae		45.5573093	6.6522217						
EDCS-54400101	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					sigilla impressa;  viri	[3]us f(ecit)	us f	us fecit	opus figlinae		45.5573093	6.6522217						
EDCS-54400100	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Seuvo fecit	Seuvo fecit	Seuvo fecit	opus figlinae		45.5573093	6.6522217						
EDCS-54400099	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Noster f(ecit)	Noster f	Noster fecit	opus figlinae		45.5573093	6.6522217						
EDCS-54400098	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Agenor f(ecit)	Agenor f	Agenor fecit	opus figlinae		45.5573093	6.6522217						
EDCS-54400127	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					sigilla impressa;  tituli fabricationis	PESXD	PESXD	PESXD	opus figlinae		45.5573093	6.6522217						
EDCS-54400126	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					sigilla impressa;  tituli fabricationis	Pr[3]	Pr	Pr	opus figlinae		45.5573093	6.6522217						
EDCS-54400125	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					sigilla impressa;  tituli fabricationis	[3]ummul[3]	ummul	ummul	opus figlinae		45.5573093	6.6522217						
EDCS-54400124	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Aprio f(ecit)	Aprio f	Aprio fecit	opus figlinae		45.5573093	6.6522217						
EDCS-54400123	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Resti	Resti	Resti	opus figlinae		45.5573093	6.6522217						
EDCS-54400122	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis	Pat()	Pat	Pat	opus figlinae		45.5573093	6.6522217						
EDCS-54400121	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis	Sed()	Sed	Sed	opus figlinae		45.5573093	6.6522217						
EDCS-54400120	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Rogati of(ficina)	Rogati of	Rogati officina	opus figlinae		45.5573093	6.6522217						
EDCS-54400119	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Resti	Resti	Resti	opus figlinae		45.5573093	6.6522217						
EDCS-54400118	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Pecultares	Pecultares	Pecultares	opus figlinae		45.5573093	6.6522217						
EDCS-54400117	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Of(ficina) Primi	Of Primi	Officina Primi	opus figlinae		45.5573093	6.6522217						
EDCS-54400116	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis	Of(ficina) Mim()	Of Mim	Officina Mim	opus figlinae		45.5573093	6.6522217						
EDCS-54400115	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis	Of(ficina) Masc()	Of Masc	Officina Masc	opus figlinae		45.5573093	6.6522217						
EDCS-54400113	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis	Nem() f(ecit)	Nem f	Nem fecit	opus figlinae		45.5573093	6.6522217						
EDCS-54400112	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Nequres	Nequres	Nequres	opus figlinae		45.5573093	6.6522217						
EDCS-54400110	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Mode(sti)	Mode	Modesti	opus figlinae		45.5573093	6.6522217						
EDCS-54400109	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Matti m(anu)	Matti m	Matti manu	opus figlinae		45.5573093	6.6522217						
EDCS-54400108	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Mariu(s)	Mariu	Marius	opus figlinae		45.5573093	6.6522217						
EDCS-54400141	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Germanicus	Germanicus	Germanicus	opus figlinae		45.5573093	6.6522217						
EDCS-54400140	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Crestio	Crestio	Crestio	opus figlinae		45.5573093	6.6522217						
EDCS-54400139	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Avitus	Avitus	Avitus	opus figlinae		45.5573093	6.6522217						
EDCS-54400138	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Albinus	Albinus	Albinus	opus figlinae		45.5573093	6.6522217						
EDCS-54400137	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Africanus	Africanus	Africanus	opus figlinae		45.5573093	6.6522217						
EDCS-54400136	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Vallo	Vallo	Vallo	opus figlinae		45.5573093	6.6522217						
EDCS-54400135	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Buddarus	Buddarus	Buddarus	opus figlinae		45.5573093	6.6522217						
EDCS-54400134	CAG-73, p 94	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Noster	Noster	Noster	opus figlinae		45.5573093	6.6522217						
