EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-79400006	AE 1944, 00076	Asia	?					defixiones;  tituli sacri;  tria nomina;  viri				plumbum				GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1944-19;1ae1944-20			
EDCS-67200867	AE 2002, 01391 = AE 2004, +01392	Asia	?	195	196	195	196		Ἔτ(ους) σπʹ Πό(πλιος) Κλ(αύδιος) Θρασύβου/λος στρατιώτης / ὀπτίων ἐτίμησεν / τὴν ἑαυτοῦ σύνβι/ον Λ(ουκίαν) Ἀματίαν Πρ(ο)σδο/κίαν Λουκ(ίου) Ἀματίου / Διδύμου θυγατέρα κω/μῳδοῦ παραδόξου / Ἀλεξανδρέως καὶ Ἄμμι/ον τὴν μητέρα / ζήσασαν ἔτ(η) κϛʹ	Ἔτ σπʹ Πό Κλ Θρασύβουλος στρατιώτης ὀπτίων ἐτίμησεν τὴν ἑαυτοῦ σύνβιον Λ Ἀματίαν Πρσδοκίαν Λουκ Ἀματίου Διδύμου θυγατέρα κωμῳδοῦ παραδόξου Ἀλεξανδρέως καὶ Ἄμμιον τὴν μητέρα ζήσασαν ἔτ κϛʹ	Ἔτους σπʹ Πόπλιος Κλαύδιος Θρασύβουλος στρατιώτης ὀπτίων ἐτίμησεν τὴν ἑαυτοῦ σύνβιον Λουκίαν Ἀματίαν Προσδοκίαν Λουκίου Ἀματίου Διδύμου θυγατέρα κωμῳδοῦ παραδόξου Ἀλεξανδρέως καὶ Ἄμμιον τὴν μητέρα ζήσασαν ἔτη κϛʹ	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043871			195 to 196
EDCS-67200868	AE 2002, 01392 = AE 2004, +01392	Asia	?	235	236	235	236		Τὸν πάσῃ σοφίῃ κοσ/μησάμενον Θρασύ/βουλον κοσμήσαντα δʼ ἑὴν γενεὴν στρατιῇ/σιν ἀρίσταις ἔξοχα / τιμηθέντα κλυτοῖς / βασιλεῦσι μεγίστοις / ποιητήν ὑποκρινάμε/νον σοφὸν ἄνδρα Μέναν/δρον εὐγενέτην μου/σηγενέτην χθὼν ἥδε / καλύπτει πατρὶ δʼ ἑῷ / στήλην τήνδʼ Ἄμμιον ἐν/θάδε τειμὴν θήκατο / κυδαλίμοιο βίου μνημήιον / εἶναι ἔτ(ους) τκʹ ζή(σαντι) ἔτ(η) οβʹ	Τὸν πάσῃ σοφίῃ κοσμησάμενον Θρασύβουλον κοσμήσαντα δʼ ἑὴν γενεὴν στρατιῇσιν ἀρίσταις ἔξοχα τιμηθέντα κλυτοῖς βασιλεῦσι μεγίστοις ποιητήν ὑποκρινάμενον σοφὸν ἄνδρα Μένανδρον εὐγενέτην μουσηγενέτην χθὼν ἥδε καλύπτει πατρὶ δʼ ἑῷ στήλην τήνδʼ Ἄμμιον ἐνθάδε τειμὴν θήκατο κυδαλίμοιο βίου μνημήιον εἶναι ἔτ τκʹ ζή ἔτ οβʹ	Τὸν πάσῃ σοφίῃ κοσμησάμενον Θρασύβουλον κοσμήσαντα δʼ ἑὴν γενεὴν στρατιῇσιν ἀρίσταις ἔξοχα τιμηθέντα κλυτοῖς βασιλεῦσι μεγίστοις ποιητήν ὑποκρινάμενον σοφὸν ἄνδρα Μένανδρον εὐγενέτην μουσηγενέτην χθὼν ἥδε καλύπτει πατρὶ δʼ ἑῷ στήλην τήνδʼ Ἄμμιον ἐνθάδε τειμὴν θήκατο κυδαλίμοιο βίου μνημήιον εἶναι ἔτους τκʹ ζήσαντι ἔτη οβʹ	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043872			235 to 236
EDCS-67200318	AE 2002, 01418	Asia	?	151	200	151	200		Ἀντώνις Χαρίτων ἀγαθὴ ψυχή πᾶσι φίλοις χαίρειν παροδείταις δὲ μάλιστ[α] // Ἀντωνία Ἄρτεμεις ἰατρείνη Ἀντωνίῳ Χαρίτωνι ἀνδρὶ ἰδίῳ καὶ τέκνοις καὶ θρεπτοῖς μνείας χάριν	Ἀντώνις Χαρίτων ἀγαθὴ ψυχή πᾶσι φίλοις χαίρειν παροδείταις δὲ μάλιστ Ἀντωνία Ἄρτεμεις ἰατρείνη Ἀντωνίῳ Χαρίτωνι ἀνδρὶ ἰδίῳ καὶ τέκνοις καὶ θρεπτοῖς μνείας χάριν	Ἀντώνις Χαρίτων ἀγαθὴ ψυχή πᾶσι φίλοις χαίρειν παροδείταις δὲ μάλιστα Ἀντωνία Ἄρτεμεις ἰατρείνη Ἀντωνίῳ Χαρίτωνι ἀνδρὶ ἰδίῳ καὶ τέκνοις καὶ θρεπτοῖς μνείας χάριν	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043893			151 to 200
EDCS-67200332	AE 2002, 01439	Asia	?	212	300	212	300	ordo equester;  tituli possessionis;  tria nomina;  viri	Αὐρ(ηλίου) / Φιλίππ/ου βʹ // ἱπ/πάρ/χου	Αὐρ Φιλίππου βʹ ἱππάρχου	Αὐρηλίου Φιλίππου βʹ ἱππάρχου	plumbum						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043935			212 to 300
EDCS-33600273	CIG 06845b = IG-14, 02383 = InscrIt-10-04, 00002* = IGLFriuli 00010	Asia	?						Λουκιφέρᾳ / ὁσίῳ καὶ δικαίῳ	Λουκιφέρᾳ ὁσίῳ καὶ δικαίῳ	Λουκιφέρᾳ ὁσίῳ καὶ δικαίῳ						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IGLFriuli_00010.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=P141607			
EDCS-24900075	CIL 03, 00462 = CIL 01, 00786 (p 727, 839, 950) = D 00040 = ILLRP 00404	Asia	?					ordo senatorius;  tituli operum;  tria nomina;  viri	[P(ublius)] Serveilius P(ubli) [f(ilius)] / Isauricus proco(n)s(ule) / res[tit]uit	Serveilius P Isauricus procos res uit	Publius Serveilius Publi filius Isauricus proconsule restituit	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=de-a0013			
EDCS-64700403	MAHierapolis 00208	Asia	?					Augusti/Augustae;  miliaria;  viri	Principi i{i}uventutis / d(omino) n(ostro) Fl(avio) Vale[ntiniano] / [Invicto Augusto]	Principi iiuventutis d n Fl Vale	Principi iuventutis domino nostro Flavio Valentiniano Invicto Augusto	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$MAHierapolis_00208.jpg				
EDCS-64700404	MAHierapolis 00209	Asia	?					Augusti/Augustae;  miliaria;  viri	Fl(avio) Valentini[ano 3] // 	Fl Valentini	Flavio Valentiniano	lapis				GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$MAHierapolis_00209.jpg				
EDCS-65400086	RFS p 100	Asia	?													GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RFS_p100.jpg				
