EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-77900018	AE 1909, 00019	Cappadocia	?					tria nomina;  viri				lapis				GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1909-04			
EDCS-09400681	AE 1975, 00820	Cappadocia	Adatepe / Pingan / Zimara					litterae erasae;  ordo senatorius;  tituli honorarii;  tria nomina;  viri	Fabium [3 et L(ucium) Ca]/[[tilium Se[verum 3]]] / leg(atum) Aug(usti) p[ro pr(aetore) 3] / Volusi[o 3] / [3 curam agente]	Fabium tilium Se leg Aug p Volusi	Fabium et Lucium Catilium Severum legatum Augusti pro praetore Volusio curam agente			39.4026334	38.3827503			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD011940			
EDCS-60300370	RRMAM-02-01, 00717 = RRMAM-03-03, 00116c	Cappadocia	Afsin / Tripotamos / Arabissus					miliaria	?			lapis		38.2438548	36.9152873						
EDCS-59900076	RRMAM-02-01, 00933 = RRMAM-03-03, 00006	Cappadocia	Agvanis / Golova	367	375	367	375	Augusti/Augustae;  miliaria;  viri	DDD(ominis) nnn(ostris) / Valentinia/no et Valen/te et Gratiano / perpetuis / Augustis	DDD nnn Valentiniano et Valente et Gratiano perpetuis Augustis	DDDominis nnnostris Valentiniano et Valente et Gratiano perpetuis Augustis	lapis		40.027320	38.589259						367 to 375
EDCS-60300400	RRMAM-02-01, 00969 = RRMAM-03-03, 00134	Cappadocia	Akbenli / Akbenliciftligi					miliaria	?			lapis		39.357288	35.329014						
EDCS-31800355	CIL 03, 14184,21 = RRMAM-02-01, 00936 = RRMAM-03-03, 00012	Cappadocia	Akca / Fidi / Pidis	293	337	293	337	Augusti/Augustae;  miliaria;  ordo equester;  tituli sacri;  tria nomina;  viri	]M nnnn(o)bbbb(ilissimis) Caessss(aribu)s // ] / mil(ia) p(assum) XXX //  // Aur(elius) Priscianus v(ir) p(erfectissimus) praes(es) / pr(ovinciae) P(onti) d(evotus) n(umini) m(aiestati)q(ue) eorum	M nnnnbbbb Caesssss mil p XXX Aur Priscianus v p praes pr P d n mq eorum	M nnnnobbbbilissimis Caessssaribus milia passum XXX Aurelius Priscianus vir perfectissimus praeses provinciae Ponti devotus numini maiestati que eorum	lapis		40.705822	36.452045	GR					293 to 337
EDCS-79300103	AE 1941, 00164 = SEG-27, 00948a	Cappadocia	Aksaray / Archelais	501	600	501	600	mulieres;  sacerdotes christiani;  tituli sepulcrales	ἐνθάδε κατα/κῖτε ἡ τῆς εὐλαβοῦς κὲ / μακαρίας μνήμης διάκο/νος Μαρία ἥτις κατὰ τὸ ῥητὸν / τοῦ ἀποστόλου ἐτεκνοτρό/φεσεν ἐξενοδόχησεν ἁ/γίων πόδας ἔνιψε θλι/βομένοις τὸ ἄρτον αὐτῆς / διένεμεν μνήσθητι αὐτῆ(ς) / Κύ(ριε) ὅταν ἔρχῃ ἐν τῇ βασιλίᾳ σου	ἐνθάδε κατακῖτε ἡ τῆς εὐλαβοῦς κὲ μακαρίας μνήμης διάκονος Μαρία ἥτις κατὰ τὸ ῥητὸν τοῦ ἀποστόλου ἐτεκνοτρόφεσεν ἐξενοδόχησεν ἁγίων πόδας ἔνιψε θλιβομένοις τὸ ἄρτον αὐτῆς διένεμεν μνήσθητι αὐτῆ Κύ ὅταν ἔρχῃ ἐν τῇ βασιλίᾳ σου	ἐνθάδε κατακῖτε ἡ τῆς εὐλαβοῦς κὲ μακαρίας μνήμης διάκονος Μαρία ἥτις κατὰ τὸ ῥητὸν τοῦ ἀποστόλου ἐτεκνοτρόφεσεν ἐξενοδόχησεν ἁγίων πόδας ἔνιψε θλιβομένοις τὸ ἄρτον αὐτῆς διένεμεν μνήσθητι αὐτῆς Κύριε ὅταν ἔρχῃ ἐν τῇ βασιλίᾳ σου	lapis		38.3705416	34.026907			http://db.edcs.eu/epigr/partner.php?s_language=en&param=P287331;1ae1941-53;1ae1941-54			501 to 600
EDCS-09300555	AE 1976, 00675	Cappadocia	Aksaray / Archelais					Augusti/Augustae;  ordo decurionum;  ordo senatorius;  sacerdotes pagani;  tituli operum;  tria nomina;  viri	Imp(eratori) Caesari Traiano / Hadriano Aug(usto) / pontif(ici) max(imo) trib(unicia) pot(estate) XIII / imp(eratori) III co(n)s(uli) III p(atri) p(atriae) / per Rosianum Geminum leg(atum) Aug(usti) pr(o) pr(aetore) / refecta fana ex pecunia sacerd(otum) / per Lutatium Iulianum et Scalpo/nium Iulianum IIviros / quaestore Caesio Iuliano	Imp Caesari Traiano Hadriano Aug pontif max trib pot XIII imp III cos III p p per Rosianum Geminum leg Aug pr pr refecta fana ex pecunia sacerd per Lutatium Iulianum et Scalponium Iulianum II viros quaestore Caesio Iuliano	Imperatori Caesari Traiano Hadriano Augusto pontifici maximo tribunicia potestate XIII imperatori III consuli III patri patriae per Rosianum Geminum legatum Augusti pro praetore refecta fana ex pecunia sacerdotum per Lutatium Iulianum et Scalponium Iulianum II viros quaestore Caesio Iuliano			38.3705416	34.026907			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD012666			
EDCS-28400819	CIL 03, 06774	Cappadocia	Aksaray / Archelais						] prov[inciae(?)	provinciae	provinciae			38.3705416	34.026907						
EDCS-32001294	CIL 03, 14186 = CIL 03, 14187 = RRMAM-01, 00056 = RRMAM-02-01, 00860 = RRMAM-03-03, 00160	Cappadocia	Aksaray / Archelais	293	324	293	324	Augusti/Augustae;  litterae erasae;  miliaria;  viri	Impp(e)rr(atori)bb(us) / Caess(ari)bb(us) / Caio A[ur(elio) Val(erio)] / Diocletia[no] / et Marc(o) A[u]r(elio) G[al(erio)] / Maximiano / [P(iis)] F(elicibus) Invic(tis) Aug(ustis) / et Imp(eratori) / Caes(ari) Fla(vio) / Constantio / et Caio A[ur(elio) Val(erio)] / Maxim[iano] / P(io) F(elici) Invic(to) / Caes(ari) / a Co(manis) mil(ia) X // DD(ominis) nn(ostris) / Constantino / [[[et Licinio]]] / Augg(ustis) / et Crispo et / [[[Licini]o e[t]]] / Constantino / nobb(ilissimis) Caess(aribus)	Impprrbb Caessbb Caio A Diocletia et Marc A r G Maximiano F Invic Aug et Imp Caes Fla Constantio et Caio A Maxim P F Invic Caes a Co mil X DD nn Constantino Augg et Crispo et o e Constantino nobb Caess	Impperratoribbus Caessaribbus Caio Aurelio Valerio Diocletiano et Marco Aurelio Galerio Maximiano Piis Felicibus Invictis Augustis et Imperatori Caesari Flavio Constantio et Caio Aurelio Valerio Maximiano Pio Felici Invicto Caesari a Comanis milia X DDominis nnostris Constantino et Licinio Auggustis et Crispo et Licinio et Constantino nobbilissimis Caessaribus	lapis		38.3705416	34.026907			http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0044039;ko0044037			293 to 324
EDCS-51500063	RRMAM-03-03, 00161 = AE 2008, 01475	Cappadocia	Aksaray / Archelais	217	217	217	217	Augusti/Augustae;  litterae erasae;  miliaria;  ordo senatorius;  tituli operum;  tria nomina;  viri	Imp(erator) Caes(ar) M(arcus) [[O[pellius]]] / Severus [[Macrinus]] / Pius Felix Aug(ustus) Sanc/tissimu(s) ac provi/<d=O>entissimus prin/ceps et M(arcus) [[O[p]ellius]] / Antoninus nobi/lissimus Caesar / viam novam i(n)sti/tutam per<f=T>ecerunt / curante Sulla Ce/reale v(iro) c(larissimo) leg(ato) eo/rum pr(o) pr(aetore) / m(ilia) p(assuum) / m(ille?) p(assus?)	Imp Caes M O Severus Pius Felix Aug Sanctissimu ac proviOentissimus princeps et M O Antoninus nobilissimus Caesar viam novam istitutam perTecerunt curante Sulla Cereale v c leg eorum pr pr m p m p	Imperator Caesar Marcus Opellius Severus Macrinus Pius Felix Augustus Sanctissimus ac providentissimus princeps et Marcus Opellius Antoninus nobilissimus Caesar viam novam institutam perfecerunt curante Sulla Cereale viro clarissimo legato eorum pro praetore milia passuum mille passus	lapis		38.3705416	34.026907						217 to 217
EDCS-60300412	RRMAM-03-03, 00143	Cappadocia	Akyazi	293	305	293	305	Augusti/Augustae;  litterae erasae;  miliaria;  ordo equester;  tituli sacri;  tria nomina;  viri	[I]mp(eratori) Caes(ari) / C(aio) Aur(elio) Val(erio) / Diocletiano / P(io) F(elici) Inv(icto) Aug(usto) / et Imp(eratori) Caes(ari) / M(arco) Aur(elio) Val(erio) / [[Maxim[iano]]] / P(io) Fel(ici) Inv(icto) Aug(usto) / et Fl(avio) Valer(io) / Constantio / et Gal(erio) Val(erio) / Maximiano / nobill(issimis) Caess(aribus) / mil(ia) p(assuum) //  // Aur(elius) Priscianus / v(ir) p(erfectissimus) praes(es) pr(ovinciae) P(onti) / d(evotus) n(umini) m(aiestati)q(ue) eorum	mp Caes C Aur Val Diocletiano P F Inv Aug et Imp Caes M Aur Val Maxim P Fel Inv Aug et Fl Valer Constantio et Gal Val Maximiano nobill Caess mil p Aur Priscianus v p praes pr P d n mq eorum	Imperatori Caesari Caio Aurelio Valerio Diocletiano Pio Felici Invicto Augusto et Imperatori Caesari Marco Aurelio Valerio Maximiano Pio Felici Invicto Augusto et Flavio Valerio Constantio et Galerio Valerio Maximiano nobillissimis Caessaribus milia passuum Aurelius Priscianus vir perfectissimus praeses provinciae Ponti devotus numini maiestati que eorum	lapis		40.6837398	30.6249199	GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RRMAM-03-03_00143.jpg				293 to 305
EDCS-60300411	RRMAM-03-03, 00142	Cappadocia	Alanyurt / Araplar	333	335	333	335	Augusti/Augustae;  miliaria;  ordo equester;  tituli sacri;  tria nomina;  viri	] / nob(ilissimo) / Caes(ari) // ] / et Fl(avio) Cl(audio) [Consta]ntino / et Fl(avio) Iul(io) [Cons]tantio / et Fl(avio) Iul(io) [Co]nstanti / nob[b(ilissimis)] Caess(aribus) / Fl(avius) Leontius v(ir) p(erfectissimus) / praes(es) pr(ovinciae) Helenop(onti) / d(evotus) n(umini) m(aiestati)q(ue) eo[rum] // 	nob Caes et Fl Cl ntino et Fl Iul tantio et Fl Iul nstanti nob Caess Fl Leontius v p praes pr Helenop d n mq eo	nobilissimo Caesari et Flavio Claudio Constantino et Flavio Iulio Constantio et Flavio Iulio Constanti nobbilissimis Caessaribus Flavius Leontius vir perfectissimus praeses provinciae Helenoponti devotus numini maiestati que eorum	lapis		37.404086	39.2999737	GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RRMAM-03-03_00142.jpg				333 to 335
EDCS-60300369	RRMAM-02-01, 00718 = RRMAM-03-03, 00115	Cappadocia	Alimpinar	276	276	276	276	Augusti/Augustae;  miliaria;  viri	Imp(eratori) / Caes(ari) / Ma(rco) Au[r(elio)] / Pro<b=R>o / P(io) F(elici) Invi(cto) / Aug(usto) / m(ilia) CV	Imp Caes Ma Au ProRo P F Invi Aug m CV	Imperatori Caesari Marco Aurelio Probo Pio Felici Invicto Augusto milia CV	lapis		38.222270	36.876980						276 to 276
