EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-22500817	CIL 10, 08040 = CIL 05, *01008,8 = CAG-02A-02B, p 284	Corsica	?	51	200	51	200	liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / C(aio) Baebio Marino / Baebius Martialis / et Baebia Proba / llib(eri) patri pientis(simo)	D M C Baebio Marino Baebius Martialis et Baebia Proba llib patri pientis	Dis Manibus Caio Baebio Marino Baebius Martialis et Baebia Proba lliberi patri pientissimo			42.055411	9.022522			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p840;bu_CIL%26bibl_volume=10%26bibl_subvolume=%26bibl_insc=8040			51 to 200
EDCS-44400053	IGF 00169 = CAG-02A-02B, p 99 = SEG-41, 00889,2 = AE 1991, 00921	Corsica	Ajaccio	1	300	1	300							41.9263179	8.7377014	GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1991_00921.jpg				1 to 300
EDCS-79100208	AE 1964, 00142b	Corsica	Aleria					inscriptiones christianae;  sigilla impressa;  tituli fabricationis;  tria nomina;  viri	I() A() S() T() // [P]apiri Romani S()	I A S T apiri Romani S	I A S T Papiri Romani S	opus figlinae		42.1135718	9.5144732		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1964_00142a.jpg				
EDCS-05000375	AE 1991, 00916	Corsica	Aleria					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	P(ubli) Antei Rufei	P Antei Rufei	Publi Antei Rufei	opus figlinae		42.1135718	9.5144732			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055598			
EDCS-05000377	AE 1991, 00918	Corsica	Aleria					tria nomina;  viri	M(arcus) Sex[3] / Dim[3]	M Sex Dim	Marcus Sex Dim			42.1135718	9.5144732			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055600			
EDCS-69200248	AE 2013, 00657	Corsica	Aleria					Augusti/Augustae;  viri	]dio [3] / [3] co(n)s(ul) V[	dio cos V	dio consul V			42.1135718	9.5144732						
EDCS-69200257	AE 2013, 00667	Corsica	Aleria					ordo decurionum;  viri	] aed(ilis) [	aed	aedilis			42.1135718	9.5144732						
EDCS-69200246	CAG-02A-02B, p 166,1 = AE 2013, 00655	Corsica	Aleria					tituli operum;  tituli sacri	tem]pli Cere/[ris 3]CONIN / [	templi Cere CONIN	templi Cereris CONIN			42.1135718	9.5144732						
EDCS-69200247	CAG-02A-02B, p 166,2 = AE 2013, 00656	Corsica	Aleria	-27	14	-27	14	tituli sacri	[Deae(?)] Ro[mae(?)] / [Augu]sta[e(?) 3] / [c]olo[ni(?)] / [Aleri]n[i(?)	Ro sta olo ni	Deae Romae Augustae coloni Alerini			42.1135718	9.5144732		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_2013_00656.jpg				-27 to 14
EDCS-09701551	CAG-02A-02B, p 166,3 = AE 1968, 00282	Corsica	Aleria	1	300	1	300	tituli sacri;  viri	Deo So[li victo]ri(?) salut[ariq(ue) Au]/relius [3]	Deo So ri salut relius	Deo Soli victori salutari que Aurelius			42.1135718	9.5144732		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1968_00282.jpg;$AE_1968_00282_1.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD014234			1 to 300
