EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-31500358	CIL 03, 13570	Creta et Cyrenaica	?					mulieres;  sigilla impressa;  tituli sepulcrales	]servae P(ubli?) f(iliae?) [3] / [3]PV[	servae P f PV	servae Publi filiae PV	opus figlinae									
EDCS-80200105	EDCS 01271 {Manfred Clauss}	Creta et Cyrenaica	?					tituli possessionis	Diamia	Diamia	Diamia	musivum					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS_01271.jpg				
EDCS-80200106	EDCS 01272 {Manfred Clauss}	Creta et Cyrenaica	?					tituli possessionis;  tituli sacri	Soria A(c)hil(l)es	Soria Ahiles	Soria Achilles	musivum					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS_01272.jpg;$EDCS_01272_1.jpg				
EDCS-81000117	EDCS 01324 {Manfred Clauss}	Creta et Cyrenaica	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Iuni Alexi	Iuni Alexi	Iuni Alexi	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01324_1.jpg;$L_EDCS_01324_2.jpg				
EDCS-11400062	InscCret-02, Incert 00013	Creta et Cyrenaica	?					sigilla impressa;  tituli fabricationis	Romane(n)/sis	Romanesis	Romanensis	opus figlinae									
EDCS-11400066	InscCret-03, Incert 00009	Creta et Cyrenaica	?					sigilla impressa;  tituli fabricationis	Rom(an)e(n)s(is)	Romes	Romanensis	opus figlinae									
EDCS-51000142	ZPE-80-194	Creta et Cyrenaica	?						]D[3] / [3]PP M[	D PP M	D PP M										
EDCS-78300581	AE 1915, 00107	Creta et Cyrenaica	Ad Dirsiyah / El-Dirsiyah / Wadi Kambish / Tolmeitha / Tolometa / Tolmeta / Tulmaythah / Ptolemais					tituli sacri				lapis		32.7037979	20.9387072	GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1915-31			
EDCS-78300582	AE 1915, 00108 = AE 1947, +00202	Creta et Cyrenaica	Ad Dirsiyah / El-Dirsiyah / Wadi Kambish / Tolmeitha / Tolometa / Tolmeta / Tulmaythah / Ptolemais					sacerdotes pagani;  tituli sacri;  viri				lapis		32.7037979	20.9387072	GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1915-31;1ae1947-75			
EDCS-15800305	AE 1934, 00261 = AE 1939, +00305	Creta et Cyrenaica	Ad Dirsiyah / El-Dirsiyah / Wadi Kambish / Tolmeitha / Tolometa / Tolmeta / Tulmaythah / Ptolemais					Augusti/Augustae;  ordo senatorius;  tituli operum;  tria nomina;  viri	[I]mp(erator) Caesar Vespa/sianus Aug(ustus) pont(ifex) m(aximus) / tr(ibunicia) pot(estate) III imp(erator) VIII p(ater) p(atriae) / co(n)s(ul) IIII desig(natus) V per / Q(uintum) Paconium leg(atum) / suum hortum / p(opulo) R(omano) rest(ituit)	mp Caesar Vespasianus Aug pont m tr pot III imp VIII p p cos IIII desig V per Q Paconium leg suum hortum p R rest	Imperator Caesar Vespasianus Augustus pontifex maximus tribunicia potestate III imperator VIII pater patriae consul IIII designatus V per Quintum Paconium legatum suum hortum populo Romano restituit	lapis		32.7037979	20.9387072			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD027202;1ae1934-69;1ae1939-92			
