EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-08300244	AE 1985, 00323a	Samnium / Regio IV	?						Patrimoni	Patrimoni	Patrimoni										
EDCS-08300245	AE 1985, 00323b	Samnium / Regio IV	?						Pr()manc() Ar()	Prmanc Ar	Prmanc Ar										
EDCS-08300246	AE 1985, 00323c	Samnium / Regio IV	?						Firm(i) Hilari et Ylae	Firm Hilari et Ylae	Firmi Hilari et Ylae										
EDCS-08300247	AE 1985, 00323d	Samnium / Regio IV	?						C(ai) Salvi Grati	C Salvi Grati	Cai Salvi Grati										
EDCS-32701156	Avezzano 00081	Samnium / Regio IV	?						?								http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Avezzano_00081.jpg				
EDCS-18200290	CIL 09, 06310 (p 903, 1170) = CIL 09, *00264 = Allifae 00185 = Allifae 00194	Samnium / Regio IV	?					liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri	T(ito) Munio T(iti) l(iberto) / Genneo / Muniae T(iti) l(ibertae) / Pollae / Ti(berius) Munius Sp(uri) f(ilius) Col(lina) / Vemens / filius fecit	T Munio T l Genneo Muniae T l Pollae Ti Munius Sp f Col Vemens filius fecit	Tito Munio Titi liberto Genneo Muniae Titi libertae Pollae Tiberius Munius Spuri filius Collina Vemens filius fecit							http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p796;cil09_p81;bu_CIL%26bibl_volume=9%26bibl_subvolume=%26bibl_insc=6310			
EDCS-18200291	CIL 09, 06311 (p 903, 1170) = CIL 09, *00265 = Allifae 00186 = Allifae 00195	Samnium / Regio IV	?					mulieres;  tituli sepulcrales;  tria nomina;  viri	M(arco) Ulpio M(arci) f(ilio) Carto / Caecilia Iulia marito / vivo posuit	M Ulpio M f Carto Caecilia Iulia marito vivo posuit	Marco Ulpio Marci filio Carto Caecilia Iulia marito vivo posuit							http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p796;cil09_p81			
EDCS-74200250	CIL 09, 06881	Samnium / Regio IV	?	1	100	1	100	mulieres;  tituli sepulcrales;  viri	Q(uinto) Tito[3] / Libanus [3] / Poppidia [	Q Tito Libanus Poppidia	Quinto Tito Libanus Poppidia	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=N174082			1 to 100
EDCS-32701155	CIL 09, 08000 = Avezzano 00075 = AE 2006, 00388	Samnium / Regio IV	?	101	200	101	200	tituli sepulcrales;  tria nomina;  viri	] / [d]iebu[s 3]/ae Salvi[3] / [3]us Prisc[us] / b(ene) m(erenti) p(osuit)	iebu ae Salvi us Prisc b m p	diebus ae Salvi us Priscus bene merenti posuit	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Avezzano_00075.jpg;$CI_CIL_09_08000.jpg				101 to 200
EDCS-14803829	CIL 09, 02830 (p 1173) = ELarino p 331	Samnium / Regio IV	Acquaviva Collecroce / Uscosium	71	100	71	100	mulieres;  nomen singulare;  tituli sepulcrales;  viri	Di{i}s Manib(us) / Aper filius vix(it) ann(os) VII / Caesa mater [	Diis Manib Aper filius vix ann VII Caesa mater	Dis Manibus Aper filius vixit annos VII Caesa mater			41.8675905	14.7467926			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p386;N164781			71 to 100
