EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-16700256	AE 1903, 00117 = Syria-2018-123 = AE 2018, 01795	Syria	?					liberti/libertae;  nomen singulare;  officium/professio;  tituli possessionis;  viri	Phasidis Aug(usti) / lib(erti) proc(uratoris) / reg(ionis) Parhal(iae)	Phasidis Aug lib proc reg Parhal	Phasidis Augusti liberti procuratoris regionis Parhaliae	plumbum					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Syria-2018-123.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD031080;1ae1903-23			
EDCS-16201063	AE 1924, 00135	Syria	?					milites;  tituli sacri	Genio sacramenti / veterani	Genio sacramenti veterani	Genio sacramenti veterani							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD026527;1ae1924-39			
EDCS-09401591	AE 1973, 00548	Syria	?					ordo equester;  tria nomina;  viri	M(arcus) Mettius / Modestus / [p]roc(urator) Aug(usti)	M Mettius Modestus roc Aug	Marcus Mettius Modestus procurator Augusti							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD011615			
EDCS-67200347	AE 2002, 01527	Syria	?	171	300	171	300		Διὶ / μεγάλῳ Βακαθ/σαφρειν Οὐικτω/ρία θυγάτηρ Αβδου/τος ἀπὸ Ναβουκαναθ / εὐξαμένη σὺν παν/τὶ τῷ οἴκῳ / εὐχαριστί/ας ἕνε/κα	Διὶ μεγάλῳ Βακαθσαφρειν Οὐικτωρία θυγάτηρ Αβδουτος ἀπὸ Ναβουκαναθ εὐξαμένη σὺν παντὶ τῷ οἴκῳ εὐχαριστίας ἕνεκα	Διὶ μεγάλῳ Βακαθσαφρειν Οὐικτωρία θυγάτηρ Αβδουτος ἀπὸ Ναβουκαναθ εὐξαμένη σὺν παντὶ τῷ οἴκῳ εὐχαριστίας ἕνεκα	aes						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD044001			171 to 300
EDCS-22300099	CIL 03, 00196 = CBI 00711	Syria	?	243	243	243	243	milites;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Ael(io) Valeriano b(ene)f(iciario) trib(uno) / leg(ionis) I Adiutri(cis) stip(endiorum) XVIII vixit / ann(os) XXXVIII Iul(ius) Oratia/nus b(ene)f(iciarius) trib(uni) leg(ionis) eius/dem secundus heres / et collega bene merenti / titulum statuendum / curavit Id[ib]us Octo/br(ibus) Arriano et [P]a[p]o co(n)s(ulibus)	D M Ael Valeriano bf trib leg I Adiutri stip XVIII vixit ann XXXVIII Iul Oratianus bf trib leg eiusdem secundus heres et collega bene merenti titulum statuendum curavit Id us Octobr Arriano et a o cos	Dis Manibus Aelio Valeriano beneficiario tribuno legionis I Adiutricis stipendiorum XVIII vixit annos XXXVIII Iulius Oratianus beneficiarius tribuni legionis eiusdem secundus heres et collega bene merenti titulum statuendum curavit Idibus Octobribus Arriano et Papo consulibus							http://db.edcs.eu/epigr/partner.php?s_language=en&param=bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=196			243 to 243
EDCS-28400786	CIL 03, 06716 = Thomsen-1917, 00059	Syria	?	324	337	324	337	Augusti/Augustae;  miliaria;  viri	]L[3] / A[3] Val(erio) Constantino / Aug(usto) [3] / [3]ni [3] / [3] et [3] / [3]no [	L A Val Constantino Aug ni et no	L A Valerio Constantino Augusto ni et no	lapis									324 to 337
EDCS-32500025	CIL 03, 14397a	Syria	?					inscriptiones christianae;  tituli fabricationis	Dei Gratias // Utere felix	Dei Gratias Utere felix	Dei Gratias Utere felix										
EDCS-66600398	Lupa 23366	Syria	?					milites;  tituli sepulcrales;  viri	D(is) M(anibus) / [6] / mil(es) coh(ortis) III Paphl(agonum) / vixit anni(s) XL	D M mil coh III Paphl vixit anni XL	Dis Manibus miles cohortis III Paphlagonum vixit annis XL						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_23366			
EDCS-34801088	RMD-01, 00009 = RMM 00012 = AE 1968, 00513	Syria	?	105	105	105	105	Augusti/Augustae;  diplomata militaria;  ordo equester;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caesar divi Nervae f(ilius) Nerva Traianus Au/gustus Germanicus Dacicus pontifex maximus / tribunic(ia) potestat(e) VIIII imp(erator) IIII co(n)s(ul) V p(ater) p(atriae) / equitibus et peditibus qui militaverunt in alis tri/bus et cohortibus septem quae appellantur Augus/ta et Apriana et Vocontiorum et I Augusta Lusi/tanorum et I Pannoniorum et I Flavia Cilicum / et II Thracum et II Thebaeorum et II et III Itu/raeorum et classicorum et sunt in Aegypto sub / C(aio) Vibio Maximo item extranslatarum in Iudae/am I Hispanorum et I Thebaeoram quinis et vi/cenis pluribusve stipendiis emeritis dimissis ho/nesta missione quorum nomina subscripta / sunt ipsis liberis posterisque eorum civitatem / dedit et conubium cum uxoribus quas tunc habuis/sent cum est civitas iis data aut si qui caelibes essent / cum iis quas postea duxissent dumtaxat singuli / singulas a(nte) d(iem) VIII K(alendas) Octobr(es) / M(arco) Vitorio Marcello / C(aio) Caecilio Strabone / co(n)s(ulibus) / cohort(is) II Ituraeorum cui prae(e)st / L(ucius) Aquillius Oculatius / ex pedite / M(arco) Spedio M(arci) f(ilio) Corbuloni Hippo / descriptum et recognitum ex tabula aenea / quae fixa est Romae in muro post templum / divi Aug(usti) ad Minervam // Ti(beri) Iuli Urbani / Q(uinti) Pompei Homeri / P(ubli) Cauli Restituti / P(ubli) Atini Amerimni / M(arci) Iuli Clementis / Ti(beri) Iuli Euphemi P(ubli) Cauli Vitalis // Imp(erator) Caesar divi Nervae f(ilius) Nerva Traianus Au/gustus Germanicus Dacicus pontifex maxi/mus tribunic(ia) potestat(e) VIIII imp(erator) IIII / co(n)s(ul) V p(ater) p(atriae) / equitibus et peditibus qui militaverunt in alis / tribus et cohortibus septem / quae appellantur Augusta et Apriana / et Voconti(o)rum et I Augusta Lusitanorum / et I Pannoniorum et I Flavia Cilicum / et II Thracum et II Thebaeorum et II et III / Ituraeorum et classic<o=I>rum et sunt in / Aegypto sub C(aio) Vibio Maximo item ex/translatarum in Iudaeam I Hispa/norum et I Thebaeoram quinis et vice/nis pluribusve stipendiis emeritis / dimissis honesta missione quo/rum nomina subscripta // sunt ipsis liberis posterisque eo/rum civitatem dedit et conubium cum /uxoribus quas tunc habuissent cum est / civitas iis data aut si qui caelibes es/sent cum i(i)s quas postea duxissent dum/taxat (!) singulas a(nte) d(iem) VIII K(alendas) Octobr(es) / M(arco) Vitorio Marcello / C(aio) Caecilio Strabone co(n)s(ulibus) / cohort(is) II Ituraeorum cui prae(e)st / L(ucius) Aquillius Oculatius / ex ped(i)te / M(arco) Spedio M(arci) f(ilio) Corbuloni Hippo / descriptum et recognitum ex tabula / aenea quae fixa est Romae	Imp Caesar divi Nervae f Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunic potestat VIIII imp IIII cos V p p equitibus et peditibus qui militaverunt in alis tribus et cohortibus septem quae appellantur Augusta et Apriana et Vocontiorum et I Augusta Lusitanorum et I Pannoniorum et I Flavia Cilicum et II Thracum et II Thebaeorum et II et III Ituraeorum et classicorum et sunt in Aegypto sub C Vibio Maximo item extranslatarum in Iudaeam I Hispanorum et I Thebaeoram quinis et vicenis pluribusve stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis liberis posteris que eorum civitatem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea duxissent dumtaxat singuli singulas a d VIII K Octobr M Vitorio Marcello C Caecilio Strabone cos cohort II Ituraeorum cui praest L Aquillius Oculatius ex pedite M Spedio M f Corbuloni Hippo descriptum et recognitum ex tabula aenea quae fixa est Romae in muro post templum divi Aug ad Minervam Ti Iuli Urbani Q Pompei Homeri P Cauli Restituti P Atini Amerimni M Iuli Clementis Ti Iuli Euphemi P Cauli Vitalis Imp Caesar divi Nervae f Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunic potestat VIIII imp IIII cos V p p equitibus et peditibus qui militaverunt in alis tribus et cohortibus septem quae appellantur Augusta et Apriana et Vocontirum et I Augusta Lusitanorum et I Pannoniorum et I Flavia Cilicum et II Thracum et II Thebaeorum et II et III Ituraeorum et classicIrum et sunt in Aegypto sub C Vibio Maximo item extranslatarum in Iudaeam I Hispanorum et I Thebaeoram quinis et vicenis pluribusve stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis liberis posteris que eorum civitatem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum is quas postea duxissent dumtaxat singulas a d VIII K Octobr M Vitorio Marcello C Caecilio Strabone cos cohort II Ituraeorum cui praest L Aquillius Oculatius ex pedte M Spedio M f Corbuloni Hippo descriptum et recognitum ex tabula aenea quae fixa est Romae	Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate VIIII imperator IIII consul V pater patriae equitibus et peditibus qui militaverunt in alis tribus et cohortibus septem quae appellantur Augusta et Apriana et Vocontiorum et I Augusta Lusitanorum et I Pannoniorum et I Flavia Cilicum et II Thracum et II Thebaeorum et II et III Ituraeorum et classicorum et sunt in Aegypto sub Caio Vibio Maximo item extranslatarum in Iudaeam I Hispanorum et I Thebaeoram quinis et vicenis pluribusve stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis liberis posteris que eorum civitatem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea duxissent dumtaxat singuli singulas ante diem VIII Kalendas Octobres Marco Vitorio Marcello Caio Caecilio Strabone consulibus cohortis II Ituraeorum cui praeest Lucius Aquillius Oculatius ex pedite Marco Spedio Marci filio Corbuloni Hippo descriptum et recognitum ex tabula aenea quae fixa est Romae in muro post templum divi Augusti ad Minervam Tiberi Iuli Urbani Quinti Pompei Homeri Publi Cauli Restituti Publi Atini Amerimni Marci Iuli Clementis Tiberi Iuli Euphemi Publi Cauli Vitalis Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate VIIII imperator IIII consul V pater patriae equitibus et peditibus qui militaverunt in alis tribus et cohortibus septem quae appellantur Augusta et Apriana et Vocontiorum et I Augusta Lusitanorum et I Pannoniorum et I Flavia Cilicum et II Thracum et II Thebaeorum et II et III Ituraeorum et classicorum et sunt in Aegypto sub Caio Vibio Maximo item extranslatarum in Iudaeam I Hispanorum et I Thebaeoram quinis et vicenis pluribusve stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis liberis posteris que eorum civitatem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea duxissent dumtaxat singulas ante diem VIII Kalendas Octobres Marco Vitorio Marcello Caio Caecilio Strabone consulibus cohortis II Ituraeorum cui praeest Lucius Aquillius Oculatius ex pedite Marco Spedio Marci filio Corbuloni Hippo descriptum et recognitum ex tabula aenea quae fixa est Romae	aes					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AP_RMD-01_00009.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD015527;bu_AE%26bibl_volume=1968%26bibl_subvolume=%26bibl_insc=513			105 to 105
EDCS-50801399	Soldatenehe = AE 2012, 01960 = AE 2013, +00069 = ZPE-208-237 = AE 2018, 01988	Syria	?	206	206	206	206	Augusti/Augustae;  diplomata militaria;  milites;  ordo equester;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caes(ar) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) fil(ius) divi Commo/di frater divi Antonini Pii nep(os) divi Hadriani pronep(os) / divi Traiani Parthici abnep(os) divi Nervae adnepos / L(ucius) Septimius Severus Pius Pertinax Aug(ustus) Arab(icus) Adiab(enicus) / Parthic(us) max(imus) pontif(ex) max(imus) trib(unicia) pot(estate) XIII imp(erator) XII co(n)s(ul) III p(ater) p(atriae) proco(n)s(ul) / Imp(erator) Caes(ar) L(uci) Septimi Severi Pii Pertinacis Aug(usti) Arabic(i) Adiab(enici) / Parthic(i) max(imi) fil(ius) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) nep(os) / divi Antonini Pii pronep(os) divi Hadriani abnep(os) divi / Traiani Parthic(i) et divi Nervae adnepos / M(arcus) Aurellius Antoninus Pius Aug(ustus) trib(unicia) pot(estate) VIII co(n)s(ul) II proco(n)s(ul) / equitibus et peditib(us) qui militaverunt in alis quat/tuor quae appellantur veteran(a) Gallic(a) et I(?) T(hracum) Her/culana et Aprian(a) et Mauret(anica) et cohortibus decem / I Ulp(ia) Afror(um) scutat(a) c(ivium) R(omanorum) I Apamenor(um) II Itur(a)eorum I / Lusitanor(um) III Itur(a)eor(um) II Thrac(um) I Fl(avia) Cilic(um) et II The/b(a)eorum I Pannoniorum et sunt in Aegypto / sub Claudio Iuliano praef(ecto) quinis et vice/nis pluribusve stipendi(i)s emeritis dimissis ho/nesta missone quorum nomina subscripta sunt / civitatem Romanam qui eorum non haberent (!) et / conubium cum uxoribus quas tunc habuissent / cum est civitas iis data aut cum iis quas postea / duxissent dumtaxat singulis singulas / praeterea praestiterunt filiis decurionum / et centurionum quos ordinati susceperunt / (!) cives Romani essent a(nte) d(iem) VIII Kal(endas) Febr(uarias) / M(arco) Nummio Albino et / L(ucio) Fulvio Aemiliano co(n)s(ulibus) / alae Herculanae / ex equite / M(arco) Antonio M(arci) fil(io) Valenti Apamia / descriptum et recognitum ex tabula aerea quae fixa est / Rom(a)e in muro post (t)emplum divi Aug(usti) ad Minervam // L(uci) Pulli Marcionis / C(ai) Publici Luperci / M(arci) Iuni Pii / Ti(beri) Claudi Iuliani / Ti(beri) Claudi Cassandri / L(uci) Pulli Benigni / Ti(beri) Iuli Dativi // Imp(erator) Caes(ar) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) fil(ius) divi Commodi / frater divi Antonini Pii nep(os) divi Hadriani pronep(os) divi / Traiani Parthici abnep(os) divi Nervae adnepos L(ucius) Septimius / Severus Pius Pertinax Aug(ustus) Arab(icus) Adiab(enicus) Parthic(us) max(imus) pontif(ex) / max(imus) trib(unicia) pot(estate) XIII imp(erator) XII co(n)s(ul) III [3] p(ater) p(atriae) proco(n)s(ul) [3] / Imp(erator) Caes(ar) L(uci) Septimi Severi Pii Pertinacis Aug(usti) Arab(ici) Adiab(enici) Parthici / max(imi) f(ilius) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) nep(os) divi Antonini Pii / pronep(os) divi Hadriani abnep(os) divi Traiani Parthic(i) et divi Nervae ad(nepos) / M(arcus) Aurellius Antoninus Pius Aug(ustus) trib(unicia) pot(estate) VIII co(n)s(ul) II proco(n)s(ul) / equitibus et peditib(us) qui militaverunt in alis IIII quae / appellantur vet(erana) Gallica et I Thrac(um) Hercul(ana) et Aprian(a) et / Mauret(anica) et cohortib(us) X I Ulp(ia) Afror(um) scutat(a) c(ivium) R(omanorum) I Apam(enorum) / II Itur(a)eor(um) I Lusit(anorum) III Itur(a)eor(um) II Thrac(um) I Fl(avia) Cilic(um) et II The/b(a)eor(um) I Pann(oniorum) et sunt in Aegypto sub Claudio Iuliano / praef(ecto) quinis et vicenis pluribusve stipendi(i)s / (!) dimissis honesta missone quorum nomina / subscripta sunt civitatem Romanam qui eorum / non haberent (!) et conubium cum uxoribus quas / tunc habuissent cum est civitas iis data aut / cum iis quas postea duxissent dumtaxat / singulis singulas praeterea prae(stiterunt) / filiis decur(ionum) // a(nte) d(iem) VIII Kal(endas) Feb(ruarias) / Albino et Aemiliano co(n)[s(ulibus)] / alae Herculanae / ex equite / M(arco) Antonio M(arci) fil(io) Valenti / Apamia / descriptum et recognitum ex tabula aerea / quae fixa est Rom(a)e in muro post (t)emplum divi / Aug(usti) ad Minervam	Imp Caes divi M Antonini Pii Germ Sarm fil divi Commodi frater divi Antonini Pii nep divi Hadriani pronep divi Traiani Parthici abnep divi Nervae adnepos L Septimius Severus Pius Pertinax Aug Arab Adiab Parthic max pontif max trib pot XIII imp XII cos III p p procos Imp Caes L Septimi Severi Pii Pertinacis Aug Arabic Adiab Parthic max fil divi M Antonini Pii Germ Sarm nep divi Antonini Pii pronep divi Hadriani abnep divi Traiani Parthic et divi Nervae adnepos M Aurellius Antoninus Pius Aug trib pot VIII cos II procos equitibus et peditib qui militaverunt in alis quattuor quae appellantur veteran Gallic et I T Herculana et Aprian et Mauret et cohortibus decem I Ulp Afror scutat c R I Apamenor II Itureorum I Lusitanor III Itureor II Thrac I Fl Cilic et II Thebeorum I Pannoniorum et sunt in Aegypto sub Claudio Iuliano praef quinis et vicenis pluribusve stipendis emeritis dimissis honesta missone quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut cum iis quas postea duxissent dumtaxat singulis singulas praeterea praestiterunt filiis decurionum et centurionum quos ordinati susceperunt cives Romani essent a d VIII Kal Febr M Nummio Albino et L Fulvio Aemiliano cos alae Herculanae ex equite M Antonio M fil Valenti Apamia descriptum et recognitum ex tabula aerea quae fixa est Rome in muro post emplum divi Aug ad Minervam L Pulli Marcionis C Publici Luperci M Iuni Pii Ti Claudi Iuliani Ti Claudi Cassandri L Pulli Benigni Ti Iuli Dativi Imp Caes divi M Antonini Pii Germ Sarm fil divi Commodi frater divi Antonini Pii nep divi Hadriani pronep divi Traiani Parthici abnep divi Nervae adnepos L Septimius Severus Pius Pertinax Aug Arab Adiab Parthic max pontif max trib pot XIII imp XII cos III p p procos Imp Caes L Septimi Severi Pii Pertinacis Aug Arab Adiab Parthici max f divi M Antonini Pii Germ Sarm nep divi Antonini Pii pronep divi Hadriani abnep divi Traiani Parthic et divi Nervae ad M Aurellius Antoninus Pius Aug trib pot VIII cos II procos equitibus et peditib qui militaverunt in alis IIII quae appellantur vet Gallica et I Thrac Hercul et Aprian et Mauret et cohortib X I Ulp Afror scutat c R I Apam II Itureor I Lusit III Itureor II Thrac I Fl Cilic et II Thebeor I Pann et sunt in Aegypto sub Claudio Iuliano praef quinis et vicenis pluribusve stipendis dimissis honesta missone quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut cum iis quas postea duxissent dumtaxat singulis singulas praeterea prae filiis decur a d VIII Kal Feb Albino et Aemiliano co alae Herculanae ex equite M Antonio M fil Valenti Apamia descriptum et recognitum ex tabula aerea quae fixa est Rome in muro post emplum divi Aug ad Minervam	Imperator Caesar divi Marci Antonini Pii Germanici Sarmatici filius divi Commodi frater divi Antonini Pii nepos divi Hadriani pronepos divi Traiani Parthici abnepos divi Nervae adnepos Lucius Septimius Severus Pius Pertinax Augustus Arabicus Adiabenicus Parthicus maximus pontifex maximus tribunicia potestate XIII imperator XII consul III pater patriae proconsul Imperator Caesar Luci Septimi Severi Pii Pertinacis Augusti Arabici Adiabenici Parthici maximi filius divi Marci Antonini Pii Germanici Sarmatici nepos divi Antonini Pii pronepos divi Hadriani abnepos divi Traiani Parthici et divi Nervae adnepos Marcus Aurellius Antoninus Pius Augustus tribunicia potestate VIII consul II proconsul equitibus et peditibus qui militaverunt in alis quattuor quae appellantur veterana Gallica et I Thracum Herculana et Apriana et Mauretanica et cohortibus decem I Ulpia Afrorum scutata civium Romanorum I Apamenorum II Ituraeorum I Lusitanorum III Ituraeorum II Thracum I Flavia Cilicum et II Thebaeorum I Pannoniorum et sunt in Aegypto sub Claudio Iuliano praefecto quinis et vicenis pluribusve stipendiis emeritis dimissis honesta missone quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut cum iis quas postea duxissent dumtaxat singulis singulas praeterea praestiterunt filiis decurionum et centurionum quos ordinati susceperunt cives Romani essent ante diem VIII Kalendas Februarias Marco Nummio Albino et Lucio Fulvio Aemiliano consulibus alae Herculanae ex equite Marco Antonio Marci filio Valenti Apamia descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Luci Pulli Marcionis Cai Publici Luperci Marci Iuni Pii Tiberi Claudi Iuliani Tiberi Claudi Cassandri Luci Pulli Benigni Tiberi Iuli Dativi Imperator Caesar divi Marci Antonini Pii Germanici Sarmatici filius divi Commodi frater divi Antonini Pii nepos divi Hadriani pronepos divi Traiani Parthici abnepos divi Nervae adnepos Lucius Septimius Severus Pius Pertinax Augustus Arabicus Adiabenicus Parthicus maximus pontifex maximus tribunicia potestate XIII imperator XII consul III pater patriae proconsul Imperator Caesar Luci Septimi Severi Pii Pertinacis Augusti Arabici Adiabenici Parthici maximi filius divi Marci Antonini Pii Germanici Sarmatici nepos divi Antonini Pii pronepos divi Hadriani abnepos divi Traiani Parthici et divi Nervae adnepos Marcus Aurellius Antoninus Pius Augustus tribunicia potestate VIII consul II proconsul equitibus et peditibus qui militaverunt in alis IIII quae appellantur veterana Gallica et I Thracum Herculana et Apriana et Mauretanica et cohortibus X I Ulpia Afrorum scutata civium Romanorum I Apamenorum II Ituraeorum I Lusitanorum III Ituraeorum II Thracum I Flavia Cilicum et II Thebaeorum I Pannoniorum et sunt in Aegypto sub Claudio Iuliano praefecto quinis et vicenis pluribusve stipendiis dimissis honesta missone quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut cum iis quas postea duxissent dumtaxat singulis singulas praeterea praestiterunt filiis decurionum ante diem VIII Kalendas Februarias Albino et Aemiliano consulibus alae Herculanae ex equite Marco Antonio Marci filio Valenti Apamia descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam	aes					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Soldatenehe_1.jpg;$Soldatenehe_2.jpg;$AP_ZPE-208-237_1.jpg;$AP_ZPE-208-237_2.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=bu_AE%26bibl_volume=2012%26bibl_subvolume=%26bibl_insc=1960			206 to 206
