EDCS-ID,inscription,Comment
EDCS-73700333,"Iesus s(anc)t<u=O>(s) ego Iesus sum ego fui s(anc)t<u=O>(s) ego s(anc)t<u=O>(s) fui / s(anc)t<u=O>(s) Iesus fui s(anc)t<u=O>(s) Iesus est Iesus s(anc)t<u=O>(s) est / Ego [3] / s(anc)t<u=O>(s) Iesus fuit s(anc)t<u=O>(s) Iesus est Iesus fuit s(anc)t<u=O>(s) Iesus / s(anc)t<u=O>(s) fuit Iesus s(anc)t<u=O>(s) Iesus fuit s(anc)t<u=O>(s) Iesus fuit / s(anc)t<u=O>(s) Iesus est Iesus est alef s(anc)t<u=O>(s) Iesus Iesus / Iesus s(anc)t<u=O>(s) Iesus alef est |(omega) est s(anc)t<u=O>(s) Iesus / Iesus s(anc)t<u=O>(s) fui s(anc)t(us) Iesus fui s(anc)t<u=O>(s) I[esus] / s(anc)t<u=O>(s) Iesus s(anc)t<u=O>(s) Iesus Iesus [fuit] / s(anc)t<u=O>(s) Iesus Iesus est s(anc)t(us) Iesus fuit s(anc)t<u=O>(s) / Iesus s(anc)t<u=O>(s) fuit Iesus ego fui I[esus] / Iesus s(anc)t(us) fuit s(anc)t<u=O>(s) s(anc)t<u=O>(s) fuit s(anc)t<u=O>(s) I[esus] / Iesus s(anc)t(us) fuit s(anc)t<u=O>(s) Iesus fuit Iesus fuit s(anc)t<u=O>(s) / Iesus s(anc)t<u=O>(s) fui s(anc)t<u=O>(s) Iesus fuit fui s(anc)t<u=O>(s) Iesus

10.15581/012.26.004",DOI:
EDCS-73700334,"Iesus s(anc)t<u=O>(s) fuit Iesus Iesus fuit s(anc)t<u=O>(s) / s(anc)t<u=O>(s) fuit s(anc)t<u=O>(s) fuit Iesus / s(anc)t<u=O>(s) fuit Iesus / Iesus s(anc)t<u=O>(s) fuit Iesus fuit s(anc)t<u=O>(s) Iesus fuit s(anc)t<u=O>(s) / Iesus s(anc)t<u=O>(s) fuit Iesus fui s(anc)t<u=O>(s) Iesus fuit s(anc)t<u=O>(s) Iesus / Iesus s(anc)t<u=O>(s) fuit s(anc)t(us) Iesus fui s(anc)t<u=O>(s) Iesus / Iesus est s(anc)t<u=O>(s) fuit s(anc)t<u=O>(s) Iesus s(anc)t<u=O>(s) fuit / s(anc)t<u=O>(s) fui Iesus fui s(anc)t<u=O>(s) / Iesus fuit s(anc)t(us) fuit Iesus s(anc)t<u=O>(s) / fuit Iesus fuit Iesus fui / Iesus fuit Iesus fui / s(anc)t<u=O>(s) fuit s(anc)t<u=O>(s) fui Iesus s(anc)t<u=O>(s) / Iesus fui Iesus s(anc)t<u=O>(s) fui / Iesus s(anc)t<u=O>(s) fuit fuit s(anc)t<u=O>(s)

10.15581/012.26.004",DOI:
EDCS-74800023,"http://www.aemiliaonline.it/reperti/stele/stele-di-publius-titus-primus  

 http://www.aemiliaonline.it/reperti/stele/stele-di-publius-titus-primus",NA
EDCS-75000138,"T(ito) Ancareno / T(iti) l(iberto) Amphioni / Octavia M(arci) l(iberta!) / Batylla uxori / v(ivus) p(osuit) / in fr(onte) p(edes) XII / in ag(ro) p(edes) XII  

10.7430/HORMOS1002  – cf.  EDCS-75000139",DOI:
EDCS-75000139,"T(itus) Ancar/enus T(iti) l(ibertus) / Amphio / sibi et / Octaviae / M(arci) f(iliae!) Batull/ae ux{s}ori / suae  

10.7430/HORMOS1002  – cf.  EDCS-75000138",DOI:
EDCS-44500182,"Libero Patri C[3] / statuam ae[ream(?) cum] / panthera ti[gride et] / basim marmor(e)am [posuerunt] / Muthunibal Imilcho[nis 3 f(ilius?)] / Balsillich Balsil[ichis 3 f(ilius?)]  

http://db.edcs.eu/epigr/comments/EDCS-44500182.pdf",cf.
EDCS-70000087,"De officina / L(uci) Iuli Romani  

10.3406/mefr.1975.1032",DOI:
EDCS-70000088,"Ex officina / Q(uinti) Minuci Cremi/alis  

10.3406/mefr.1975.1032",DOI:
EDCS-70000089,"De [o]fficina / [Iu]liorum(?)  

10.3406/mefr.1975.1032",DOI:
EDCS-70000090,"De o[fficina] / Iulio[rum]  

10.3406/mefr.1975.1032",DOI:
EDCS-70000091,"Ex officina / Libertorum  

10.3406/mefr.1975.1032",DOI:
EDCS-70000092,"?  

10.3406/mefr.1975.1032",DOI:
EDCS-70000093,"?  

10.3406/mefr.1975.1032",DOI:
EDCS-70000094,"?  

10.3406/mefr.1975.1032",DOI:
EDCS-36400015,"[Aq]uiliae Q(uinti) f(iliae) Flaccillae [c(larissimae) f(eminae?)] / Q(uintus) Silius L(uci) f(ilius) Arn(ensi) M[aur]us / amicus ob mer[ita] / quod beneficio l[ibe]/ralitate eius pa[t]ern[is] / necessitatibus exso/lutus dignitati [s]uae / co[nse]rvatus est / d(ecreto) d(ecurionum)  

10.3406/crai.2005.22934",DOI:
EDCS-06000970,"[Perpet]uo Impera/[to]ri Invicto Imp/eratori fortissi/mo Imp(eratori) L(ucio) Domiti/o Aurel{l}iano P(io) Fel(ici) / Aug(usto) Germanico / max(imo) Carpico(!) max(imo) / cons(uli) ter p(atri) p(atriae) proco/nsul / m(ilia) n(umero) LXXXII  

 http://atharproject.org/wp-content/uploads/2019/06/red-list-artifacts-final-june-2019-.pdf  [p 10]",NA
EDCS-11701287,"D(is) M(anibus) s(acrum) / C(aiae) Valeriae / C(ai) (iliae) Amm(a)e / annor(um) LI / h(ic) s(ita) e(st) s(it) t(ibi) t(erra) l(evis)  

 http://hdl.handle.net/10316/88719",NA
EDCS-11701285,"Apolausis / Antistiae Pr/iscae delici/um annic(u)la / dierum XXXXVIII / h(ic) s(ita) e(st) s(it) t(ibi) t(erra) l(evis)  

 http://hdl.handle.net/10316/92034",NA
EDCS-74300391,"M(arcus) Calpurnius M(arci) f(ilius) G[al(eria) 3] / ianuam et baln[e]um cur[a(?) 3] / ad balneum [3]c sep[3] / ad tutelam [  

 http://www.surdecordoba.com/sur-provincia/donan-al-museo-historico-inscripcion-romana-torreparedones",NA
EDCS-07800457,"Deo / Iovi et Volca(no) / Vassinus / cum velli/nt me con/sacratum / conservare / promisi dena/rios sex pro vo/to lam[ell]a p(osita)  

 https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=1367071&partId=1",NA
